chr	promoter_start	promoter_end
chr13	14523228	14525228
chr11	103130428	103132428
chr9	76012854	76014854
chr7	81707527	81709527
chr4	95965239	95967239
chr8	84988602	84990602
chr4	129122036	129124036
chr2	180104488	180106488
chr5	118162647	118164647
chr10	36504813	36506813
chr17	24750987	24752987
chrX	51681856	51683856
chr14	119136340	119138340
chr19	58943654	58945654
chr13	105441638	105443638
chr9	81633828	81635828
chr4	136421523	136423523
chr16	65105854	65107854
chrX	146960512	146962512
chr9	48911099	48913099
chr19	36057507	36059507
chr1	60043184	60045184
chrX	70365084	70367084
chr10	87856264	87858264
chr16	22163299	22165299
chr4	45826923	45828923
chr3	101375082	101377082
chr1	172479787	172481787
chr10	128669358	128671358
chr3	68688643	68690643
chr18	61682886	61684886
chrX	137568607	137570607
chr8	110805924	110807924
chr19	47012697	47014697
chr1	75505076	75507076
chr7	128609327	128611327
chr11	3504821	3506821
chr2	146219920	146221920
chr12	55597426	55599426
chr3	87794950	87796950
chr10	7052478	7054478
chr6	121473678	121475678
chr1	82291416	82293416
chrX	141725263	141727263
chr13	72626819	72628819
chr13	116309689	116311689
chr9	58204306	58206306
chr9	58204319	58206319
chr18	58657465	58659465
chr14	123657970	123659970
chr5	37026334	37028334
chr5	37111783	37113783
chr18	43687773	43689773
chr7	138938729	138940729
chr6	53068631	53070631
chr8	121727622	121729622
chr14	55116935	55118935
chr3	107034168	107036168
chr2	107288638	107290638
chr3	64947195	64949195
chr11	69324257	69326257
chr1	15285253	15287253
chr7	46394496	46396496
chr10	112269120	112271120
chr7	44588663	44590663
chr12	17176888	17178888
chr2	168281736	168283736
chr17	83631895	83633895
chr1	192188773	192190773
chr5	24351604	24353604
chr11	100759942	100761942
chr2	63184287	63186287
chr11	33993152	33995152
chr19	45816061	45818061
chr5	49524907	49526907
chr7	46100764	46102764
chr11	61020563	61022563
chr2	55433969	55435969
chr9	32344350	32346350
chr16	94997701	94999701
chr1	172329318	172331318
chr5	30586169	30588169
chr15	72546340	72548340
chr3	31900506	31902506
chr2	181135300	181137300
chr15	66286642	66288642
chr1	21961942	21963942
chr2	164171113	164173113
chr15	34835354	34837354
chr2	25861733	25863733
chr1	140244157	140246157
chr15	45114920	45116920
chr18	40254961	40256961
chr5	69341679	69343679
chr1	32170713	32172713
chr4	138248434	138250434
chr1	178527124	178529124
chr2	49617297	49619297
chr15	76657857	76659857
chr5	75572915	75574915
chr12	111756848	111758848
chr14	99296690	99298690
chrX	153235465	153237465
chr1	132296625	132298625
chr14	96519102	96521102
chr12	5375682	5377682
chr4	24851124	24853124
chrX	157816434	157818434
chr15	101802346	101804346
chr15	101940324	101942324
chr5	117411999	117413999
chrX	73896105	73898105
chr2	162941471	162943471
chr18	12331818	12333818
chr6	57700539	57702539
chr1	180891107	180893107
chr7	28861852	28863852
chr19	38262535	38264535
chr5	52566462	52568462
chrX	145349089	145351089
chr6	113195384	113197384
chr17	28573640	28575640
chr11	84525535	84527535
chr5	120429698	120431698
chr2	36105408	36107408
chr3	154330659	154332659
chr1	138848577	138850577
chr10	45486395	45488395
chr9	56796468	56798468
chr4	36951747	36953747
chr6	112271757	112273757
chr6	138581968	138583968
chr7	45781737	45783737
chr1	167687236	167689236
chr1	38836711	38838711
chr3	92083142	92085142
chr1	191715833	191717833
chr12	61521149	61523149
chr10	125964167	125966167
chr10	7587799	7589799
chr15	76722173	76724173
chr14	15438987	15440987
chr3	158562221	158564221
chr19	8848767	8850767
chr15	75567255	75569255
chr2	49785687	49787687
chr3	55780509	55782509
chr3	101848959	101850959
chrX	104857267	104859267
chr15	54569191	54571191
chr3	52105076	52107076
chr15	102517064	102519064
chr16	21792345	21794345
chrX	159986432	159988432
chr12	81781175	81783175
chr5	103211334	103213334
chr14	33447158	33449158
chr15	89451912	89453912
chr11	104229389	104231389
chr8	84937359	84939359
chr15	81233498	81235498
chr13	76382534	76384534
chr7	72306608	72308608
chr17	29970087	29972087
chr7	79808726	79810726
chr6	17461799	17463799
chr3	88530394	88532394
chr1	52727462	52729462
chr10	101679486	101681486
chr11	116916862	116918862
chr7	112223855	112225855
chr7	62420139	62422139
chr3	67372096	67374096
chr3	95232171	95234171
chr3	63239536	63241536
chr10	75936496	75938496
chr2	155773341	155775341
chr5	111415361	111417361
chr19	42086357	42088357
chr10	24221516	24223516
chr15	83777466	83779466
chr9	87142305	87144305
chr9	107904872	107906872
chr1	53059639	53061639
chr8	40634797	40636797
chr15	59082005	59084005
chr5	147955319	147957319
chr10	128498685	128500685
chr18	74438935	74440935
chr12	29526383	29528383
chr11	6606053	6608053
chr14	123627144	123629144
chr19	60753986	60755986
chr7	18985399	18987399
chrX	103186640	103188640
chrX	122397401	122399401
chr2	148732467	148734467
chr3	56183701	56185701
chr4	126753438	126755438
chr7	62344568	62346568
chr8	95674979	95676979
chr3	123690853	123692853
chr3	125402075	125404075
chr4	15149794	15151794
chr11	4948064	4950064
chr14	68081862	68083862
chr3	156559793	156561793
chr7	49972863	49974863
chr15	95528559	95530559
chr18	86392951	86394951
chr2	79456751	79458751
chr11	98329648	98331648
chr6	55681263	55683263
chr8	84800344	84802344
chr11	95587735	95589735
chr1	172057573	172059573
chr3	102008075	102010075
chr15	34679212	34681212
chr11	4871950	4873950
chr4	20778866	20780866
chr12	56536908	56538908
chr10	14703590	14705590
chr2	157558077	157560077
chr9	48605153	48607153
chr18	23041653	23043653
chr5	117779031	117781031
chr7	18923887	18925887
chr7	16477728	16479728
chr19	4990316	4992316
chr15	79834237	79836237
chr3	132950291	132952291
chr4	147998721	148000721
chr1	86670571	86672571
chr11	119547753	119549753
chr15	79804766	79806766
chr6	49820709	49822709
chr8	66695191	66697191
chr3	82548084	82550084
chr10	89533585	89535585
chr7	70366735	70368735
chr8	32884797	32886797
chr14	39473088	39475088
chr7	109782025	109784025
chr13	36735131	36737131
chr2	152376638	152378638
chr12	88720875	88722875
chr11	103954056	103956056
chr5	38159907	38161907
chr11	31998462	32000462
chr4	123199503	123201503
chr17	24209531	24211531
chr7	45682021	45684021
chr2	29253005	29255005
chr3	87795162	87797162
chr10	102490486	102492486
chr2	180497975	180499975
chr7	27256432	27258432
chr13	51169021	51171021
chr2	23319245	23321245
chr11	95514570	95516570
chr10	127534559	127536559
chr2	28190991	28192991
chr3	114902077	114904077
chr9	27788774	27790774
chr1	175692776	175694776
chr4	132144486	132146486
chr2	181713015	181715015
chr11	3863903	3865903
chr7	143756985	143758985
chr7	63442750	63444750
chr3	105971710	105973710
chr6	112489943	112491943
chr5	110343212	110345212
chr11	73158420	73160420
chr3	61000794	61002794
chr17	27653508	27655508
chr7	25297986	25299986
chrX	143516590	143518590
chr2	118661302	118663302
chr2	136387967	136389967
chr8	84019470	84021470
chr15	89057733	89059733
chr9	95557656	95559656
chr10	76961887	76963887
chrX	120288258	120290258
chr18	36928183	36930183
chr18	37008711	37010711
chr18	37003202	37005202
chr18	37018148	37020148
chr18	36937204	36939204
chr18	36944104	36946104
chr18	36958439	36960439
chr18	36965630	36967630
chr18	36971801	36973801
chr18	36995879	36997879
chr18	37088012	37090012
chr18	37141502	37143502
chr18	37813078	37815078
chr11	97700497	97702497
chr5	14512917	14514917
chr9	95635600	95637600
chr16	96465605	96467605
chr13	75087825	75089825
chr2	143544155	143546155
chr19	17837632	17839632
chr19	29408918	29410918
chr2	80129458	80131458
chr9	21163713	21165713
chr15	78911918	78913918
chr15	12739924	12741924
chrX	73824969	73826969
chr19	45045717	45047717
chr19	4943127	4945127
chr4	4138819	4140819
chr8	124439658	124441658
chr12	85177790	85179790
chr7	100225393	100227393
chr9	8897832	8899832
chrX	36596205	36598205
chr6	139585220	139587220
chr2	32572796	32574796
chr5	124249760	124251760
chr11	72135778	72137778
chr14	70429383	70431383
chr3	7364668	7366668
chr10	57629980	57631980
chr9	37147407	37149407
chr2	120245335	120247335
chr2	120314165	120316165
chr11	103101658	103103658
chr4	155056784	155058784
chr16	46010218	46012218
chr15	4373490	4375490
chr1	176275312	176277312
chr12	78906964	78908964
chr6	140422053	140424053
chr1	133162209	133164209
chr7	116308376	116310376
chr8	105371273	105373273
chrX	73660117	73662117
chr12	84148489	84150489
chr14	66909169	66911169
chrX	73062786	73064786
chr7	16957678	16959678
chr7	16942681	16944681
chr14	65425472	65427472
chr6	88875044	88877044
chr14	104467999	104469999
chr13	18397686	18399686
chr5	51567726	51569726
chr18	61400431	61402431
chr10	106468338	106470338
chr1	134332928	134334928
chr14	25692153	25694153
chr11	87359023	87361023
chr11	98346403	98348403
chr5	36866512	36868512
chr14	20546573	20548573
chr5	98165197	98167197
chr17	85090241	85092241
chr4	105109890	105111890
chr5	139150001	139152001
chr12	32061296	32063296
chr17	86165784	86167784
chr19	60468304	60470304
chr6	127769472	127771472
chr2	132385447	132387447
chr15	99053173	99055173
chr2	32149081	32151081
chrX	71960623	71962623
chr17	34627532	34629532
chr7	127021211	127023211
chr6	113501931	113503931
chr6	29179584	29181584
chr3	123444912	123446912
chr10	79872475	79874475
chr19	46327156	46329156
chr7	17072039	17074039
chrX	155623814	155625814
chr1	65280055	65282055
chr1	75264502	75266502
chr12	116483719	116485719
chr17	56476483	56478483
chr4	131838288	131840288
chr19	59943654	59945654
chr11	79589211	79591211
chr17	24534210	24536210
chr8	70752678	70754678
chr4	108877062	108879062
chr13	110280996	110282996
chr9	21918192	21920192
chr9	103109786	103111786
chrX	136868755	136870755
chr11	120719469	120721469
chr5	142551098	142553098
chrX	161715068	161717068
chr2	33371486	33373486
chr1	156939626	156941626
chr3	13469654	13471654
chr11	6656520	6658520
chr11	98834784	98836784
chr14	16819156	16821156
chr6	118009437	118011437
chr11	49899834	49901834
chr13	92131656	92133656
chr5	90640657	90642657
chr16	5883354	5885354
chr15	77307004	77309004
chr11	118911597	118913597
chr13	46416433	46418433
chr9	117872681	117874681
chr19	38125281	38127281
chr17	43799350	43801350
chr18	37953078	37955078
chr5	22344702	22346702
chr14	54474099	54476099
chrX	162643649	162645649
chr1	75278415	75280415
chr8	3653769	3655769
chr17	56831013	56833013
chr17	15831039	15833039
chr17	26200950	26202950
chr10	5922400	5924400
chr1	169747642	169749642
chr13	105054930	105056930
chr1	153651024	153653024
chr17	25837295	25839295
chr5	123132692	123134692
chr2	119271272	119273272
chr5	128953486	128955486
chr4	119492628	119494628
chr1	22805994	22807994
chr4	120852815	120854815
chr2	163918683	163920683
chr16	97763787	97765787
chr18	31317290	31319290
chr1	153747425	153749425
chr11	61454131	61456131
chr8	82861355	82863355
chr1	105356710	105358710
chr11	116413032	116415032
chr18	77565161	77567161
chr2	25240928	25242928
chr17	36940917	36942917
chr3	113630149	113632149
chr16	72306305	72308305
chr16	74411825	74413825
chr5	121010092	121012092
chr9	57502025	57504025
chr12	85151264	85153264
chr10	33903110	33905110
chr15	43170826	43172826
chr10	29535867	29537867
chr8	84944990	84946990
chr12	109600330	109602330
chr12	72409054	72411054
chr7	19280623	19282623
chr16	18125641	18127641
chr2	84886710	84888710
chr5	88563039	88565039
chr5	8622952	8624952
chr4	13741435	13743435
chr3	89093311	89095311
chr3	79737880	79739880
chr13	12106945	12108945
chr2	181599212	181601212
chr11	95007878	95009878
chr10	26227706	26229706
chr11	78497754	78499754
chr1	56978650	56980650
chr7	126246861	126248861
chr7	30749470	30751470
chr1	79440120	79442120
chr2	113829121	113831121
chr2	66440840	66442840
chr9	45115781	45117781
chr2	65567627	65569627
chr9	40267216	40269216
chr9	45136394	45138394
chr9	119579016	119581016
chr2	66634962	66636962
chr15	76522499	76524499
chr2	152079528	152081528
chr17	28140140	28142140
chr15	76455451	76457451
chr11	114067046	114069046
chr5	120472810	120474810
chr5	13123413	13125413
chr19	44987100	44989100
chr3	95158456	95160456
chr13	100106011	100108011
chr14	76556889	76558889
chr3	75555546	75557546
chr1	192855756	192857756
chr11	77928799	77930799
chr7	126948562	126950562
chr13	19621103	19623103
chr4	102739296	102741296
chr5	113310786	113312786
chr13	104107740	104109740
chr9	54532145	54534145
chr9	83546326	83548326
chr4	85203125	85205125
chr10	58811358	58813358
chr12	30909667	30911667
chr7	44308252	44310252
chr7	143999927	144001927
chr10	79637918	79639918
chr14	59623307	59625307
chr11	66525964	66527964
chr7	4844696	4846696
chr16	44333196	44335196
chr17	85611607	85613607
chr5	73004882	73006882
chr2	164958801	164960801
chr1	84935134	84937134
chr7	51620005	51622005
chr10	89621253	89623253
chr19	59258895	59260895
chr14	32464850	32466850
chr10	78778495	78780495
chr3	101924453	101926453
chr4	87230477	87232477
chr2	145165753	145167753
chr7	141437892	141439892
chr17	43667214	43669214
chr2	126550406	126552406
chr3	90389938	90391938
chr15	91573261	91575261
chr6	122801640	122803640
chr2	158608766	158610766
chr2	25234364	25236364
chr10	19851459	19853459
chr14	49526046	49528046
chr15	96642913	96644913
chr15	97055956	97057956
chr4	150652174	150654174
chr2	62044461	62046461
chr1	75544265	75546265
chr17	54299034	54301034
chr10	103365782	103367782
chr3	107518018	107520018
chr18	61014222	61016222
chr3	31310378	31312378
chr16	17583214	17585214
chr12	81333180	81335180
chrX	56607756	56609756
chr1	12992650	12994650
chr19	41743665	41745665
chrX	64276996	64278996
chr9	53848163	53850163
chrX	47892974	47894974
chr8	106337988	106339988
chrX	157492287	157494287
chr2	136711452	136713452
chr11	59451186	59453186
chr9	86880654	86882654
chr6	60829855	60831855
chr13	54766595	54768595
chr2	158373637	158375637
chr7	60140219	60142219
chr15	55906949	55908949
chr12	30373375	30375375
chr3	10440102	10442102
chr10	43174530	43176530
chr12	36312138	36314138
chr12	27342574	27344574
chr12	118844328	118846328
chr2	73269924	73271924
chr2	18692031	18694031
chr1	57772161	57774161
chr17	27728955	27730955
chr1	83408200	83410200
chr18	62546910	62548910
chr7	29281912	29283912
chr8	123330712	123332712
chr13	57908332	57910332
chr8	62949008	62951008
chr7	140154877	140156877
chr15	102136234	102138234
chr6	112947266	112949266
chr5	135804889	135806889
chr5	116591817	116593817
chr4	33206990	33208990
chr2	180040508	180042508
chr13	91458282	91460282
chr16	23890958	23892958
chr11	113617341	113619341
chr2	148393343	148395343
chr7	74013690	74015690
chr18	64252358	64254358
chr9	111690348	111692348
chr5	92601040	92603040
chr5	37717171	37719171
chr7	139213307	139215307
chr4	134466319	134468319
chr3	8507359	8509359
chr2	181314500	181316500
chr16	62812675	62814675
chr7	127824549	127826549
chr2	32847245	32849245
chr16	37384962	37386962
chr15	84105754	84107754
chr8	123158315	123160315
chr10	75644008	75646008
chr3	96179150	96181150
chr7	75309262	75311262
chr13	96132577	96134577
chr5	114091570	114093570
chrX	20921004	20923004
chr6	115132901	115134901
chr10	86498896	86500896
chr17	24689955	24691955
chr14	13282779	13284779
chrX	7636470	7638470
chr10	109010982	109012982
chr15	89841860	89843860
chr2	92913097	92915097
chr1	193035775	193037775
chr12	73995660	73997660
chr7	118448222	118450222
chr1	134644676	134646676
chr7	44382101	44384101
chr18	31447406	31449406
chr7	4547541	4549541
chr3	103573230	103575230
chr19	10387089	10389089
chr7	107368727	107370727
chr4	133263113	133265113
chr6	7552878	7554878
chr10	127722477	127724477
chr6	82400333	82402333
chr4	152038568	152040568
chr17	24205562	24207562
chr10	121351278	121353278
chr2	61800929	61802929
chrX	136203876	136205876
chrX	135210687	135212687
chrX	136212778	136214778
chr7	138397730	138399730
chr3	93440329	93442329
chr17	28080639	28082639
chr17	43630299	43632299
chr4	126325688	126327688
chr8	112009397	112011397
chr13	73624910	73626910
chr8	33514737	33516737
chr7	142931128	142933128
chr6	12749410	12751410
