chr	promoter_start	promoter_end
chr9	7873186	7875186
chrX	164258193	164260193
chr9	69987465	69989465
chr1	93683659	93685659
chr2	154188817	154190817
chr10	79702490	79704490
chr4	62478052	62480052
chr1	184883218	184885218
chr14	60766133	60768133
chr2	84425411	84427411
chr6	34596499	34598499
chr9	62856079	62858079
chr6	72542390	72544390
chr7	28879421	28881421
chr11	84955785	84957785
chr8	121944904	121946904
chr15	78803042	78805042
chr9	5343429	5345429
chr3	129899424	129901424
chr19	56395128	56397128
chr1	58793373	58795373
chr3	102084414	102086414
chr13	74808810	74810810
chr6	17304334	17306334
chr6	17279184	17281184
chr13	100667716	100669716
chr6	49317273	49319273
chr2	77170636	77172636
chr11	28584324	28586324
chr1	83114765	83116765
chr4	11189350	11191350
chr5	93265256	93267256
chr11	43526783	43528783
chr11	101175443	101177443
chr9	78613545	78615545
chr7	141465391	141467391
chr19	5066077	5068077
chr17	42876665	42878665
chr11	102039508	102041508
chr17	33841090	33843090
chr1	194936818	194938818
chr2	165053626	165055626
chr2	104093800	104095800
chr6	129275436	129277436
chr2	148443563	148445563
chr17	79355091	79357091
chr7	4164860	4166860
chr8	104099624	104101624
chr9	107990496	107992496
chr10	69352938	69354938
chr17	29088975	29090975
chr7	143461050	143463050
chr4	89294653	89296653
chr4	89311039	89313039
chr14	46758540	46760540
chr19	38053010	38055010
chr8	104829571	104831571
chr8	104924259	104926259
chr3	129833883	129835883
chr9	71771602	71773602
chr11	69795943	69797943
chr18	15760157	15762157
chr9	107294025	107296025
chr13	51643231	51645231
chr16	18774846	18776846
chr17	23677248	23679248
chr12	58269290	58271290
chr6	129452000	129454000
chr6	129395296	129397296
chr6	129406861	129408861
chr17	44132767	44134767
chr16	92483735	92485735
chr9	114844156	114846156
chr8	95306585	95308585
chr10	79986583	79988583
chr5	96164171	96166171
chr4	135893393	135895393
chr2	65239403	65241403
chr15	55305749	55307749
chr10	77166548	77168548
chr6	8192617	8194617
chr8	11312826	11314826
chr8	11310804	11312804
chr1	82584920	82586920
chr2	152752172	152754172
chrX	106013699	106015699
chr6	30637217	30639217
chr1	195131586	195133586
chr18	3337748	3339748
chr12	113138235	113140235
chr1	17725044	17727044
chr9	114390675	114392675
chr5	113081584	113083584
chr16	59600979	59602979
chr11	98699262	98701262
chr10	110917788	110919788
chr15	39074931	39076931
chr18	35116858	35118858
chr9	90052151	90054151
chr19	5468507	5470507
chr5	90889240	90891240
chr1	128592293	128594293
chr15	82380260	82382260
chr9	121916305	121918305
chr14	73049114	73051114
chr5	37733518	37735518
chr16	85553397	85555397
chr11	51648953	51650953
chr15	6297787	6299787
chr2	27163232	27165232
chr10	52231618	52233618
chr11	11898144	11900144
chr4	40239828	40241828
chr17	28205777	28207777
chr12	108702315	108704315
chr3	103100603	103102603
chr15	73510559	73512559
chr6	137752545	137754545
chr1	75358328	75360328
chr10	128744855	128746855
chr14	78732776	78734776
chr15	98898540	98900540
chr8	36953143	36955143
chr2	119323783	119325783
chr2	80313465	80315465
chrX	74282337	74284337
chr9	21852635	21854635
chr8	94876330	94878330
chr2	62412231	62414231
chr3	106545797	106547797
chr16	35939151	35941151
chr1	172632962	172634962
chr10	99261230	99263230
chr6	84006589	84008589
chr10	110743438	110745438
chr11	44615316	44617316
chr4	137860236	137862236
chr3	95739569	95741569
chr13	49502809	49504809
chr18	35722356	35724356
chr2	174758618	174760618
chr3	89281142	89283142
chr2	26578013	26580013
chr17	34615971	34617971
chr15	7398395	7400395
chr7	15967567	15969567
chr15	43282719	43284719
chr15	51865523	51867523
chr14	79479193	79481193
chr10	93311135	93313135
chr3	137339066	137341066
chr6	135360544	135362544
chr15	97731339	97733339
chr2	32644594	32646594
chr3	129332720	129334720
chr10	24842823	24844823
chr17	86751699	86753699
chr4	141299239	141301239
chr5	137348108	137350108
chr9	21963506	21965506
chr7	141336879	141338879
chr16	95586593	95588593
chr9	37526077	37528077
chr13	113207658	113209658
chr10	128525871	128527871
chr12	116279195	116281195
chr2	19907779	19909779
chr9	32634220	32636220
chr16	95700074	95702074
chr8	105296101	105298101
chr19	37518878	37520878
chr13	95618487	95620487
chr13	95525227	95527227
chr8	72759879	72761879
chr1	164149837	164151837
chr19	12543739	12545739
chr1	80218473	80220473
chr1	151569185	151571185
chr6	59024549	59026549
chr7	30971789	30973789
chr16	30597722	30599722
chr1	191164817	191166817
chr6	29277592	29279592
chr6	148045258	148047258
chr12	101819055	101821055
chr9	66514609	66516609
chr8	105262647	105264647
chr7	45103851	45105851
chr13	98815449	98817449
chr14	45530118	45532118
chr6	91976877	91978877
chr5	43981779	43983779
chr9	80012851	80014851
chr11	100413696	100415696
chr2	76673116	76675116
chr9	32542861	32544861
chr14	7815956	7817956
chr12	95690225	95692225
chr5	147726011	147728011
chr11	49607262	49609262
chr1	71653200	71655200
chr17	7827302	7829302
chr13	31804632	31806632
chr13	31623815	31625815
chr9	98953287	98955287
chr6	99522721	99524721
chr13	31554133	31556133
chr2	152933208	152935208
chr4	83052339	83054339
chr10	34481398	34483398
chr6	97617541	97619541
chr2	80447625	80449625
chr9	14752393	14754393
chr7	31042481	31044481
chr7	89402354	89404354
chr15	39004033	39006033
chr11	101365560	101367560
chr6	67037457	67039457
chr6	88191890	88193890
chr2	9890034	9892034
chr16	70311948	70313948
chr3	142618601	142620601
chr3	142558025	142560025
chr5	105139586	105141586
chr3	142491977	142493977
chr14	47189413	47191413
chr2	119165772	119167772
chr13	40857753	40859753
chr7	126764333	126766333
chr15	3583492	3585492
chr6	48737053	48739053
chr6	48682548	48684548
chr6	48744196	48746196
chr6	48708225	48710225
chr6	48645233	48647233
chr6	48674128	48676128
chr10	81343266	81345266
chr4	127314039	127316039
chr3	96902692	96904692
chr11	102819700	102821700
chr6	87388935	87390935
chr17	40914350	40916350
chr9	99035715	99037715
chr11	99877186	99879186
chrX	23880552	23882552
chrX	106581185	106583185
chr11	89071840	89073840
chrX	101263992	101265992
chr6	142011414	142013414
chr13	32338740	32340740
chr13	24761923	24763923
chr6	4001903	4003903
chr3	75956949	75958949
chrX	52613950	52615950
chr2	132587729	132589729
chr15	75594627	75596627
chrX	152779920	152781920
chr3	30853949	30855949
chr10	127751732	127753732
chr7	19210537	19212537
chr6	135063650	135065650
chr4	108406961	108408961
chr11	61651264	61653264
chr15	101222187	101224187
chr11	12038683	12040683
chr11	98444393	98446393
chr19	60887748	60889748
chr18	65870819	65872819
chr4	134254106	134256106
chr9	78180773	78182773
chr3	107986453	107988453
chr3	107931817	107933817
chr10	75837424	75839424
chr18	32560034	32562034
chr17	37268219	37270219
chr7	79131018	79133018
chr16	33682369	33684369
chrX	96453358	96455358
chr19	37432809	37434809
chr11	75169519	75171519
chr11	102833848	102835848
chr1	150993435	150995435
chr3	98278434	98280434
chrX	109013404	109015404
chr5	77115121	77117121
chrX	52986136	52988136
chr4	43725187	43727187
chr7	127798603	127800603
chr8	105267800	105269800
chr2	131125279	131127279
chr5	135885918	135887918
chr9	50752354	50754354
chr5	116422864	116424864
chr4	137466768	137468768
chr14	74638839	74640839
chr5	35679782	35681782
chr11	106388075	106390075
chr3	151749960	151751960
chr11	49074586	49076586
chr2	62646255	62648255
chr7	140965220	140967220
chr7	141010770	141012770
chr16	91483237	91485237
chr7	67950826	67952826
chr11	7195781	7197781
chr11	7213923	7215923
chr5	77408041	77410041
chr16	96359667	96361667
chr18	60374026	60376026
chrX	36110109	36112109
chr8	82403222	82405222
chr6	113469426	113471426
chr1	40223079	40225079
chr8	84042589	84044589
chr14	14344274	14346274
chr5	30011113	30013113
chr1	166252138	166254138
chr6	29216364	29218364
chr8	71687213	71689213
chr16	33056218	33058218
chr7	80825974	80827974
chr7	141266481	141268481
chr11	58197617	58199617
chr8	91802067	91804067
chr2	139676177	139678177
chr8	70592372	70594372
chr13	115101964	115103964
chr2	79253425	79255425
chr8	128683653	128685653
chr4	99929813	99931813
chrX	107403376	107405376
chr6	108211095	108213095
chr19	47919299	47921299
chr2	137116644	137118644
chr12	112929776	112931776
chr19	29249827	29251827
chr17	33808518	33810518
chr4	98817537	98819537
chr6	126535412	126537412
chr7	100174501	100176501
chr1	78814757	78816757
chr18	80364254	80366254
chr16	95255557	95257557
chr11	111064163	111066163
chr6	142571614	142573614
chr14	20181809	20183809
chr11	33961012	33963012
chr7	143104361	143106361
chr6	29507952	29509952
chr5	114380508	114382508
chrX	153696391	153698391
chr5	75978458	75980458
chr9	61946774	61948774
chr12	112144207	112146207
chr10	100013629	100015629
chrX	114472332	114474332
chr6	122282882	122284882
chr4	108845784	108847784
chr15	98482721	98484721
chr17	67695258	67697258
chr10	38963514	38965514
chr2	180225859	180227859
chr12	31263233	31265233
chr9	108477735	108479735
chr1	153332786	153334786
chr2	31885290	31887290
chr2	158304492	158306492
chr2	102186385	102188385
chr3	131108470	131110470
chr4	101715403	101717403
chr10	58321465	58323465
chr19	34527474	34529474
chr9	70952226	70954226
chr2	103955985	103957985
chr5	147076586	147078586
chr14	69607067	69609067
chr19	42612813	42614813
chrX	106918624	106920624
chr14	73235894	73237894
chr4	107799868	107801868
chr14	32989381	32991381
chr7	98487282	98489282
chr2	85197197	85199197
chr5	105517387	105519387
chr7	30973464	30975464
chr7	27337692	27339692
chr4	136467760	136469760
chr15	74998031	75000031
chr17	35106278	35108278
chr15	74983430	74985430
chr2	60383303	60385303
chr15	74734329	74736329
chr1	4805787	4807787
chr13	81655662	81657662
chr8	69184225	69186225
chr10	79662558	79664558
chr2	127729932	127731932
chr18	65428937	65430937
chr7	45637976	45639976
chr17	64598735	64600735
chr6	134632488	134634488
chrX	16617697	16619697
chr19	6339134	6341134
chr15	89140703	89142703
chr19	42145399	42147399
chr13	100616971	100618971
chr9	44132468	44134468
chr3	30548008	30550008
chr4	154168729	154170729
chr11	101894374	101896374
chr4	122961188	122963188
chr11	68554185	68556185
chr6	136875823	136877823
chr3	51658359	51660359
chr7	18837965	18839965
chr8	111338177	111340177
chr17	23645277	23647277
chr11	83463071	83465071
chr6	60922975	60924975
chr14	34373464	34375464
chr7	99238619	99240619
chrX	53370502	53372502
chr18	7626866	7628866
chr1	165634538	165636538
chrX	96094041	96096041
chr10	120899101	120901101
chr5	37824583	37826583
chr7	140049089	140051089
chr16	33792036	33794036
chr14	30877199	30879199
chr11	116828046	116830046
chr10	5591774	5593774
chr11	68689558	68691558
chr17	70990890	70992890
chr11	104548662	104550662
chr10	128494145	128496145
chr2	156773419	156775419
chr16	34743209	34745209
chr7	127206889	127208889
chr1	51916071	51918071
chr9	70205349	70207349
chr19	38043577	38045577
chr11	51650842	51652842
chr9	18402995	18404995
chr12	32817544	32819544
chr2	127133954	127135954
chr9	100546134	100548134
chr17	71526857	71528857
chr10	127512966	127514966
chr3	87969077	87971077
chr13	3918220	3920220
chr14	55821143	55823143
chr13	13435550	13437550
chr14	19749264	19751264
chr8	88519353	88521353
chr16	3976632	3978632
chr11	93956259	93958259
chr2	51973494	51975494
chr10	61415971	61417971
chr7	46031697	46033697
chr11	78918786	78920786
chr5	24362809	24364809
chr2	69133799	69135799
chr17	34562267	34564267
chr11	120661175	120663175
chr7	87244095	87246095
chr17	24694233	24696233
chr3	90465866	90467866
chr15	11907287	11909287
chr8	128356603	128358603
chr7	125491596	125493596
chr10	34418552	34420552
chr12	112942124	112944124
chr11	76399140	76401140
chr5	120812514	120814514
chr13	100552718	100554718
chr12	17542793	17544793
chr15	89379587	89381587
chr13	49606045	49608045
chr2	119618469	119620469
chr7	99728272	99730272
chr11	48976888	48978888
chr15	6874969	6876969
chr3	59153618	59155618
chr3	116968987	116970987
chr12	83761633	83763633
chr9	62026856	62028856
chr16	35936469	35938469
chr10	108330120	108332120
chr18	38212053	38214053
chr18	38284402	38286402
chr1	171196268	171198268
chr3	75556856	75558856
chr3	122726946	122728946
chr10	20725078	20727078
chr7	81211595	81213595
chr9	6166583	6168583
chr16	35490873	35492873
chr3	87824306	87826306
chr11	106750628	106752628
chr7	18869330	18871330
chr4	99927413	99929413
chr19	24861855	24863855
chr10	13474412	13476412
chr14	31251317	31253317
chr16	45953598	45955598
chr11	68501018	68503018
chr19	24555872	24557872
chrX	164267370	164269370
chr2	30075683	30077683
chr16	38433145	38435145
chr4	138757626	138759626
chr4	152070497	152072497
chr17	84509894	84511894
chr13	110393045	110395045
chrX	75875182	75877182
chr2	164857711	164859711
chr6	115995005	115997005
chr18	66456532	66458532
chr6	31563981	31565981
chr13	96542579	96544579
chr12	3952950	3954950
chr5	147858460	147860460
chr5	115233835	115235835
chr9	51211707	51213707
chrX	160735765	160737765
chr6	146886486	146888486
chr18	53418115	53420115
chr3	104779055	104781055
chr12	111908110	111910110
chr16	31275277	31277277
chr7	92872469	92874469
chr10	44528501	44530501
chr18	41951242	41953242
chr1	10991464	10993464
chrX	7655259	7657259
chr12	73582795	73584795
chr7	16840901	16842901
chr2	155749116	155751116
chr5	44102032	44104032
chr11	50953765	50955765
chr7	45062677	45064677
chr7	89527187	89529187
chr18	14704150	14706150
chr11	101095436	101097436
chr17	35531200	35533200
chr2	30929863	30931863
chr3	101110278	101112278
chr2	167240604	167242604
chr1	150098030	150100030
chr5	21055911	21057911
chr10	116273522	116275522
chr14	11551531	11553531
chr10	28072819	28074819
chr17	67354457	67356457
chr7	19921160	19923160
chr8	27174646	27176646
chr17	66519729	66521729
chr3	90211694	90213694
chr6	126939587	126941587
chr15	10714624	10716624
chr11	101244027	101246027
chr12	117514478	117516478
chr11	54520846	54522846
chr11	59964944	59966944
chr17	75433895	75435895
chr7	45625487	45627487
chr9	107549554	107551554
chr10	121476347	121478347
chr10	102510221	102512221
chr2	60963192	60965192
chr9	98420960	98422960
chr4	149454978	149456978
chr8	33929863	33931863
chr7	45092221	45094221
chr1	191975369	191977369
chr14	55616036	55618036
chr5	63968897	63970897
chr2	152624950	152626950
chr6	118197718	118199718
chr1	152766351	152768351
chr5	34947444	34949444
chr1	153738348	153740348
chr4	62557846	62559846
chr1	169653500	169655500
chr10	69149433	69151433
chr3	104786374	104788374
chr19	4439432	4441432
chr12	75306321	75308321
chr13	34000362	34002362
chr16	94326419	94328419
chr19	5599872	5601872
chr18	20942624	20944624
chr13	47120655	47122655
chr4	62435252	62437252
chr15	36283147	36285147
chr9	37399896	37401896
chr4	100093790	100095790
chr15	97705825	97707825
chr11	75938429	75940429
chr18	74996557	74998557
chr3	28803435	28805435
chr11	97782437	97784437
chr1	39365841	39367841
chr2	39005624	39007624
chr11	114666523	114668523
chrX	37085402	37087402
chr16	10168225	10170225
chr18	60745097	60747097
chr9	66944085	66946085
chrX	159208306	159210306
chr12	28635953	28637953
chr9	120125688	120127688
chr7	45015960	45017960
chr2	13271415	13273415
chr9	110990583	110992583
chr16	23518290	23520290
chr3	93518487	93520487
chr13	51406638	51408638
chr6	3399572	3401572
chr16	76022281	76024281
chr5	125341094	125343094
chr11	75511539	75513539
chr11	49661609	49663609
chr2	151570621	151572621
chr11	16508484	16510484
chr11	121081220	121083220
chr1	164046233	164048233
chr1	164113263	164115263
chr5	17572280	17574280
chr14	31215859	31217859
chr9	57938111	57940111
chr12	104261121	104263121
chr13	34002794	34004794
chr13	32963208	32965208
chr13	33905708	33907708
chr13	33001249	33003249
chr13	33025415	33027415
chr7	99353239	99355239
chr7	27484909	27486909
chr14	59440884	59442884
chr19	32389714	32391714
chr3	131491411	131493411
chr1	78308344	78310344
chr18	61951074	61953074
chr3	89829369	89831369
chr11	53455204	53457204
chrX	6397853	6399853
chr7	141100572	141102572
chr3	104636667	104638667
chr11	70210751	70212751
chr19	34747289	34749289
chr11	70221064	70223064
chrX	103821983	103823983
chr3	107289229	107291229
chr10	70243099	70245099
chr1	83038448	83040448
chr7	143471735	143473735
chr19	8589253	8591253
chr1	75133890	75135890
chr9	108660087	108662087
chr3	109121148	109123148
chr10	127180645	127182645
chr4	119106710	119108710
chr1	191904766	191906766
chr4	62358726	62360726
chr4	62260561	62262561
chr13	64129368	64131368
chr9	53769537	53771537
chr2	65364034	65366034
chr15	96699730	96701730
chrX	8269132	8271132
chr1	46892852	46894852
chr3	135823278	135825278
chr1	45926523	45928523
chr2	84934578	84936578
chr5	147894815	147896815
chr8	70892757	70894757
chr5	31048924	31050924
chr9	123678885	123680885
chr6	91682052	91684052
chr5	148399904	148401904
chrX	101086020	101088020
chr8	121907694	121909694
chr1	40678573	40680573
chr17	24650327	24652327
chr6	141856199	141858199
chr6	142322981	142324981
chr6	142208521	142210521
chr6	141627517	141629517
chr6	141522367	141524367
chr9	102986711	102988711
chr11	83189329	83191329
chr11	82949348	82951348
chr9	64022059	64024059
chr17	14277505	14279505
chr11	3540612	3542612
chr16	14703851	14705851
chr9	122115265	122117265
chr1	133610291	133612291
chr8	106933749	106935749
chr3	117868936	117870936
chr5	52361790	52363790
chr8	45505787	45507787
chr1	4497354	4499354
chr2	181671640	181673640
chr14	63941672	63943672
chr1	85647987	85649987
chr11	55423183	55425183
chr4	111717983	111719983
chr10	60104218	60106218
chr5	33218455	33220455
chr10	62527451	62529451
chr2	181213185	181215185
chr9	35198174	35200174
chr15	67176830	67178830
chr16	58524243	58526243
chr11	116681290	116683290
chr11	116694868	116696868
chr1	95667571	95669571
chr2	13794064	13796064
chr17	56005584	56007584
chr5	151233836	151235836
chr14	69027237	69029237
chr15	35178921	35180921
chr2	35336976	35338976
chr10	62726128	62728128
chr9	58061787	58063787
chr14	34217594	34219594
chrX	133981812	133983812
chr17	8432422	8434422
chr3	134827006	134829006
chr1	172498046	172500046
chr4	115054425	115056425
chr2	59610041	59612041
chr11	73175082	73177082
chr4	46650209	46652209
chr16	18590671	18592671
chr11	85830550	85832550
chr5	119668668	119670668
chr11	85884421	85886421
chr10	81326730	81328730
chr1	4855813	4857813
chr4	136245728	136247728
chr2	152141560	152143560
chr17	35516824	35518824
chr11	52283331	52285331
chr7	45213752	45215752
chr6	128300823	128302823
chr5	83355195	83357195
chr4	94737288	94739288
chr8	95308565	95310565
chr6	17063148	17065148
chr2	84476775	84478775
chr6	3988919	3990919
chr16	32606919	32608919
chr7	128244811	128246811
chr5	107289629	107291629
chr2	148408188	148410188
chr8	22225312	22227312
chr16	90143769	90145769
chr4	118490061	118492061
chrX	20868165	20870165
chr4	130175122	130177122
chr7	65527781	65529781
chr3	57301988	57303988
chr9	7762040	7764040
chr3	84664191	84666191
chr17	25083591	25085591
chr16	56886166	56888166
chr4	142084304	142086304
chr15	66561103	66563103
chr11	69398234	69400234
chr11	80808174	80810174
chr11	76900158	76902158
chr9	75559657	75561657
chr6	72958748	72960748
chrX	167209315	167211315
chr11	78536332	78538332
chr17	56160476	56162476
chr14	69765471	69767471
chr15	54278484	54280484
chr4	152113933	152115933
chr4	145315164	145317164
chr3	27315027	27317027
chr10	31445958	31447958
chr6	43666278	43668278
chr8	72128173	72130173
chr2	152344032	152346032
chr11	62818230	62820230
chr11	88997375	88999375
chr7	104465193	104467193
chr17	57247454	57249454
chr19	18747982	18749982
chr14	76412960	76414960
chr2	169631012	169633012
chr12	36042500	36044500
chr2	93334505	93336505
chr7	67645409	67647409
chr12	9027996	9029996
chr18	20663279	20665279
chr11	114673430	114675430
chr9	60792541	60794541
chr2	84796827	84798827
chr19	41979762	41981762
chr4	138737167	138739167
chr11	82908549	82910549
chr8	71395802	71397802
chr6	121243905	121245905
chr9	66593142	66595142
chr11	67922153	67924153
chr3	122984510	122986510
chr10	12869365	12871365
chr6	72380468	72382468
chr8	54075605	54077605
chr1	74407375	74409375
chr2	13571926	13573926
chr5	117317082	117319082
chr9	37537254	37539254
chr11	78497090	78499090
chr4	155774698	155776698
chr6	125544773	125546773
chr7	110120045	110122045
chr8	119664364	119666364
chr6	119544347	119546347
chr8	47990924	47992924
chr3	57575910	57577910
chr11	72299628	72301628
chr9	8004596	8006596
chr5	32609170	32611170
chr1	36759797	36761797
chr5	139484549	139486549
chr12	40445902	40447902
chr13	99182822	99184822
chr17	21533538	21535538
chr4	120951699	120953699
chr17	21845772	21847772
chr17	55890092	55892092
chrX	58020699	58022699
