MGI Gene ID	Gene Symbol	Gene Name	Type	Chr	Genome Location-GRCm38	cM	Strand	
MGI:1913862	Ormdl3	ORM1-like 3 (S. cerevisiae)	protein coding gene	11	98581294-98587245	62.07	-	
MGI:2137624	Pom121	nuclear pore membrane protein 121	protein coding gene	5	135376141-135394546	75.16	-	
MGI:1859617	Ppp1r3f	protein phosphatase 1, regulatory subunit 3F	protein coding gene	X	7558562-7574281	3.4	-	
MGI:894835	Rbbp6	retinoblastoma binding protein 6, ubiquitin ligase	protein coding gene	7	122970564-123002572	67.42	+	
MGI:109518	Sftpa1	surfactant associated protein A1	protein coding gene	14	41131788-41136373	22.36	+	
MGI:98285	Srsf3	serine/arginine-rich splicing factor 3	protein coding gene	17	29032660-29043372	15.03	+	
MGI:1922423	Tex38	testis expressed 38	protein coding gene	4	115779834-115781018	53.06	-	
MGI:1858259	Tomm40	translocase of outer mitochondrial membrane 40	protein coding gene	7	19701313-19715429	9.94	-	
MGI:2450877	Tspoap1	TSPO associated protein 1	protein coding gene	11	87760541-87785928	52.21	+	
MGI:1914760	Tvp23b	trans-golgi network vesicle protein 23B	protein coding gene	11	62879435-62895186	38.81	+	
MGI:1921633	Ubap2l	ubiquitin-associated protein 2-like	protein coding gene	3	90000140-90052628	39.19	-	
MGI:2685478	Zfp512b	zinc finger protein 512B	protein coding gene	2	181582103-181592803	103.67	-	
MGI:1916626	Zpbp2	zona pellucida binding protein 2	protein coding gene	11	98551097-98558665	61.97	+	
