MGI Gene ID	Gene Symbol	Gene Name	Type	Chr	Genome Location-GRCm38	cM	Strand	
MGI:1933993	Kcnn1	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1	protein coding gene	8	70842049-70863258	34.27	-	
MGI:2153183	Kcnn3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	protein coding gene	3	89520164-89672494	39.16	+	
MGI:1924937	Kcnq5	potassium voltage-gated channel, subfamily Q, member 5	protein coding gene	1	21398403-21961942	6.67	-	
MGI:1925517	Klhdc8b	kelch domain containing 8B	protein coding gene	9	108447636-108461581	59.37	-	
MGI:2448063	Lrrc10	leucine rich repeat containing 10	protein coding gene	10	117045341-117046768	65.06	+	
MGI:2685551	Lrrc10b	leucine rich repeat containing 10B	protein coding gene	19	10455371-10457447	6.6	-	
MGI:3642848	Mhrt	myosin heavy chain associated RNA transcript	lncRNA gene	14	54968787-54974349	28.01	+	
MGI:3783373	Mir1b	microRNA 1b	miRNA gene	18	10785446-10785567	5.4	+	
MGI:2676883	Mir208a	microRNA 208a	miRNA gene	14	54949060-54949142	28.0	-	
MGI:3718461	Mir208b	microRNA 208b	miRNA gene	14	54975700-54975776	28.02	-	
MGI:1927340	Mpp6	membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)	protein coding gene	6	50110241-50198598	24.13	+	
MGI:1916003	Mybphl	myosin binding protein H-like	protein coding gene	3	108364911-108380057	46.98	+	
MGI:97368	Nppb	natriuretic peptide type B	protein coding gene	4	147985788-147987205	78.57	+	
MGI:3030711	Olfr877	olfactory receptor 877	protein coding gene	9	37854820-37855755	20.81	+	
MGI:1337113	P2rx6	purinergic receptor P2X, ligand-gated ion channel, 6	protein coding gene	16	17561855-17572012	10.88	+	
MGI:2388285	Pkn3	protein kinase N3	protein coding gene	2	30077684-30091022	21.13	+	
MGI:1923392	Ppp1r14c	protein phosphatase 1, regulatory inhibitor subunit 14C	protein coding gene	10	3366071-3464975	2.06	+	
MGI:107172	Ppp3r1	protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)	protein coding gene	11	17159298-17200380	9.71	+	
MGI:2448514	R3hdm1	R3H domain containing 1	protein coding gene	1	128103301-128237736	55.8	+	
MGI:3588214	Rufy4	RUN and FYVE domain containing 4	protein coding gene	1	74125541-74148223	38.38	+	
MGI:98247	Scn1b	sodium channel, voltage-gated, type I, beta	protein coding gene	7	31116524-31127003	19.3	-	
MGI:102965	Scn7a	sodium channel, voltage-gated, type VII, alpha	protein coding gene	2	66673426-66784910	39.21	-	
MGI:894668	Serpinb9b	serine (or cysteine) peptidase inhibitor, clade B, member 9b	protein coding gene	13	33027414-33040559	13.79	+	
MGI:1933549	Slmap	sarcolemma associated protein	protein coding gene	14	26413168-26534931	16.09	-	
MGI:2442764	Smtnl2	smoothelin-like 2	protein coding gene	11	72389164-72411713	44.15	-	
MGI:1328311	Sypl2	synaptophysin-like 2	protein coding gene	3	108211472-108226648	46.87	-	
MGI:1914240	Tmem134	transmembrane protein 134	protein coding gene	19	4125960-4132307	3.83	+	
MGI:2384577	Tmem161a	transmembrane protein 161A	protein coding gene	8	70172356-70183681	34.15	+	
MGI:3036269	Trim55	tripartite motif-containing 55	protein coding gene	3	19644474-19692421	5.65	+	
MGI:3612190	Trim72	tripartite motif-containing 72	protein coding gene	7	128003949-128011033	69.89	+	
