MGI Gene ID	Gene Symbol	Gene Name	Type	Chr	Genome Location-GRCm38	cM	Strand	
MGI:3644008	Ccdc85c	coiled-coil domain containing 85C	protein coding gene	12	108203602-108275425	59.23	-	
MGI:2685871	Ccdc180	coiled-coil domain containing 180	protein coding gene	4	45890303-45950774	24.42	+	
MGI:1922145	Ccdc181	coiled-coil domain containing 181	protein coding gene	1	164275598-164287847	71.59	+	
MGI:2445022	Ccdc186	coiled-coil domain containing 186	protein coding gene	19	56787481-56822190	51.99	-	
MGI:107186	Cct2	chaperonin containing Tcp1, subunit 2 (beta)	protein coding gene	10	117051001-117063814	65.07	-	
MGI:88345	Cd72	CD72 antigen	protein coding gene	4	43447724-43454741	23.04	-	
MGI:2445221	Cd109	CD109 antigen	protein coding gene	9	78615546-78716253	43.65	+	
MGI:1889510	Cdc42se1	CDC42 small effector 1	protein coding gene	3	95228732-95236409	40.74	+	
MGI:1918175	Cdkn2aip	CDKN2A interacting protein	protein coding gene	8	47709344-47713932	26.88	-	
MGI:2685664	Celrr	cerebellum expressed regulatory RNA	lncRNA gene	1	121087405-121120975	52.81	+	
MGI:1915551	Cep57	centrosomal protein 57	protein coding gene	9	13807792-13827107	3.49	-	
MGI:1347085	Cetn2	centrin 2	protein coding gene	X	72913565-72918344	37.29	-	
MGI:1289258	Cfap43	cilia and flagella associated protein 43	protein coding gene	19	47735267-47837837	40.41	-	
MGI:2686209	Cfap57	cilia and flagella associated protein 57	protein coding gene	4	118554550-118620766	54.84	-	
MGI:1924209	Chmp5	charged multivesicular body protein 5	protein coding gene	4	40948553-40965302	20.69	+	
MGI:1202403	Chrna9	cholinergic receptor, nicotinic, alpha polypeptide 9	protein coding gene	5	65934921-65977326	33.84	+	
MGI:2138283	Chst10	carbohydrate sulfotransferase 10	protein coding gene	1	38863867-38898161	17.24	-	
MGI:1918816	Clmp	CXADR-like membrane protein	protein coding gene	9	40685962-40785319	21.42	+	
MGI:1919279	Cnpy3	canopy FGF signaling regulator 3	protein coding gene	17	46735705-46752214	22.9	-	
MGI:3588199	Cntnap3	contactin associated protein-like 3	protein coding gene	13	64737591-64904029	33.46	-	
MGI:2183572	Cntnap4	contactin associated protein-like 4	protein coding gene	8	112570043-112882717	58.7	+	
MGI:1889576	Cntrl	centriolin	protein coding gene	2	35109492-35178822	23.36	+	
MGI:1333873	Cog1	component of oligomeric golgi complex 1	protein coding gene	11	113649169-113667054	79.1	+	
MGI:2384571	Cplx3	complexin 3	protein coding gene	9	57599992-57606281	31.11	-	
MGI:1923097	Crppa	CDP-L-ribitol pyrophosphorylase A	protein coding gene	12	36381450-36689503	16.84	+	
MGI:109345	Ctr9	CTR9 homolog, Paf1/RNA polymerase II complex component	protein coding gene	7	111028951-111056377	57.98	+	
MGI:1914366	Cuedc2	CUE domain containing 2	protein coding gene	19	46329812-46338660	38.81	-	
MGI:1335107	Cyth3	cytohesin 3	protein coding gene	5	143622447-143710250	82.36	+	
MGI:2443698	D130060J02Rik	RIKEN cDNA D130060J02 gene	lncRNA gene	4	9395378-9400974			
MGI:3609650	D430004P15Rik	Riken cDNA D430004P15 gene	lncRNA gene	3	55725927-55728436			
MGI:3045245	D430018E03Rik	RIKEN cDNA D430018E03 gene	lncRNA gene	5	142874077-142878373	81.79	-	
MGI:2443127	D430019H16Rik	RIKEN cDNA D430019H16 gene	protein coding gene	12	105453856-105493095	55.61	+	
MGI:2679513	Dbpht2	DNA binding protein with his-thr domain	protein coding gene	12	74297474-74300468	32.46	+	
MGI:2156057	Dclre1b	DNA cross-link repair 1B	protein coding gene	3	103800605-103809387	45.52	-	
MGI:1914915	Dctn4	dynactin 4	protein coding gene	18	60526185-60558766	34.36	+	
MGI:1917244	Ddi2	DNA-damage inducible protein 2	protein coding gene	4	141683563-141723419	74.69	-	
MGI:1920895	Ddx46	DEAD (Asp-Glu-Ala-Asp) box polypeptide 46	protein coding gene	13	55635027-55681256	30.06	+	
MGI:2146322	Deptor	DEP domain containing MTOR-interacting protein	protein coding gene	15	55112317-55259271	21.96	+	
MGI:1926075	Desi2	desumoylating isopeptidase 2	protein coding gene	1	178187417-178252598	82.93	+	
MGI:2443430	Dgki	diacylglycerol kinase, iota	protein coding gene	6	36846022-37300184	15.6	-	
MGI:1919412	Dhx36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	protein coding gene	3	62468013-62507004	29.97	-	
MGI:1858500	Diaph2	diaphanous related formin 2	protein coding gene	X	129749742-130465834	52.36	+	
MGI:1913504	Dimt1	DIM1 dimethyladenosine transferase 1-like (S. cerevisiae)	protein coding gene	13	106947127-106960224	58.06	+	
MGI:2447658	Disc1	disrupted in schizophrenia 1	protein coding gene	8	125054195-125261858	73.26	+	
MGI:1346065	Dlgap1	DLG associated protein 1	protein coding gene	17	69969073-70821413	40.85	+	
MGI:107721	Dnah1	dynein, axonemal, heavy chain 1	protein coding gene	14	31260375-31323896	19.1	-	
MGI:1922801	Dnajb8	DnaJ heat shock protein family (Hsp40) member B8	protein coding gene	6	88222268-88223256	39.25	+	
MGI:3045263	Dnajc5g	DnaJ heat shock protein family (Hsp40) member C5 gamma	protein coding gene	5	31108291-31112526	17.03	+	
MGI:107384	Dnm1	dynamin 1	protein coding gene	2	32308471-32353338	22.09	-	
MGI:109446	Doc2a	double C2, alpha	protein coding gene	7	126847416-126852705	69.25	+	
MGI:2442409	Dpp10	dipeptidylpeptidase 10	protein coding gene	1	123321471-124045559	53.68	-	
MGI:2444662	Dpy19l2	dpy-19-like 2 (C. elegans)	protein coding gene	9	24557047-24696293	10.22	-	
MGI:2443952	Dpy19l3	dpy-19-like 3 (C. elegans)	protein coding gene	7	35685500-35754454	21.37	-	
MGI:1929772	Dpysl5	dihydropyrimidinase-like 5	protein coding gene	5	30711569-30799369	16.8	+	
MGI:2685616	Drc7	dynein regulatory complex subunit 7	protein coding gene	8	95055103-95078141	47.12	+	
MGI:1342307	Drg2	developmentally regulated GTP binding protein 2	protein coding gene	11	60454617-60468752	37.81	+	
MGI:1919357	Dscc1	DNA replication and sister chromatid cohesion 1	protein coding gene	15	55076099-55090491	21.96	-	
MGI:3710520	Duxbl3	double homeobox B-like 3	protein coding gene	14	26257962-26269436	15.9	+	
MGI:95044	DXHXS1104	DNA segment, Chr X, human DXS1104	DNA segment	X	syntenic			
MGI:3584523	E130008D07Rik	RIKEN cDNA E130008D07 gene	lncRNA gene	17	43146041-43158291	19.7	-	
MGI:2444256	E330009J07Rik	RIKEN cDNA E330009J07 gene	protein coding gene	6	40401375-40436135	18.82	-	
MGI:95281	Ect2	ect2 oncogene	protein coding gene	3	27097222-27153878	10.82	-	
MGI:2684921	Eddm3b	epididymal protein 3B	protein coding gene	14	51114565-51117791	26.38	+	
MGI:95288	Eef2	eukaryotic translation elongation factor 2	protein coding gene	10	81176631-81182498	39.72	+	
MGI:1932287	Egln2	egl-9 family hypoxia-inducible factor 2	protein coding gene	7	27158658-27166802	15.83	-	
MGI:1196288	Eif6	eukaryotic translation initiation factor 6	protein coding gene	2	155819837-155826925	77.26	-	
MGI:1919985	Eldr	Egfr long non-coding downstream RNA	lncRNA gene	11	16935154-16951282	9.41	-	
MGI:2685106	Elmsan1	ELM2 and Myb/SANT-like domain containing 1	protein coding gene	12	84149176-84218881	39.07	-	
MGI:1921445	Elp3	elongator acetyltransferase complex subunit 3	protein coding gene	14	65530449-65593075	34.33	-	
MGI:3586824	Epha10	Eph receptor A10	protein coding gene	4	124881785-124917800	57.92	+	
MGI:95412	Ercc1	excision repair cross-complementing rodent repair deficiency, complementation group 1	protein coding gene	7	19344778-19356524	9.6	+	
MGI:1915571	Erg28	ergosterol biosynthesis 28	protein coding gene	12	85815448-85824550	39.81	-	
MGI:1916437	Erp27	endoplasmic reticulum protein 27	protein coding gene	6	136907311-136922180	66.72	-	
MGI:3646099	Etv3l	ets variant 3-like	protein coding gene	3	87554910-87555434	38.19	+	
MGI:1261783	Fam49a	family with sequence similarity 49, member A	protein coding gene	12	12262133-12376363	5.63	+	
MGI:2685122	Fam81b	family with sequence similarity 81, member B	protein coding gene	13	76201708-76278919	40.96	-	
MGI:1915465	Fam98b	family with sequence similarity 98, member B	protein coding gene	2	117249739-117271540	59.15	+	
MGI:1921097	Fam110a	family with sequence similarity 110, member A	protein coding gene	2	151969398-151980219	74.83	-	
MGI:1920475	Fam118a	family with sequence similarity 118, member A	protein coding gene	15	85028948-85062830	40.25	+	
MGI:1915402	Fam133b	family with sequence similarity 133, member B	protein coding gene	5	3543833-3570238	2.22	+	
MGI:1915925	Fam172a	family with sequence similarity 172, member A	protein coding gene	13	77708678-78166240	41.29	+	
MGI:1923156	Fam184a	family with sequence similarity 184, member A	protein coding gene	10	53633145-53751123	27.26	-	
MGI:2685813	Fam189a2	family with sequence similarity 189, member A2	protein coding gene	19	23972750-24031019	19.0	-	
MGI:1922578	Fam243	family with sequence similarity 243	protein coding gene	16	92318765-92321441	53.56	-	
MGI:1354698	Fbxw4	F-box and WD-40 domain protein 4	protein coding gene	19	45578254-45660312	38.75	-	
MGI:3646659	Fbxw24	F-box and WD-40 domain protein 24	protein coding gene	9	109601116-109626057	59.68	-	
MGI:1890648	Fignl1	fidgetin-like 1	protein coding gene	11	11800288-11808995	7.08	-	
MGI:2447586	Fkrp	fukutin related protein	protein coding gene	7	16809246-16816732	9.15	-	
MGI:1918659	Fmnl2	formin-like 2	protein coding gene	2	52857860-53133804	30.69	+	
MGI:2676921	Focad	focadhesin	protein coding gene	4	88094630-88411011	41.4	+	
MGI:1913336	Fopnl	Fgfr1op N-terminal like	protein coding gene	16	14299244-14317405	9.74	-	
MGI:95582	Fshb	follicle stimulating hormone beta	protein coding gene	2	107056140-107059656	56.02	-	
MGI:1858901	Fut8	fucosyltransferase 8	protein coding gene	12	77238125-77476338	35.46	+	
MGI:1889006	Fxyd7	FXYD domain-containing ion transport regulator 7	protein coding gene	7	31042515-31051454	19.29	-	
MGI:1333854	Gab2	growth factor receptor bound protein 2-associated protein 2	protein coding gene	7	97081751-97308951	53.39	+	
MGI:95617	Gabra5	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 5	protein coding gene	7	57407672-57510059	33.52	-	
MGI:95636	Galc	galactosylceramidase	protein coding gene	12	98202294-98259459	49.83	-	
MGI:1202388	Gas7	growth arrest specific 7	protein coding gene	11	67455437-67688990	41.13	+	
MGI:1918521	Gca	grancalcin	protein coding gene	2	62664327-62694109	36.47	+	
MGI:2443977	Gchfr	GTP cyclohydrolase I feedback regulator	protein coding gene	2	119167788-119172389	59.97	+	
MGI:95704	Ggta1	glycoprotein galactosyltransferase alpha 1, 3	protein coding gene	2	35400179-35463231	23.6	-	
MGI:1926083	Gins3	GINS complex subunit 3 (Psf3 homolog)	protein coding gene	8	95633559-95645059	47.12	+	
MGI:1921662	Gle1	GLE1 RNA export mediator (yeast)	protein coding gene	2	29935409-29959432	20.88	+	
MGI:95750	Glra4	glycine receptor, alpha 4 subunit	protein coding gene	X	136757674-136780141	59.1	-	
MGI:2685227	Gm381	predicted pseudogene 381	pseudogene	X	126906352-126907249	49.81	-	
MGI:3642958	Gm4881	predicted gene 4881	protein coding gene	7	24927445-24944494	13.67	-	
MGI:3647701	Gm9222	predicted gene 9222	unclassified gene	12	17881151-18065627	8.14	+	
MGI:3647139	Gm9801	predicted gene 9801	lncRNA gene	7	62193480-62279110	34.33	-	
MGI:3650846	Gm12680	predicted gene 12680	unclassified non-coding RNA gene	4	syntenic	40.25		
MGI:5589890	Gm30731	predicted gene, 30731	lncRNA gene	4	22490548-22493126		+	
MGI:5791459	Gm45623	predicted gene 45623	protein coding gene	13	56752371-56753827		-	
MGI:2138271	Gorab	golgin, RAB6-interacting	protein coding gene	1	163384908-163403669	70.67	-	
MGI:1921748	Gorasp1	golgi reassembly stacking protein 1	protein coding gene	9	119925673-119937558	71.33	-	
MGI:1918667	Gpatch8	G patch domain containing 8	protein coding gene	11	102475911-102556192	66.31	-	
MGI:2441890	Gpr21	G protein-coupled receptor 21	protein coding gene	2	37516626-37519281	24.19	+	
MGI:1923456	Gpr165	G protein-coupled receptor 165	protein coding gene	X	96713468-96719388	42.69	+	
MGI:1917418	Gprasp1	G protein-coupled receptor associated sorting protein 1	protein coding gene	X	135742733-135803474	57.26	+	
MGI:95817	Grik4	glutamate receptor, ionotropic, kainate 4	protein coding gene	9	42520412-42945154	23.8	-	
MGI:95823	Grin2d	glutamate receptor, ionotropic, NMDA2D (epsilon 4)	protein coding gene	7	45831883-45871318	29.54	-	
MGI:1351339	Grm2	glutamate receptor, metabotropic 2	protein coding gene	9	106644534-106656109	57.98	-	
MGI:2442259	Gsap	gamma-secretase activating protein	protein coding gene	5	21176284-21291719	9.83	+	
MGI:109443	Gtpbp1	GTP binding protein 1	protein coding gene	15	79690896-79721479	37.85	+	
MGI:1931523	H1f1	H1.1 linker histone, cluster member	protein coding gene	13	23763666-23764406	9.91	+	
MGI:1861461	H1f5	H1.5 linker histone, cluster member	protein coding gene	13	21779883-21780625	7.97	-	
MGI:2448458	H2aw	H2A.W histone	protein coding gene	11	58954685-58955192	36.38	+	
MGI:2137300	Hapln2	hyaluronan and proteoglycan link protein 2	protein coding gene	3	88021750-88027583	38.78	-	
MGI:109191	Hfe	homeostatic iron regulator	protein coding gene	13	23702730-23710986	9.88	-	
MGI:1924384	Hnrnpa0	heterogeneous nuclear ribonucleoprotein A0	protein coding gene	13	58125879-58128556	30.95	-	
MGI:104819	Hnrnpa2b1	heterogeneous nuclear ribonucleoprotein A2/B1	protein coding gene	6	51460932-51469894	24.87	-	
MGI:1913890	Hoxaas2	Hoxa cluster antisense RNA 2	lncRNA gene	6	52165674-52169451	25.4	+	
MGI:2139279	Hrh3	histamine receptor H3	protein coding gene	2	180099465-180104407	102.62	-	
MGI:1196627	Htr6	5-hydroxytryptamine (serotonin) receptor 6	protein coding gene	4	139061108-139075570	70.57	-	
MGI:2389007	Hydin	HYDIN, axonemal central pair apparatus protein	protein coding gene	8	110266977-110610253	57.5	+	
MGI:109430	Icam5	intercellular adhesion molecule 5, telencephalin	protein coding gene	9	21032073-21039036	7.7	+	
MGI:2142489	Ido2	indoleamine 2,3-dioxygenase 2	protein coding gene	8	24531892-24576333	12.58	-	
MGI:2667156	Ifne	interferon epsilon	protein coding gene	4	88879538-88880201	42.04	-	
MGI:1915509	Ift80	intraflagellar transport 80	protein coding gene	3	68892499-69004570	32.07	-	
MGI:3045352	Igfn1	immunoglobulin-like and fibronectin type III domain containing 1	protein coding gene	1	135953578-136006342	59.44	-	
MGI:2685354	Igsf9b	immunoglobulin superfamily, member 9B	protein coding gene	9	27299204-27357546	12.69	+	
MGI:1313288	Incenp	inner centromere protein	protein coding gene	19	9872297-9899546	6.1	-	
MGI:1923578	Ints5	integrator complex subunit 5	protein coding gene	19	8893005-8897888	5.95	+	
MGI:892030	Ipw	imprinted gene in the Prader-Willi syndrome region	lncRNA gene	7	59619158-59678878	34.0	-	
MGI:1913557	Isoc1	isochorismatase domain containing 1	protein coding gene	18	58659482-58679570	33.71	+	
MGI:99418	Itpr2	inositol 1,4,5-triphosphate receptor 2	protein coding gene	6	146108299-146502223	77.7	-	
MGI:1891497	Jph3	junctophilin 3	protein coding gene	8	121730559-121791083	70.73	+	
MGI:1920247	Kantr	Kdm5c adjacent non-coding transcript	lncRNA gene	X	152294828-152327495	68.46	-	
MGI:1918481	Kbtbd12	kelch repeat and BTB (POZ) domain containing 12	protein coding gene	6	88547722-88627448	39.51	-	
MGI:3036273	Kcnt2	potassium channel, subfamily T, member 2	protein coding gene	1	140246158-140612067	61.62	+	
MGI:2145579	Kctd9	potassium channel tetramerisation domain containing 9	protein coding gene	14	67716084-67742310	34.66	+	
MGI:98847	Kdm3a	lysine (K)-specific demethylase 3A	protein coding gene	6	71588972-71632990	32.18	-	
MGI:1098238	Kif6	kinesin family member 6	protein coding gene	17	49615136-49909847	25.78	+	
MGI:1098237	Kif9	kinesin family member 9	protein coding gene	9	110476958-110525179	59.92	+	
MGI:2444576	Kif20b	kinesin family member 20B	protein coding gene	19	34922361-34975745	29.79	+	
MGI:1277971	Klc3	kinesin light chain 3	protein coding gene	7	19394437-19404104	9.62	-	
MGI:1923714	Knl1	kinetochore scaffold 1	protein coding gene	2	119047038-119104829	59.85	+	
MGI:1933395	Lactb	lactamase, beta	protein coding gene	9	66955388-66975484	36.23	-	
MGI:2685744	Lbhd2	LBH domain containing 2	protein coding gene	12	111406809-111412090	60.98	+	
MGI:1353593	Lcmt1	leucine carboxyl methyltransferase 1	protein coding gene	7	123377982-123430358	67.42	+	
MGI:1330839	Lin7c	lin-7 homolog C (C. elegans)	protein coding gene	2	109890878-109900937	56.65	+	
MGI:1919818	Lin9	lin-9 homolog (C. elegans)	protein coding gene	1	180641150-180690687	84.46	+	
MGI:3780541	Lncenc1	long non-coding RNA, embryonic stem cells expressed 1	lncRNA gene	13	97434970-97497007	50.71	+	
MGI:1921615	Lonrf3	LON peptidase N-terminal domain and ring finger 3	protein coding gene	X	36328353-36362341	20.72	+	
MGI:2137913	Loxl2	lysyl oxidase-like 2	protein coding gene	14	69609068-69695834	36.06	+	
MGI:1309472	Ltb4r1	leukotriene B4 receptor 1	protein coding gene	14	55765962-55768494	28.19	+	
MGI:1919534	LTO1	ABCE maturation factor	protein coding gene	7	144915095-144931146	88.92	+	
MGI:1889615	Luzp2	leucine zipper protein 2	protein coding gene	7	54835498-55268885	33.23	+	
MGI:1920102	Mblac2	metallo-beta-lactamase domain containing 2	protein coding gene	13	81711417-81753275	43.68	+	
MGI:2443308	Mcph1	microcephaly, primary autosomal recessive 1	protein coding gene	8	18595131-18803189	10.24	+	
MGI:1926021	Mctp1	multiple C2 domains, transmembrane 1	protein coding gene	13	76384535-77031810	40.98	+	
MGI:3525201	Mdc1	mediator of DNA damage checkpoint 1	protein coding gene	17	35841515-35859670	18.7	+	
MGI:104611	Mdfic	MyoD family inhibitor domain containing	protein coding gene	6	15720661-15802169	6.85	+	
MGI:1915269	Med8	mediator complex subunit 8	protein coding gene	4	118409337-118415782	54.61	+	
MGI:1926212	Med12	mediator complex subunit 12	protein coding gene	X	101274030-101297465	43.91	+	
MGI:1929701	Metap2	methionine aminopeptidase 2	protein coding gene	10	93858489-93897090	48.69	-	
MGI:1918252	Mex3b	mex3 RNA binding family member B	protein coding gene	7	82867333-82871515	47.35	+	
MGI:1915544	Mfsd10	major facilitator superfamily domain containing 10	protein coding gene	5	34633644-34637209	17.9	-	
MGI:3606200	Mgat5b	mannoside acetylglucosaminyltransferase 5, isoenzyme B	protein coding gene	11	116918863-116986948	81.49	+	
MGI:3618748	Mir20b	microRNA 20b	miRNA gene	X	52742113-52742192	29.15	-	
MGI:2676896	Mir22	microRNA 22	miRNA gene	11	75463716-75463810	45.91	+	
MGI:2676910	Mir30d	microRNA 30d	miRNA gene	15	68341208-68341289	29.44	-	
MGI:3718577	Mir92b	microRNA 92b	miRNA gene	3	89227116-89227198	39.02	-	
MGI:1919929	Mir99ahg	Mir99a and Mirlet7c-1 host gene (non-protein coding)	lncRNA gene	16	77329328-77558428	44.53	+	
MGI:1920394	Mir100hg	Mir100 Mirlet7a-2 Mir125b-1 cluster host gene	lncRNA gene	9	41376526-41615185	23.32	+	
MGI:3618709	Mir128-2	microRNA 128-2	miRNA gene	9	112118636-112118711	62.46	-	
MGI:3718803	Mir449b	microRNA 449b	miRNA gene	13	113037419-113037498	63.93	+	
MGI:3629658	Mir701	microRNA 701	miRNA gene	5	111004144-111004252	53.79	+	
MGI:2676800	Mirlet7g	microRNA let7g	miRNA gene	9	106178840-106178927	57.46	+	
MGI:2145099	Mis18bp1	MIS18 binding protein 1	protein coding gene	12	65132734-65172580	27.21	-	
MGI:1353554	Mlf2	myeloid leukemia factor 2	protein coding gene	6	124931388-124936149	59.17	+	
MGI:1336894	Mocs2	molybdenum cofactor synthesis 2	protein coding gene	13	114818237-114829420	64.61	+	
MGI:97435	Mog	myelin oligodendrocyte glycoprotein	protein coding gene	17	37010743-37023398	19.16	-	
