	gene	str	chr	promoter_start	promoter_end
212	Ldlr	1	chr9	21721482	21723482
213	Apoa5	1	chr9	46266632	46268632
214	Map3k19	-1	chr1	127855031	127857031
215	Maff	1	chr15	79344620	79346620
216	Got1l1	-1	chr8	27223828	27225828
217	Gm5426	1	chr10	96134602	96136602
218	Cep170	-1	chr1	176814067	176816067
219	Cemip2	1	chr19	21776341	21778341
220	Pin4	1	chrX	102117446	102119446
221	Fam209	1	chr2	172470519	172472519
222	Mllt6	1	chr11	97661413	97663413
223	Cast	-1	chr13	74808810	74810810
224	Rab5a	1	chr17	53477233	53479233
225	Flt1	-1	chr5	147726011	147728011
226	Col1a1	1	chr11	94934223	94936223
227	Hmgn5	-1	chrX	109013404	109015404
228	Ercc6l	-1	chrX	102157091	102159091
229	Rp1l1	1	chr14	63990505	63992505
230	Apoa2	1	chr1	171223053	171225053
231	Vmn2r74	-1	chr7	85961629	85963629
232	Dlgap5	-1	chr14	47418407	47420407
233	Pp2d1	-1	chr17	53539451	53541451
234	Fkbp5	-1	chr17	28517527	28519527
235	Rps4x	-1	chrX	102189394	102191394
236	Smim11	1	chr16	92299285	92301285
237	Tmem119	-1	chr5	113800516	113802516
238	Egf	-1	chr3	129755316	129757316
239	Slc30a7	-1	chr3	116007406	116009406
240	Slc39a8	1	chr3	135823278	135825278
241	Sh3bgrl	1	chrX	109093364	109095364
242	Strip1	-1	chr3	107631694	107633694
243	Kcnk10	-1	chr12	98578310	98580310
244	Vmn2r25	-1	chr6	123853463	123855463
245	Pacsin1	1	chr17	27653508	27655508
246	Gm6377	1	chrX	109194755	109196755
247	Mrpl52	1	chr14	54424908	54426908
248	Vmn2r24	1	chr6	123776878	123778878
249	Nav1	-1	chr1	135688105	135690105
250	Uqcr11	-1	chr10	80406830	80408830
251	Apol9a	-1	chr15	77411135	77413135
252	Dmtn	-1	chr14	70636048	70638048
253	Apobec3	1	chr15	79889658	79891658
254	Thap2	-1	chr10	115384443	115386443
255	Fcer1g	-1	chr1	171234365	171236365
256	Dab2ip	1	chr2	35556265	35558265
257	4921524J17Rik	-1	chr8	85432833	85434833
258	Edem2	-1	chr2	155729475	155731475
259	Cat	-1	chr2	103485160	103487160
260	Stk31	1	chr6	49393603	49395603
261	Kdelr3	1	chr15	79514410	79516410
262	Selplg	-1	chr5	113832644	113834644
263	Prmt3	1	chr7	49776345	49778345
264	Elavl4	-1	chr4	110351909	110353909
265	Atp5h	-1	chr11	115419962	115421962
266	Spata45	1	chr1	191034638	191036638
267	Atp11c	-1	chrX	60592698	60594698
268	1700066M21Rik	1	chr1	57375619	57377619
269	Gm2411	1	chrX	123344763	123346763
270	Pja1	-1	chrX	99471273	99473273
271	Dpyd	1	chr3	118560128	118562128
272	Cldn34c2	1	chrX	123574285	123576285
273	Prss55	-1	chr14	64090162	64092162
274	Vmn2r75	-1	chr7	86171778	86173778
275	Hsf1	1	chr15	76475421	76477421
276	Mndal	-1	chr1	173880881	173882881
277	Sp4	-1	chr12	118301440	118303440
278	Asb17	1	chr3	153842208	153844208
279	Hmgcr	-1	chr13	96670936	96672936
280	Prss51	1	chr14	64084233	64086233
281	Dapp1	-1	chr3	137981545	137983545
282	Gm17359	1	chr3	79334660	79336660
283	Fnip2	-1	chr3	79567796	79569796
284	Pth2r	1	chr1	65280055	65282055
285	Slc22a2	1	chr17	12582131	12584131
286	Nelfcd	1	chr2	174413803	174415803
287	Acoxl	1	chr2	127836875	127838875
288	Kat2b	1	chr17	53564860	53566860
289	Bcorl1	1	chrX	48339357	48341357
290	Slc5a5	-1	chr8	70892757	70894757
291	Rnf212	-1	chr5	108774982	108776982
292	Bank1	-1	chr3	136326066	136328066
293	Slc5a11	1	chr7	123212779	123214779
294	1700012B09Rik	-1	chr9	14771030	14773030
295	Bend6	-1	chr1	33907816	33909816
296	Galr3	1	chr15	79039884	79041884
297	Foxred2	-1	chr15	77956722	77958722
298	Gcat	1	chr15	79028873	79030873
299	Sp8	1	chr12	118844328	118846328
300	Doc2b	-1	chr11	75796049	75798049
301	Cyb5a	1	chr18	84836703	84838703
302	Sumf2	1	chr5	129844985	129846985
303	Smim24	1	chr10	81391050	81393050
304	Tmem28	1	chrX	99819020	99821020
305	Olfr1381	1	chr11	49541448	49543448
306	Cdc27	-1	chr11	104550620	104552620
307	Ints9	1	chr14	64948044	64950044
308	AC147806.1	-1	chr1	85485142	85487142
309	Olfr1380	1	chr11	49554877	49556877
310	Slc22a1	-1	chr17	12675829	12677829
311	Sh3d21	-1	chr4	126163491	126165491
312	Txndc8	-1	chr4	58009124	58011124
313	Galnt13	1	chr2	54434316	54436316
314	Wdr13	-1	chrX	8132892	8134892
315	Tpo	-1	chr12	30132624	30134624
316	Gcat	1	chr15	79028900	79030900
317	Gpt2	1	chr8	85490575	85492575
318	Pwwp2b	1	chr7	139246481	139248481
319	Tpcn1	-1	chr5	120588673	120590673
320	Bricd5	1	chr17	24471883	24473883
321	Ctsz	-1	chr2	174439039	174441039
322	Gm7073	-1	chrX	60539249	60541249
323	1700129C05Rik	-1	chr14	59142893	59144893
324	Vapa	-1	chr17	65613555	65615555
325	Mycbpap	-1	chr11	94521742	94523742
326	Procr	1	chr2	155749116	155751116
327	Btbd35f4	1	chrX	4798495	4800495
328	Lpgat1	1	chr1	191715833	191717833
329	Rpl18a	-1	chr8	70897412	70899412
330	Tatdn3	-1	chr1	191062932	191064932
331	Lbhd2	1	chr12	111404808	111406808
332	Gm5945	1	chrX	124013996	124015996
333	D16Ertd472e	-1	chr16	78576708	78578708
334	Mlst8	-1	chr17	24479078	24481078
335	Uhrf1	1	chr17	56301320	56303320
336	Rp1	-1	chr1	4409241	4411241
337	Spdef	-1	chr17	27728955	27730955
338	Mmp14	1	chr14	54429611	54431611
339	Zfp426	-1	chr9	20492746	20494746
340	Sh3bp2	1	chr5	34523837	34525837
341	St13	-1	chr15	81400077	81402077
342	Vmn2r26	1	chr6	124022567	124024567
343	Olfr101	-1	chr17	37304313	37306313
344	Srpk3	1	chrX	73772404	73774404
345	Npb	1	chr11	120606476	120608476
346	Cdkl2	-1	chr5	92043883	92045883
347	Gm5142	-1	chr14	59178749	59180749
348	Clptm1l	1	chr13	73602005	73604005
349	Otof	-1	chr5	30461932	30463932
350	Lmx1b	-1	chr2	33640608	33642608
351	Psmd7	-1	chr8	107588464	107590464
352	Phkg1	-1	chr5	129898549	129900549
353	Olfr102	-1	chr17	37317054	37319054
354	Parp1	1	chr1	180566923	180568923
355	Cbx7	-1	chr15	79971119	79973119
356	Gm49804	-1	chr17	27635222	27637222
357	Timm21	-1	chr18	84951524	84953524
358	Snrpc	1	chr17	27836149	27838149
359	Olfr103	-1	chr17	37339698	37341698
360	Olfr104-ps	1	chr17	37357581	37359581
361	Tsga8	-1	chrX	83487924	83489924
362	Ms4a20	-1	chr19	11130876	11132876
363	Olfr105-ps	1	chr17	37377032	37379032
364	Dmd	1	chrX	82946869	82948869
365	Ifi211	-1	chr1	173913046	173915046
366	Dpt	1	chr1	164794643	164796643
367	Atf2	-1	chr2	73892639	73894639
368	Commd7	-1	chr2	153632781	153634781
369	Gnai2	-1	chr9	107635367	107637367
370	Xcl1	-1	chr1	164935527	164937527
371	Abcb5	-1	chr12	118966421	118968421
372	Megf8	1	chr7	25315163	25317163
373	Zbed5	1	chr5	129893722	129895722
374	Xkr7	1	chr2	153029851	153031851
375	Mvb12a	1	chr8	71540921	71542921
376	Apol7b	-1	chr15	77447492	77449492
377	Fam243	-1	chr16	92321441	92323441
378	Evi2	-1	chr11	79530589	79532589
379	Gm5105	-1	chr3	138067388	138069388
380	Nudt3	-1	chr17	27623495	27625495
381	Btbd35f27	1	chrX	4950134	4952134
382	1110002E22Rik	1	chr3	138063051	138065051
383	4933402J07Rik	1	chr8	87561852	87563852
384	Mad2l1bp	-1	chr17	46153553	46155553
385	Fbxo15	1	chr18	84932781	84934781
386	Chchd2	-1	chr5	129887470	129889470
387	Kcne1	-1	chr16	92359468	92361468
388	AC147806.2	1	chr1	85524601	85526601
389	Xrn2	1	chr2	147010995	147012995
390	Clec2h	1	chr6	128660384	128662384
391	Cidec	-1	chr6	113435760	113437760
392	Ins1	1	chr19	52262296	52264296
393	Metrnl	1	chr11	121699543	121701543
394	Extl2	1	chr3	116005461	116007461
395	Slc12a5	1	chr2	164958801	164960801
396	Rfc3	-1	chr5	151651242	151653242
397	Tmed11	-1	chr5	108795363	108797363
398	Thrb	1	chr14	17658260	17660260
399	Rbm20	1	chr19	53675305	53677305
400	Arrb1	1	chr7	99533465	99535465
401	Naxe	-1	chr3	88058495	88060495
402	Insc	1	chr7	114741693	114743693
403	Crybg3	-1	chr16	59600979	59602979
404	Slc38a3	-1	chr9	107669530	107671530
405	Atxn7l3	-1	chr11	102296631	102298631
406	Vmn2r8	-1	chr5	108808850	108810850
407	Vmn2r121	-1	chrX	124135952	124137952
408	Adat1	-1	chr8	111992302	111994302
409	Bcl2l11	1	chr2	128124037	128126037
410	Ppp1r15b	1	chr1	133129142	133131142
411	Ubox5	-1	chr2	130630038	130632038
412	Spink14	1	chr18	44025868	44027868
413	Ces4a	1	chr8	105129799	105131799
414	Ccm2l	1	chr2	153063954	153065954
415	Xpnpep1	-1	chr19	53040214	53042214
416	Gpr1	-1	chr1	63214543	63216543
417	Chic2	-1	chr5	75044774	75046774
418	Tubb1	1	chr2	174448694	174450694
419	Tubgcp5	1	chr7	55792153	55794153
420	Ireb2	1	chr9	54861788	54863788
421	Scn8a	1	chr15	100867857	100869857
422	Uhrf1bp1	1	chr17	27854440	27856440
423	Atp5e	-1	chr2	174464105	174466105
424	Pnpla2	1	chr7	141453197	141455197
425	Slc28a2	1	chr2	122424476	122426476
426	Tfap2c	1	chr2	172547592	172549592
427	Riox2	1	chr16	59469774	59471774
428	Klrb1	-1	chr6	128723059	128725059
429	Fastkd5	-1	chr2	130630027	130632027
430	Dnmt3b	1	chr2	153647449	153649449
431	Sox17	-1	chr1	4497354	4499354
432	Ly6i	-1	chr15	74983430	74985430
433	Plb1	1	chr5	32230707	32232707
434	Vmn2r9	-1	chr5	108852601	108854601
435	Msh4	-1	chr3	153906138	153908138
436	Trim29	1	chr9	43308847	43310847
437	Lzts3	-1	chr2	130642803	130644803
438	Tmem221	-1	chr8	71558871	71560871
439	Rph3al	-1	chr11	75938429	75940429
440	Cradd	-1	chr10	95324133	95326133
441	Cited1	-1	chrX	102252181	102254181
442	Zdbf2	1	chr1	63271264	63273264
443	Nxnl1	-1	chr8	71566601	71568601
444	BC029722	-1	chr2	155819426	155821426
445	BC034090	-1	chr1	155244444	155246444
446	Btg1	1	chr10	96615005	96617005
447	Taf11	-1	chr17	27909844	27911844
448	Mmp24	1	chr2	155773341	155775341
449	Smn1	1	chr13	100122851	100124851
450	Hspb11	1	chr4	107251592	107253592
451	Txndc2	-1	chr17	65642168	65644168
452	Efhd2	-1	chr4	141874920	141876920
453	Btbd10	-1	chr7	113369392	113371392
454	Cfap126	1	chr1	171111917	171113917
455	Tmem52	1	chr4	155467113	155469113
456	Mcpt8	-1	chr14	56085273	56087273
457	Zfp780b	-1	chr7	27979171	27981171
458	Mrpl54	-1	chr10	81266934	81268934
459	Vmn2r10	-1	chr5	109006527	109008527
460	Mpi	-1	chr9	57552763	57554763
461	Ifi203	-1	chr1	173942672	173944672
462	Slc12a8	1	chr16	33515327	33517327
463	Kcnab1	1	chr3	64947195	64949195
464	Tbx20	-1	chr9	24774303	24776303
465	Brap	1	chr5	121658562	121660562
466	Zfp850	-1	chr7	28014115	28016115
467	Rab31	-1	chr17	65772752	65774752
468	Olfr106-ps	1	chr17	37388392	37390392
469	1700016K19Rik	1	chr11	75997911	75999911
470	Rit1	1	chr3	88714837	88716837
471	Elf4	-1	chrX	48463132	48465132
472	Npy	1	chr6	49820709	49822709
473	Hdac8	-1	chrX	102505359	102507359
474	Thrap3	-1	chr4	126202760	126204760
475	Nsl1	1	chr1	191061011	191063011
476	Spc24	-1	chr9	21760303	21762303
477	Slc27a6	1	chr18	58554256	58556256
478	Elfn2	-1	chr15	78718771	78720771
479	Masp2	1	chr4	148600553	148602553
480	Creb3l1	-1	chr2	92024502	92026502
481	Spred1	1	chr2	117119373	117121373
482	Sdc3	1	chr4	130790536	130792536
483	Ctsg	-1	chr14	56102574	56104574
484	Dnajb1	1	chr8	83606192	83608192
485	Olfr107	1	chr17	37397225	37399225
486	Prss52	1	chr14	64102285	64104285
487	Gzme	-1	chr14	56120625	56122625
488	Ptchd3	1	chr11	121828246	121830246
489	Pld4	1	chr12	112758654	112760654
490	Dsp	1	chr13	38149293	38151293
491	Sgo1	-1	chr17	53689333	53691333
492	Pcyt2	-1	chr11	120617936	120619936
493	Fubp1	1	chr3	152208421	152210421
494	Ctag2l1	-1	chrX	74481399	74483399
495	Kbtbd8	1	chr6	95115239	95117239
496	Gzmd	-1	chr14	56132608	56134608
497	Get4	1	chr5	139250323	139252323
498	Gpr165	1	chrX	96711440	96713440
499	Lca5l	-1	chr16	96192271	96194271
500	Gtpbp2	1	chr17	46159031	46161031
501	Srsf6	1	chr2	162929527	162931527
502	Rbm25	1	chr12	83629235	83631235
503	Cbs	-1	chr17	31637238	31639238
504	Vmn2r11	-1	chr5	109059569	109061569
505	Prex1	-1	chr2	166713832	166715832
506	Batf3	1	chr1	191095846	191097846
507	Nr5a1	-1	chr2	38714542	38716542
508	Rflnb	-1	chr11	76027782	76029782
509	Tardbp	-1	chr4	148627019	148629019
510	Selenbp2	1	chr3	94691555	94693555
511	Fblim1	-1	chr4	141606096	141608096
512	Gkn1	-1	chr6	87350942	87352942
513	Fam83c	-1	chr2	155834854	155836854
514	Flt4	1	chr11	49607262	49609262
515	Sf3a2	1	chr10	80796197	80798197
516	Msra	-1	chr14	64455903	64457903
517	Rab3gap1	1	chr1	127866772	127868772
518	Cbfb	1	chr8	105168673	105170673
519	Gramd2	1	chr9	59678143	59680143
520	Tagln	-1	chr9	45936058	45938058
521	Eif6	-1	chr2	155826925	155828925
522	Zbtb14	1	chr17	69381049	69383049
523	Hmcn1	-1	chr1	150993435	150995435
524	Erap1	1	chr13	74637567	74639567
525	Gm49496	-1	chr13	111549947	111551947
526	Gpbp1	-1	chr13	111490111	111492111
527	Bace1	1	chr9	45836579	45838579
528	Plekhj1	-1	chr10	80798626	80800626
529	Lrit3	-1	chr3	129804030	129806030
530	Apol10a	1	chr15	77475046	77477046
531	Adamts16	-1	chr13	70841811	70843811
532	Ms4a19	-1	chr19	11165320	11167320
533	Tmem184b	-1	chr15	79403569	79405569
534	Dcun1d4	1	chr5	73478999	73480999
535	Bcas2	1	chr3	103169654	103171654
536	Btbd19	-1	chr4	117125725	117127725
537	Trps1	-1	chr15	50890463	50892463
538	Gipc1	1	chr8	83650676	83652676
539	Ifi202b	-1	chr1	173982744	173984744
540	Ttc27	1	chr17	74715731	74717731
541	Fam98b	1	chr2	117247738	117249738
542	Tacc1	-1	chr8	25256588	25258588
543	Fhad1	-1	chr4	142015082	142017082
544	Prelid3b	-1	chr2	174473081	174475081
545	Olfr1200	-1	chr2	88770488	88772488
546	Brox	-1	chr1	183297269	183299269
547	Olfr1201	1	chr2	88791035	88793035
548	Ahnak2	-1	chr12	112802657	112804657
549	Unk	1	chr11	116028321	116030321
550	Olfr1202	1	chr2	88812495	88814495
551	Mre11a	1	chr9	14782653	14784653
552	Slc35d2	-1	chr13	64129368	64131368
553	Jagn1	1	chr6	113440568	113442568
554	Vcam1	-1	chr3	116129688	116131688
555	Rita1	-1	chr5	120612589	120614589
556	Ppm1d	1	chr11	85309243	85311243
557	Cnfn	-1	chr7	25369724	25371724
558	Avil	1	chr10	126998708	127000708
559	Kars	-1	chr8	112011323	112013323
560	Zfp423	-1	chr8	87959595	87961595
561	Olfr920	1	chr9	38750298	38752298
562	Inpp5a	1	chr7	139387108	139389108
563	Gnat1	-1	chr9	107679712	107681712
564	Gm7903	1	chrX	135431834	135433834
565	Zfp831	1	chr2	174641533	174643533
566	Lrrc3	-1	chr10	77902536	77904536
567	Spink6	1	chr18	44069392	44071392
568	Olfr108	1	chr17	37443479	37445479
569	Rbmx	-1	chrX	57393036	57395036
570	Epha3	-1	chr16	63864175	63866175
571	Tbx19	-1	chr1	165160773	165162773
572	Rcan3	-1	chr4	135433853	135435853
573	Tie1	-1	chr4	118490061	118492061
574	AV320801	1	chrX	135492587	135494587
575	Slc6a5	1	chr7	49908145	49910145
576	Iqcd	1	chr5	120587015	120589015
577	Rnf214	-1	chr9	45906911	45908911
578	Galnt12	1	chr4	47089908	47091908
579	Edn3	1	chr2	174758618	174760618
580	Olfr921	1	chr9	38771067	38773067
581	Senp8	-1	chr9	59750710	59752710
582	A630001G21Rik	-1	chr1	85778643	85780643
583	Olfr1205	1	chr2	88827736	88829736
584	Apol11a	1	chr15	77506270	77508270
585	Pgr15l	1	chrX	97070595	97072595
586	Tra2b	-1	chr16	22266005	22268005
587	Nkx2-4	-1	chr2	147085445	147087445
588	Crygf	1	chr1	65924519	65926519
589	Idh3g	-1	chrX	73786897	73788897
590	Olfr109	1	chr17	37456915	37458915
591	Kcnj3	1	chr2	55433969	55435969
592	Fam71a	-1	chr1	191164817	191166817
593	Rsad1	-1	chr11	94549255	94551255
594	Sema3f	-1	chr9	107710475	107712475
595	Gm14444	1	chr2	175008240	175010240
596	Olfr922	1	chr9	38812613	38814613
597	Nxf7	-1	chrX	135598777	135600777
598	Map3k6	1	chr4	133238817	133240817
599	Olfr923	1	chr9	38824544	38826544
600	4932411N23Rik	-1	chrX	126815868	126817868
601	Gsx2	1	chr5	75073600	75075600
602	Gm14393	-1	chr2	175067781	175069781
603	Ppp3ca	1	chr3	136668123	136670123
604	Hcfc2	1	chr10	82694159	82696159
605	Lss	1	chr10	76529587	76531587
606	Nkx2-2	-1	chr2	147194243	147196243
607	Xpnpep3	1	chr15	81398137	81400137
608	Retreg1	1	chr15	25841179	25843179
609	Tmdd1	-1	chr15	101047397	101049397
610	Fignl2	-1	chr15	101078567	101080567
611	Myh10	1	chr11	68689558	68691558
612	Ankrd49	-1	chr9	14784856	14786856
613	Aida	1	chr1	183294589	183296589
614	Ankrd33	1	chr15	101113754	101115754
615	Gas7	1	chr11	67453090	67455090
616	Rrn3	1	chr16	13778707	13780707
617	H2-M2	-1	chr17	37483552	37485552
618	Tsfm	-1	chr10	127030840	127032840
619	Il7r	-1	chr15	9530176	9532176
620	Naip2	-1	chr13	100202092	100204092
621	Tram1	-1	chr1	13589910	13591910
622	Extl3	-1	chr14	65149855	65151855
623	Lipe	-1	chr7	25398710	25400710
624	Nkx6-2	-1	chr7	139582797	139584797
625	Ttc24	-1	chr3	88078304	88080304
626	Olfr1204	1	chr2	88847291	88849291
627	Eps8	-1	chr6	137654876	137656876
628	Cfap100	-1	chr6	90428797	90430797
629	Olfr924	1	chr9	38842448	38844448
630	Mas1	-1	chr17	12868143	12870143
631	Dhx33	-1	chr11	71004437	71006437
632	Ifi205	-1	chr1	174031810	174033810
633	Cnga4	1	chr7	105402567	105404567
634	Sft2d2	-1	chr1	165194438	165196438
635	Yy1	1	chr12	108790972	108792972
636	Herpud1	1	chr8	94384437	94386437
637	P2rx7	1	chr5	122641910	122643910
638	Acvrl1	1	chr15	101126521	101128521
639	Olfr433	1	chr1	174038704	174040704
640	Psmc6	1	chr14	45327787	45329787
641	Adap1	-1	chr5	139325622	139327622
642	Eda	1	chrX	99973605	99975605
643	Ddrgk1	-1	chr2	130664659	130666659
644	Dnajb7	-1	chr15	81408299	81410299
645	Hykk	1	chr9	54915282	54917282
646	Smco2	1	chr6	146848103	146850103
647	Gm14399	-1	chr2	175142012	175144012
648	Apol7c	-1	chr15	77533316	77535316
649	Eda2r	-1	chrX	97377216	97379216
650	Gm382	1	chrX	127037971	127039971
651	Zdhhc4	-1	chr5	143329256	143331256
652	Vmn2r12	-1	chr5	109097950	109099950
653	Rcvrn	1	chr11	67693325	67695325
654	Olfr26	1	chr9	38853059	38855059
655	Heatr5a	-1	chr12	51971321	51973321
656	Tpbgl	-1	chr7	99627103	99629103
657	4921511C20Rik	1	chrX	127392292	127394292
658	Sting1	-1	chr18	35740554	35742554
659	Olfr110	1	chr17	37490467	37492467
660	Igf2r	-1	chr17	12769664	12771664
661	Gm14443	-1	chr2	175175871	175177871
662	Akain1	1	chr17	69437325	69439325
663	Vmn2r13	-1	chr5	109192199	109194199
664	Glp2r	-1	chr11	67771153	67773153
665	Cldn34c4	-1	chrX	127736554	127738554
666	Dgkh	-1	chr14	78732776	78734776
667	Dnaja2	-1	chr8	85555344	85557344
