	gene	str	chr	promoter_start	promoter_end
152		-1	chr31	637113	639113
153		-1	chr2	441521	443521
154	IDH2	-1	chr10	20469686	20471686
155	PDF	-1	chr11	18930317	18932317
156	ITGBL1	-1	chr1	144931151	144933151
157		1	chr31	465851	467851
158	CMPK1	1	chr8	22289564	22291564
159		-1	chr22	3649164	3651164
160	CLCN3	-1	chr4	25380396	25382396
161	ST6GALNAC1	1	chr18	4291768	4293768
162		1	chr31	366613	368613
163	BDH1A	-1	chr9	12807370	12809370
164	ALS2	-1	chr7	11578947	11580947
165	UBE2S	-1	chr22	3634894	3636894
166	ASB8	1	chr33	7254755	7256755
167		1	chr31	315964	317964
168	ZNF710	1	chr10	20455102	20457102
169	PGA3	1	chr26	1431282	1433282
170	CPM	-1	chr1	35464430	35466430
171	ACSS1	-1	chr3	15976454	15978454
172	BICC1	-1	chr6	1589295	1591295
173	ISOC2	1	chr22	3619115	3621115
174	CD48	-1	chr25	2470555	2472555
175		-1	chr33	7250686	7252686
176	PKNOX2	-1	chr24	188765	190765
177		1	chr18	4259187	4261187
178	DEPDC6	1	chr2	136696115	136698115
179	TCTN1	1	chr15	6273509	6275509
180		1	chr11	18923807	18925807
181		1	chr31	312022	314022
182	SLAMF1	-1	chr25	2465729	2467729
183		-1	chr2	442278	444278
184	IL17RA	1	chr1	61605574	61607574
185	STIL	-1	chr8	22290927	22292927
186		1	chr1	93325858	93327858
187	FGF14	1	chr1	144406606	144408606
188		-1	chr31	184205	186205
189	JMJD6	1	chr18	4245801	4247801
190		-1	chr5	5836920	5838920
191	PPTC7	-1	chr15	6269152	6271152
192	RASIP1	1	chr22	3610897	3612897
193	YJU2B	-1	chr30	1409396	1411396
194		-1	chr10	11918958	11920958
195	SH3GL3	1	chr10	11855451	11857451
196	BNC1	-1	chr10	11814277	11816277
197		-1	chr2	430417	432417
198	SNTB2	1	chr11	18916694	18918694
199	IL11	-1	chr22	3608251	3610251
200	PCDHAC1	-1	chr13	1434738	1436738
201	LAMTOR5	-1	chr26	1426410	1428410
202	CHRDL2	-1	chr1	195949522	195951522
203		1	chr1	93296609	93298609
204	HDGFL3	-1	chr10	11720024	11722024
205	TM6SF1	1	chr10	11662715	11664715
206	BTBD1	-1	chr10	11656460	11658460
207		-1	chr10	11642570	11644570
208	FAM103A1	1	chr10	11619074	11621074
209	HOMER2	-1	chr10	11588865	11590865
210	WHAMM	1	chr10	11533843	11535843
211		1	chr2	415865	417865
212	MRI1	-1	chr30	1406051	1408051
213	PDE8A	1	chr10	11395440	11397440
214	GATM	1	chr10	11347045	11349045
215	HDC	1	chr10	11324309	11326309
216	GABPB1	1	chr10	11302507	11304507
217		-1	chr10	11295600	11297600
218	USP8	-1	chr10	11302025	11304025
219		1	chr10	11272947	11274947
220	TRPM7	1	chr10	11239994	11241994
221	SPPL2A	1	chr10	11182027	11184027
222		1	chr10	11168652	11170652
223	MORN4	1	chr6	23271198	23273198
224		-1	chr6	23272729	23274729
225	ITGB1BP3	-1	chr10	11169393	11171393
226	ZFYVE27	-1	chr6	23260563	23262563
227		1	chr10	11152127	11154127
228	SFRP5	1	chr6	23249547	23251547
229	GOLGA7B	-1	chr6	23250084	23252084
230	BLOC1S6	1	chr10	11143529	11145529
231	CRTAC1	1	chr6	23232580	23234580
232	SLC30A4	-1	chr10	11143870	11145870
233	R3HCC1L	-1	chr6	23226512	23228512
234	C15orf48	1	chr10	11115009	11117009
235	LOXL4	1	chr6	23211500	23213500
236		1	chr10	11110582	11112582
237	DTWD1	1	chr10	11032281	11034281
238	FGF7	1	chr10	10986961	10988961
239	PYROXD2	1	chr6	23203807	23205807
240	GALK2	1	chr10	10903605	10905605
241	COPS2	-1	chr10	10904519	10906519
242	SECISBP2L	-1	chr10	10867379	10869379
243	HPS1	1	chr6	23200998	23202998
244		-1	chr10	10846830	10848830
245	HPSE2	1	chr6	23114733	23116733
246	ARL5A	-1	chr7	35325744	35327744
247	CNNM1	-1	chr6	23119460	23121460
248		-1	chr10	10835698	10837698
249		-1	chr7	35278103	35280103
250		-1	chr10	10818108	10820108
251		-1	chr7	35270822	35272822
252	GOT1	1	chr6	23097862	23099862
253	NKX2-3	-1	chr6	23080276	23082276
254	SLC25A28	1	chr6	23066561	23068561
255	KIF3C	-1	chr3	104859189	104861189
256	METTL23	-1	chr18	4247698	4249698
257		-1	chr10	10804921	10806921
258	ENTPD7	-1	chr6	23068556	23070556
259	ATP6V0E2	1	chr6	23059952	23061952
260	COX15	1	chr6	23055822	23057822
261	CPS1	1	chr7	2840237	2842237
262	CUTC	-1	chr6	23058446	23060446
263		-1	chr7	35234514	35236514
264	FBN1	-1	chr10	10768837	10770837
265	LANCL1	-1	chr7	2842090	2844090
266		-1	chr6	23051416	23053416
267	MYL1	-1	chr7	2813128	2815128
268	DNMBP	1	chr6	23019331	23021331
269	DUT	1	chr10	10587917	10589917
270	ACADL	-1	chr7	2785778	2787778
271		-1	chr7	35175380	35177380
272	CPN1	1	chr6	22995061	22997061
273	SLC12A1	1	chr10	10535714	10537714
274	RIF1	1	chr7	35141825	35143825
275	KANSL1L	-1	chr7	2770441	2772441
276	CTXN2	1	chr10	10525173	10527173
277	TNFAIP6	1	chr7	35125798	35127798
278		1	chr7	2706759	2708759
279	ENTPD1	1	chr6	22953040	22955040
280	IRAK2	1	chr12	19831086	19833086
281	PLEKHH1	1	chr5	29009049	29011049
282		1	chr2	410184	412184
283		1	chr2	406259	408259
284	PDGFA	-1	chr14	2416757	2418757
285		1	chr22	3595377	3597377
286	NMI	-1	chr7	35110812	35112812
287	MYEF2	-1	chr10	10521391	10523391
288	RBM43	-1	chr7	35100528	35102528
289	RND3	-1	chr7	35022843	35024843
290	PROK1	1	chr26	1420753	1422753
291	APMAP	-1	chr3	15940433	15942433
292		-1	chr13	1290097	1292097
293		-1	chr22	3594012	3596012
294		-1	chr30	1401086	1403086
295		-1	chr31	149354	151354
296	SLC24A5	1	chr10	10493516	10495516
297		-1	chr6	22919904	22921904
298	MMADHC	-1	chr7	34933480	34935480
299	LYPD6	1	chr7	34905318	34907318
300	ADGRA1	-1	chr6	22847758	22849758
301	LYPD6B	1	chr7	34861518	34863518
302	UNC80	1	chr7	2585733	2587733
303	TAL1	-1	chr8	22269319	22271319
304		-1	chr13	1278221	1280221
305	KIF5C	1	chr7	34769500	34771500
306		-1	chr4	90892554	90894554
307	SEMA6D	1	chr10	10213218	10215218
308	EPC2	1	chr7	34719337	34721337
309	MBD5	1	chr7	34655821	34657821
310	AUP1	1	chr4	90824517	90826517
311	HTRA2	-1	chr4	90825690	90827690
312		-1	chr6	22548666	22550666
313	LOXL3	1	chr4	90805621	90807621
314		1	chr4	90798205	90800205
315	ORC4	-1	chr7	34570319	34572319
316	GLDN	1	chr10	9698228	9700228
317		1	chr4	90789406	90791406
318	DOK1	-1	chr4	90785762	90787762
319	M1AP	1	chr4	90751355	90753355
320		1	chr6	22370080	22372080
321	CYP19A1	-1	chr10	9683958	9685958
322	ACVR2A	1	chr7	34495510	34497510
323	AOC1	-1	chr2	398027	400027
324	RPS12	-1	chr3	56862421	56864421
325		1	chr13	1207653	1209653
326	MDM2	1	chr1	35413392	35415392
327		-1	chr31	126369	128369
328	PHYHIPL	-1	chr6	1398417	1400417
329	MAP2	1	chr7	2469803	2471803
330	NEK10	-1	chr2	38378275	38380275
331		1	chr12	19827648	19829648
332	DLG1	-1	chr9	12769122	12771122
333	UTP4	1	chr11	18912354	18914354
334	FOXL3	1	chr14	2203452	2205452
335		-1	chr31	116157	118157
336		-1	chr3	56645858	56647858
337	DNTT	1	chr6	22166275	22168275
338	TNFAIP8L3	-1	chr10	9639629	9641629
339	AP4E1	1	chr10	9575360	9577360
340	ZEB2	-1	chr7	33416501	33418501
341	FRZB	1	chr7	2335401	2337401
342	SCG3	-1	chr10	9573569	9575569
343	LYSMD2	1	chr10	9531321	9533321
344	TUBGCP5	1	chr1	131651635	131653635
345	TMOD2	1	chr10	9487522	9489522
346	NCKAP1	1	chr7	2275080	2277080
347	CHST7	-1	chr1	131624499	131626499
348	GTDC1	-1	chr7	33278345	33280345
349	TMOD3	-1	chr10	9485282	9487282
350	SLC9A7	1	chr1	131535499	131537499
351	SH2D6	-1	chr6	22144236	22146236
352	LEO1	-1	chr10	9458327	9460327
353	DUSP19	-1	chr7	2263751	2265751
354	DYSF	-1	chr4	90698669	90700669
355	RP2	-1	chr1	131522595	131524595
356	DSCC1	-1	chr2	136685316	136687316
357	PFDN5	1	chr33	7244422	7246422
358	NUP35	-1	chr7	2257089	2259089
359	JADE3	-1	chr1	131455659	131457659
360	ZNF804A	-1	chr7	1959021	1961021
361	MAPK4	-1	chr10	9397799	9399799
362	ZC3H15	-1	chr7	1418831	1420831
363	RGN	-1	chr1	131429820	131431820
364	BCL2L10	1	chr10	9344408	9346408
365	ARHGAP15	1	chr7	32696929	32698929
366	GNB5	1	chr10	9321768	9323768
367		-1	chr1	131412658	131414658
368	ZNF518A	1	chr6	22040153	22042153
369	MYO5C	1	chr10	9284268	9286268
370	PRR35	1	chr14	13884337	13886337
371	CCNJ	-1	chr6	22007023	22009023
372	PLCXD1	-1	chr1	131395496	131397496
373	CAPN15	1	chr14	13805324	13807324
374	CYP26B1	1	chr4	90143113	90145113
375	NDUFB6	1	chr14	13795491	13797491
376	ITGAV	-1	chr7	1399109	1401109
377	GTPBP6	1	chr1	131357737	131359737
378	KYNU	1	chr7	32637734	32639734
379	EEF2KMT	-1	chr14	13797471	13799471
380	EXOC6B	1	chr4	89878064	89880064
381		-1	chr6	21983509	21985509
382		1	chr14	13780898	13782898
383	MYO5A	1	chr10	9190217	9192217
384	FAM171B	-1	chr7	1326910	1328910
385	SPR	-1	chr4	89871730	89873730
386	C16orf89	-1	chr14	13782211	13784211
387	EMX1	-1	chr4	89855757	89857757
388	STAG3	-1	chr1	131358996	131360996
389	ARPP19	1	chr10	9176836	9178836
390	ERMARD	-1	chr3	41213936	41215936
391	BTAF1	-1	chr6	21954114	21956114
392	NAGPA	-1	chr14	13775344	13777344
393	FAM214A	1	chr10	9131005	9133005
394	SFXN5	1	chr4	89766122	89768122
395	SEC14L5	1	chr14	13727108	13729108
396	CPEB3	1	chr6	21810766	21812766
397	DLL1	1	chr3	40915807	40917807
398	ONECUT1	1	chr10	9101712	9103712
399		1	chr1	131247779	131249779
400	CALCRL	1	chr7	1116002	1118002
401		1	chr14	13713894	13715894
402	RAB11FIP5	1	chr4	89735707	89737707
403	WDR72	1	chr10	8765590	8767590
404	SHOX	-1	chr1	131040414	131042414
405	GNOT2	-1	chr4	89729882	89731882
406	MARCH5	-1	chr6	21806151	21808151
407		1	chr14	13689803	13691803
408	NOTO	-1	chr4	89719228	89721228
409		-1	chr10	8757248	8759248
410		-1	chr10	8717325	8719325
411	FAM120B	-1	chr3	40916045	40918045
412	SMYD5	-1	chr4	89714666	89716666
413	CRLF2	1	chr1	130583755	130585755
414	PRADC1	1	chr4	89701489	89703489
415	LRP1B	-1	chr7	32428239	32430239
416		-1	chr10	8676758	8678758
417	PPL	-1	chr14	13679023	13681023
418	TFPI	1	chr7	997491	999491
419	DYNC1I1	1	chr2	23940101	23942101
420	CCT7	-1	chr4	89703407	89705407
421		1	chr1	130531401	130533401
422	PSMB1	1	chr3	40802437	40804437
423	RSL24D1	1	chr10	8463872	8465872
424	PIGBOS1	1	chr10	8430354	8432354
425		-1	chr1	130512773	130514773
426	UBN1	1	chr14	13630240	13632240
427	CSF2RA	-1	chr1	130498132	130500132
428	RAB27A	1	chr10	8430339	8432339
429	TBP	-1	chr3	40804578	40806578
430		-1	chr1	130477375	130479375
431	NME3	1	chr14	13625364	13627364
432	IDE	1	chr6	21717515	21719515
433		-1	chr30	1377961	1379961
434	KCNH2	1	chr2	360629	362629
435	TPP2	-1	chr1	144332880	144334880
436	PDK4	-1	chr2	23914501	23916501
437	PIGB	-1	chr10	8432081	8434081
438	SLC25A6	1	chr1	130451388	130453388
439	ASB4	1	chr2	23880026	23882026
440	CCPG1	1	chr10	8402803	8404803
441	EME2	-1	chr14	13627615	13629615
442	PDCD2	1	chr3	40768760	40770760
443	FBXO41	1	chr4	89677417	89679417
444	PON1	-1	chr2	23867206	23869206
445	DYX1C1	1	chr10	8392691	8394691
446	ASMTL	1	chr1	130421703	130423703
447		-1	chr7	31720416	31722416
448		-1	chr3	40767827	40769827
449	GULP1	-1	chr7	931385	933385
450	KIF11	-1	chr6	21704004	21706004
451	PYGO1	1	chr10	8376045	8378045
452	SPSB3	1	chr14	13608664	13610664
453	NXPH2	-1	chr7	31457806	31459806
454	TRIM67	1	chr3	40717340	40719340
455	P2RY8	1	chr1	130384937	130386937
456	FAM89A	-1	chr3	40693437	40695437
457		-1	chr31	41447	43447
458	ZFP92	-1	chr1	93302853	93304853
459	NUBP2	-1	chr14	13610327	13612327
460	PRTG	1	chr10	8278308	8280308
461	HHEX	-1	chr6	21671233	21673233
462	ARV1	1	chr3	40664272	40666272
463	AKAP17A	-1	chr1	130350924	130352924
464		-1	chr7	31584810	31586810
465	IGFALS	1	chr14	13598258	13600258
466	PPP1R9A	1	chr2	23713865	23715865
467	EGR4	1	chr4	89670385	89672385
468	CCDC78	-1	chr14	13597109	13599109
469	ASMT	-1	chr1	130338282	130340282
470	TTC13	-1	chr3	40666062	40668062
471	FAM173A	1	chr14	13578808	13580808
472	SPOPL	1	chr7	31374945	31376945
473		-1	chr4	89649497	89651497
474	C1orf198	-1	chr3	40628562	40630562
475	EXOC6	-1	chr6	21623893	21625893
476	ZBED1	1	chr1	129978984	129980984
477	METRN	1	chr14	13572172	13574172
478	NEDD4	1	chr10	8214237	8216237
479	FBXL16	-1	chr14	13569661	13571661
480	CAPN9	1	chr3	40562708	40564708
481	FAM20C	1	chr14	2128705	2130705
482		-1	chr25	2458591	2460591
483	SGCE	-1	chr2	23677464	23679464
484	ADAM33	-1	chr4	89591688	89593688
485	HNMT	1	chr7	31244873	31246873
486	WDR24	-1	chr14	13555202	13557202
487	AGT	-1	chr3	40555076	40557076
488	CD99	-1	chr1	129887257	129889257
489	COG2	1	chr3	40509302	40511302
490		-1	chr7	31237776	31239776
491	CYP26C1	-1	chr6	21536861	21538861
492	RFX7	1	chr10	8188606	8190606
493	TMEM229B	-1	chr5	28968965	28970965
494	SLC16A4	-1	chr26	1422663	1424663
495	CASD1	1	chr2	23620220	23622220
496	PGBD5	-1	chr3	40465340	40467340
497		-1	chr1	129858036	129860036
498		1	chr7	31210704	31212704
499	GFRA4	-1	chr4	89392084	89394084
500	CYP26A1	-1	chr6	21528367	21530367
501	TEX9	-1	chr10	8131839	8133839
502	GYG2	-1	chr1	129833250	129835250
503	STUB1	1	chr14	13541812	13543812
504	MNS1	1	chr10	8106446	8108446
505	GALNT2	1	chr3	40285179	40287179
506		1	chr6	21452930	21454930
507	RHBDL1	1	chr14	13536760	13538760
508		1	chr1	129789261	129791261
509	SLC35E3	1	chr1	35391881	35393881
510	FGFR2	-1	chr6	31906976	31908976
511	COL3A1	-1	chr7	671774	673774
512	THSD7B	1	chr7	30957189	30959189
513	URB2	1	chr3	40178104	40180104
514	RHOT2	1	chr14	13521067	13523067
515		1	chr1	129771838	129773838
516	CXCR4	-1	chr7	30764299	30766299
517	ATRN	1	chr4	89174734	89176734
518	TAF5L	-1	chr3	40180002	40182002
519		1	chr10	8042919	8044919
520	COL1A2	1	chr2	23570965	23572965
521	ABCB10	-1	chr3	40145393	40147393
522		1	chr6	21388656	21390656
523	WDR90	1	chr14	13492490	13494490
524		1	chr1	129685004	129687004
525	BET1	-1	chr2	23403111	23405111
526	NUP133	-1	chr3	40125127	40127127
527	PRKX	1	chr1	129428003	129430003
528		1	chr2	23307984	23309984
529	DNAAF9	-1	chr4	89132168	89134168
530		-1	chr1	129333880	129335880
531	TCF12	-1	chr10	8005950	8007950
532	DARS	-1	chr7	30721164	30723164
533		-1	chr1	129060055	129062055
534	CEP55	-1	chr6	21388540	21390540
535	ACTA1	-1	chr3	40090517	40092517
536	FFAR4	-1	chr6	21367038	21369038
537	CCSAP	-1	chr3	40076967	40078967
538	PDZK1IP1	-1	chr8	22251459	22253459
539		-1	chr22	3061680	3063680
540		1	chr31	15094	17094
541		1	chr13	1146586	1148586
542	FEZ1	1	chr24	152551	154551
543	CARMIL1	-1	chr2	90085595	90087595
544	RBM15	1	chr26	1398046	1400046
545	THUMPD3	1	chr12	19821508	19823508
546	EIF3M	1	chr5	5763070	5765070
547	ESPL1	1	chr33	7232735	7234735
548	VANGL2	1	chr25	2440217	2442217
549		-1	chr13	1118633	1120633
550	CC2D1A	-1	chr30	1368439	1370439
551		-1	chrZ	82335345	82337345
552		-1	chrZ	82315172	82317172
553	METTL21C	1	chr1	144279167	144281167
554		-1	chr13	1110109	1112109
555	CFAP70	1	chr14	13471276	13473276
556		1	chr4	89052103	89054103
557	TFPI2	-1	chr2	23311143	23313143
558	PCM1	-1	chr4	62846044	62848044
559	LRRC3B	1	chr2	38119821	38121821
560	RBP4A	1	chr6	21323447	21325447
561	NLGN4Y	1	chr1	128196873	128198873
562	COL5A2	1	chr7	502979	504979
563	CGNL1	-1	chr10	7808270	7810270
564	RAB4A	1	chr3	40041582	40043582
565	CST7	1	chr3	15915269	15917269
566	ASXL2	-1	chr3	104834649	104836649
567	DENND1A	-1	chr17	9497657	9499657
568		-1	chr10	7752653	7754653
569	MSS51	-1	chr14	13472376	13474376
570	SLC4A11	-1	chr4	88993479	88995479
571	CALCR	-1	chr2	23197789	23199789
572	MCM6	-1	chr7	30679252	30681252
573	RHOU	1	chr3	39868600	39870600
574	PDE6C	-1	chr6	21343739	21345739
575	PUDP	1	chr1	127824527	127826527
576	POLR2M	-1	chr10	7699580	7701580
577	EXOC8	1	chr3	39846254	39848254
578	SPRTN	-1	chr3	39848234	39850234
579	WDR75	-1	chr7	444820	446820
580	NHLH1	1	chr25	2425408	2427408
581		-1	chr13	1042989	1044989
582	AP3S2	-1	chr10	20448187	20450187
583		1	chr2	38080508	38082508
584		-1	chr33	7232142	7234142
585	CYP4B7	1	chr8	22234672	22236672
586	POLD3	1	chr1	195877119	195879119
587	KCNC4	1	chr26	1364687	1366687
588	FAM13C	1	chr6	1276453	1278453
589	WDR11	1	chr6	31605829	31607829
590	SRSF2	1	chr18	4239335	4241335
591	TEX30	-1	chr1	144249042	144251042
592		-1	chr13	1028534	1030534
593		-1	chr13	985344	987344
594	SLC6A17	1	chr26	1350711	1352711
595	CHTF8	-1	chr11	18914832	18916832
596	HTR7L	-1	chr4	88853569	88855569
597		-1	chr3	104740102	104742102
598	OXSM	1	chr2	37879672	37881672
599		-1	chr6	31581488	31583488
600		-1	chr13	974012	976012
601	SIK2	1	chr24	87437	89437
602	NOS3	-1	chr2	367741	369741
603	LIPT2	-1	chr1	195863721	195865721
604		1	chr3	39803910	39805910
605	ALDH1A2	1	chr10	7555496	7557496
606		-1	chr4	88780877	88782877
607	FRA10AC1	1	chr6	21289751	21291751
608	SEPTIN12	1	chr14	13455247	13457247
609	SLC40A1	1	chr7	386115	388115
610	LCT	-1	chr7	30663466	30665466
611	STS	-1	chr1	127825809	127827809
612	SIX1	1	chr5	54591127	54593127
613	AQP9	-1	chr10	7547386	7549386
614	TSNAX	-1	chr3	39776050	39778050
615	SIX4	1	chr5	54568180	54570180
616	DDRGK1	-1	chr4	88767126	88769126
617	MNAT1	-1	chr5	54569488	54571488
618		-1	chr7	359499	361499
619	LIPC	-1	chr10	7445902	7447902
620		1	chr7	30630907	30632907
621	RAB11FIP3	1	chr14	13407978	13409978
622		-1	chr1	127652071	127654071
623	SYNDIG1	1	chr3	15794599	15796599
624	WT1	-1	chr5	5714265	5716265
625	KCNE3	-1	chr1	195860342	195862342
626	POGLUT2	1	chr1	144228790	144230790
627	CSAD	1	chr33	7222088	7224088
628	LZTS3	-1	chr4	88689142	88691142
629	VPS50	1	chr2	22942847	22944847
630	LGI1	-1	chr6	21291555	21293555
631	ASNSD1	-1	chr7	359266	361266
632	UBOX5	-1	chr4	88674174	88676174
633	DISC1	-1	chr3	39731527	39733527
634	PNPLA4	1	chr1	127491301	127493301
635	AVP	-1	chr4	88655304	88657304
636		-1	chr3	104715074	104717074
637	ALX3	-1	chr26	1331612	1333612
638		1	chr5	5566464	5568464
639	PLPP4	1	chr6	31487420	31489420
640	HAS3	1	chr11	18907087	18909087
641	TRMT5	1	chr5	54444629	54446629
642	OSGEPL1	1	chr7	338286	340286
643	ADAM10	1	chr10	7382779	7384779
644		-1	chr4	88651459	88653459
645	DECR2	1	chr14	13401862	13403862
646	SLC35G1	-1	chr6	21244771	21246771
647	ANOS1	1	chr1	127041814	127043814
648	ZNF740	-1	chr33	7224395	7226395
649		-1	chr13	964062	966062
650	CYP4A22	1	chr8	22221375	22223375
651	NME4	1	chr14	13400001	13402001
652	ORMDL1	1	chr7	332114	334114
653	MRPS26	1	chr4	88642121	88644121
654	SLC38A6	-1	chr5	54446537	54448537
655	SIPA1L2	1	chr3	39257120	39259120
656	MINDY2	-1	chr10	7383551	7385551
657	R3HDM1	1	chr7	30582703	30584703
658	HEPACAM2	-1	chr2	22947948	22949948
659	MAP10	-1	chr3	39160875	39162875
660		-1	chr2	22916121	22918121
661	PLCE1	-1	chr6	21200763	21202763
662		1	chr3	39104152	39106152
663		-1	chr5	54333650	54335650
664		1	chr3	39102461	39104461
665	XPO6	1	chr14	13351453	13353453
666	PMS1	-1	chr7	334171	336171
667	SLTM	1	chr10	7337295	7339295
668	CDK6	-1	chr2	22836675	22838675
669	SBK1	-1	chr14	13350329	13352329
670	NTPCR	-1	chr3	39098599	39100599
671	ITGB7	1	chr33	7210688	7212688
672	CRB2	1	chr17	9277298	9279298
673		1	chr10	7321091	7323091
674	ATP1A1	-1	chr1	81054213	81056213
