name	length	avg_phastCons	coverage	std
cCREs17059	539	0.0523488	1.0	0.159118
cCREs17308	638	0.132215	1.1348	0.298077
cCREs17391	1375	0.0663673	1.00218	0.209525
cCREs17657	534	0.959248	1.0	0.169266
cCREs17722	711	0.0482002	1.0	0.178349
cCREs18009	501	0.015571	1.0	0.0814769
cCREs18270	531	0.0621782	0.971751	0.107083
cCREs18577	1056	0.18241	1.0	0.335978
cCREs20165	737	0.606538	1.0	0.46594
cCREs20525	570	0.0284399	1.17193	0.0759954
cCREs20577	833	0.0425208	1.15726	0.105416
cCREs21152	901	0.386291	1.2364	0.457951
cCREs21981	535	0.365116	1.0	0.394687
cCREs22010	1122	0.156521	1.42513	0.216626
cCREs22101	888	0.151474	1.06532	0.334106
cCREs22106	579	0.0807374	1.02936	0.226931
cCREs22114	575	0.00618359	1.0	0.0187901
cCREs22136	1029	0.120855	0.936832	0.295281
cCREs22140	1001	0.35936	1.00799	0.443802
cCREs22141	578	0.454755	1.00865	0.474778
cCREs22171	750	0.150558	1.1	0.330129
cCREs22219	513	0.141949	1.23002	0.156667
cCREs22268	562	0.62493	1.13701	0.356624
cCREs23104	547	0.0681954	1.0	0.146776
cCREs23666	907	0.212189	1.0	0.304946
cCREs24267	536	0.12726	1.22948	0.287751
cCREs24618	540	0.019787	1.0	0.0722441
cCREs25292	557	0.552435	1.0	0.445414
cCREs25301	600	0.533229	1.11167	0.461392
cCREs25376	539	0.263552	1.0	0.431168
cCREs25794	529	0.21995	1.24386	0.393253
cCREs25922	584	0.10826	1.05137	0.249521
cCREs25995	682	0.0338443	1.0	0.0894936
cCREs26071	555	0.298233	1.0	0.424492
cCREs26097	533	0.00276915	1.12195	0.00745557
cCREs26279	1083	0.174362	1.03509	0.272773
cCREs26283	759	0.0550551	1.1726	0.175525
cCREs26855	543	0.365237	1.0	0.446869
cCREs27328	534	0.0384243	1.0	0.162714
cCREs27402	534	0.56581	1.0	0.463379
cCREs27664	528	0.0323586	1.0	0.118524
cCREs28725	794	0.172336	1.24307	0.326247
cCREs29026	578	0.668787	1.02249	0.432474
cCREs29290	625	0.18902	1.0	0.362907
cCREs29472	623	0.0368766	1.0	0.1179
cCREs29844	525	0.0974476	1.08	0.179147
cCREs29962	608	0.181609	1.11513	0.196221
cCREs30032	522	0.0868409	1.0	0.207085
cCREs30043	1227	0.107004	1.23879	0.232094
cCREs30836	729	0.0208818	1.0	0.0935186
cCREs30950	549	0.0274903	1.0	0.094985
cCREs31264	950	0.0852006	1.02211	0.196786
cCREs31268	550	0.115253	1.0	0.164525
cCREs31746	520	0.366889	1.0	0.458423
cCREs32185	566	0.124693	1.03534	0.152501
cCREs33102	522	0.0648949	1.0	0.131761
cCREs33220	533	0.0158471	1.2439	0.0527929
cCREs33400	763	0.16636	1.15072	0.352953
cCREs33490	737	0.142036	1.05834	0.287921
cCREs33695	636	0.0879951	1.0	0.235643
cCREs34012	542	0.443595	1.06827	0.477151
cCREs34017	536	0.346394	1.17164	0.439717
cCREs34023	1340	0.352589	1.17164	0.435749
cCREs34375	540	0.246484	1.02222	0.217685
cCREs34420	552	0.0793589	1.0	0.124513
cCREs35152	541	0.175085	1.1146	0.344768
cCREs35785	876	0.0219454	1.0	0.105205
cCREs35792	644	0.0885124	1.0	0.22455
cCREs35810	697	0.107326	1.05022	0.172778
cCREs35913	539	0.349039	1.04453	0.444558
cCREs35949	1151	0.0479305	1.47176	0.155581
cCREs35986	871	0.071054	1.08611	0.220558
cCREs36213	741	0.0329754	1.08637	0.130042
cCREs36273	541	0.0236413	1.0	0.0868179
cCREs36274	769	0.052715	1.0	0.162183
cCREs36284	602	0.248154	1.0	0.250513
cCREs36392	520	0.0223487	1.0	0.0688633
cCREs36446	611	0.0303482	1.12275	0.132571
cCREs37023	530	0.32884	1.03019	0.420467
cCREs37327	614	0.0279973	1.17915	0.0538586
cCREs38263	542	0.134006	0.817343	0.119553
cCREs38406	1041	0.23007	1.05764	0.371029
cCREs38421	819	0.126171	0.991453	0.256991
cCREs38424	892	0.281871	1.04148	0.325126
cCREs38899	540	0.272403	1.16481	0.419596
cCREs39601	574	0.0465871	1.0	0.148777
cCREs40442	525	0.0739621	1.04381	0.176855
cCREs40495	655	0.133423	1.0	0.307217
cCREs40632	515	0.221724	1.02913	0.371001
cCREs40671	509	0.38646	1.0	0.283432
cCREs42028	539	0.298338	1.0	0.411804
cCREs42826	553	0.0480093	1.0	0.13936
cCREs42859	574	0.0614072	0.808362	0.180303
cCREs42860	501	0.209911	1.08583	0.348686
cCREs44005	534	0.339692	1.0	0.397936
cCREs44449	507	0.0478567	1.0	0.111737
cCREs46701	536	0.347819	1.12873	0.436528
cCREs46751	529	0.66888	1.20794	0.440527
cCREs46798	670	0.0163517	1.0	0.0639587
cCREs47590	618	0.0839285	0.825243	0.159883
cCREs47772	565	0.779751	1.13628	0.390444
cCREs47774	524	0.320695	1.1374	0.435343
cCREs48197	537	0.33484	1.21601	0.425529
cCREs48438	521	0.293233	1.08637	0.396667
cCREs49000	525	0.405181	1.18667	0.455952
cCREs49575	507	0.368511	0.873767	0.311584
cCREs50065	547	0.453147	1.07313	0.476267
cCREs50141	517	0.11023	1.0	0.185183
cCREs50171	1111	0.383096	1.0	0.455222
cCREs50315	552	0.317507	1.0	0.419597
cCREs50408	524	0.0105528	1.0	0.0597629
cCREs50418	541	0.0495917	1.15157	0.185008
cCREs50497	672	0.00801815	1.0	0.0253825
cCREs50778	548	0.0837907	1.08577	0.219917
cCREs50928	523	0.147837	1.0	0.321692
cCREs51128	627	0.307301	1.0	0.402829
cCREs51237	590	0.0644958	0.915254	0.210448
cCREs51265	850	0.116059	1.0	0.25915
cCREs51357	565	0.0332851	1.0	0.103212
cCREs51391	564	0.0199354	1.16489	0.0756832
cCREs52278	950	0.0786237	1.08	0.208392
cCREs52310	534	0.200935	0.93633	0.193084
cCREs52351	525	0.033594	1.20762	0.120154
cCREs52355	558	0.101317	1.0	0.165733
cCREs53158	580	0.11639	0.951724	0.140009
cCREs53551	611	0.0826199	1.0	0.221919
cCREs54175	690	0.0121795	1.0	0.0334378
cCREs54427	712	0.108711	0.985955	0.13816
cCREs54510	536	0.0653569	1.08582	0.167718
cCREs54863	643	0.0418873	1.12286	0.178195
cCREs54964	745	0.120026	1.09396	0.0971492
cCREs55146	534	0.467529	1.11798	0.274437
cCREs55289	873	0.202521	1.0	0.387645
cCREs55297	762	0.284054	1.0	0.400612
cCREs55346	688	0.261914	1.24419	0.386669
cCREs55382	575	0.0943611	1.0	0.234047
cCREs55495	526	0.413245	1.01331	0.4572
cCREs55624	538	0.158286	1.02974	0.341768
cCREs55630	551	0.204222	1.0726	0.341619
cCREs55785	1174	0.0635833	1.34838	0.17784
cCREs55839	539	0.114044	1.0872	0.157946
cCREs55922	811	0.0614167	1.0	0.220942
cCREs56176	611	0.158761	1.0	0.284603
cCREs56200	986	0.350553	1.21501	0.445006
cCREs56488	804	0.136859	1.11443	0.239139
cCREs56491	672	0.21307	1.21429	0.357909
cCREs56553	592	0.343073	1.0	0.434579
cCREs56600	551	0.370062	1.0	0.456208
cCREs56602	505	0.168825	1.0	0.312885
cCREs56840	564	0.0670474	0.861702	0.142963
cCREs56996	514	0.154166	1.0	0.19205
cCREs57059	501	0.0266728	1.0	0.0449808
cCREs57071	504	0.180331	1.03571	0.365075
cCREs57912	648	0.276448	1.0	0.376761
cCREs57920	583	0.115954	1.0	0.257227
cCREs58092	571	0.131366	1.05079	0.203373
cCREs58396	546	0.0758637	1.07875	0.215707
cCREs58419	532	0.420242	1.0	0.41744
cCREs58448	925	0.0961399	1.11459	0.165422
cCREs58502	542	0.0992662	1.0	0.185402
cCREs58522	532	0.0310041	1.23684	0.0838629
cCREs58545	787	0.0645651	1.03685	0.212681
cCREs58743	535	0.0416945	1.23738	0.0955092
cCREs58816	525	0.412346	1.14286	0.461345
cCREs59005	779	0.325464	1.11553	0.401952
cCREs59732	797	0.0267672	1.15809	0.046239
cCREs59770	568	0.770437	1.17958	0.404735
cCREs60030	516	0.148733	1.0	0.284014
cCREs60105	620	0.0146595	1.12903	0.0764161
cCREs60594	541	0.0168226	1.0	0.0705712
cCREs60719	608	0.248813	1.05099	0.315353
cCREs60879	525	0.271843	1.0	0.398474
cCREs60900	795	0.0777381	1.10063	0.21379
cCREs63681	550	0.727617	1.0	0.410746
cCREs63769	529	0.17915	1.0	0.313673
cCREs64527	1112	0.354142	1.13669	0.444412
cCREs65650	545	0.512343	1.0	0.44628
cCREs65851	1214	0.095326	1.17875	0.232472
cCREs65929	574	0.440221	1.02265	0.474313
cCREs66187	561	0.1876	0.942959	0.339084
cCREs66202	557	0.593402	1.18671	0.434964
cCREs66205	665	0.288161	1.18647	0.404956
cCREs66451	504	0.0755122	1.0	0.195547
cCREs66476	576	0.208553	1.15972	0.36778
cCREs66614	797	0.166174	1.12923	0.287046
cCREs66665	530	0.194864	1.0	0.314455
cCREs66671	543	0.201598	1.17864	0.336026
cCREs66674	602	0.317547	1.1794	0.442326
cCREs66694	976	0.192557	1.0	0.351433
cCREs66699	559	0.225962	1.0	0.371794
cCREs66957	540	0.390913	1.06481	0.32166
cCREs66970	819	0.233132	1.09402	0.368049
cCREs66972	870	0.399045	1.0	0.443039
cCREs66987	533	0.143442	0.934334	0.129116
cCREs67086	534	0.157123	1.19288	0.322969
cCREs67530	557	0.0410558	1.22262	0.112702
cCREs67571	603	0.190565	1.0	0.338953
cCREs67638	571	0.124929	1.0	0.281917
cCREs67792	575	0.00854687	0.892174	0.0154452
cCREs68269	509	0.0155502	1.04322	0.0600384
cCREs68979	1251	0.031727	1.17666	0.132617
cCREs68995	905	0.0159731	1.05746	0.0737384
cCREs69092	544	0.580741	1.15074	0.456775
cCREs69278	624	0.375299	1.1859	0.440026
cCREs69385	739	0.658606	1.17185	0.429113
cCREs69530	542	0.145988	1.0572	0.282597
cCREs69553	866	0.100609	1.0	0.221989
cCREs69562	1470	0.147465	1.27415	0.285907
cCREs69873	508	0.533989	1.05315	0.435486
cCREs69942	647	0.178751	1.0	0.209861
cCREs70212	510	0.100314	1.1	0.181986
cCREs71724	640	0.0392642	1.0	0.1221
cCREs71978	559	0.196728	1.0	0.351688
cCREs72027	599	0.384228	1.03005	0.406861
cCREs72080	539	0.242966	1.0	0.366314
cCREs72182	929	0.34469	1.0	0.437442
cCREs72431	544	0.025315	1.15809	0.069694
cCREs72496	543	0.0314521	1.20074	0.116987
cCREs72501	582	0.112061	1.05842	0.276839
cCREs73969	541	0.100645	0.813309	0.116355
cCREs74656	970	0.462442	1.1	0.44871
cCREs74697	544	0.176888	1.02206	0.346135
cCREs74808	565	0.130426	1.05841	0.275752
cCREs75076	527	0.0355111	1.0	0.120785
cCREs75083	1009	0.460428	1.0	0.455444
cCREs75086	777	0.14856	1.0	0.299052
cCREs75128	544	0.599843	1.0	0.446648
cCREs76009	1061	0.0507471	1.04336	0.152885
cCREs76271	724	0.255325	1.0	0.384246
cCREs76341	593	0.109651	1.06577	0.275593
cCREs76474	501	0.442282	1.24351	0.455571
cCREs76552	511	0.0856126	1.0	0.142243
cCREs76564	525	0.0637432	1.00762	0.209438
cCREs76569	532	0.228499	1.00752	0.387425
cCREs76916	660	0.0672952	1.19394	0.228496
cCREs76984	501	0.23288	1.0	0.370449
cCREs77149	614	0.0744973	1.20033	0.144726
cCREs77163	560	0.209456	1.05	0.362482
cCREs77252	846	0.124956	1.0	0.275075
cCREs77261	941	0.142411	1.0	0.28266
cCREs77264	501	0.112602	1.0	0.272929
cCREs77266	508	0.135651	1.0	0.297027
cCREs77318	531	0.228692	1.17891	0.344961
cCREs77575	742	0.0790732	0.995957	0.15898
cCREs77873	859	0.334119	1.18976	0.438544
cCREs77893	646	0.0949921	1.0	0.151159
cCREs78101	593	0.215605	1.20067	0.274254
cCREs78282	608	0.0317496	1.0	0.0890339
cCREs78307	530	0.0103076	1.0	0.0457001
cCREs78351	847	0.637816	1.00826	0.429886
cCREs78355	673	0.237837	1.00743	0.385199
cCREs78655	1010	0.287979	1.09307	0.410264
cCREs79028	765	0.716825	1.01438	0.415118
cCREs79120	1016	0.142793	1.15748	0.307268
cCREs80183	571	0.339608	1.01576	0.428251
cCREs80193	916	0.532186	1.01528	0.479604
cCREs80196	1298	0.156155	1.31125	0.333716
cCREs80211	620	0.0550406	1.0	0.191831
cCREs80215	556	0.0741143	1.0	0.212426
cCREs80216	529	0.195217	1.0794	0.368131
cCREs80227	679	0.327468	1.07953	0.43227
cCREs80242	501	0.198002	1.24351	0.344104
cCREs80437	555	0.26537	1.0	0.423306
cCREs80520	572	0.415398	1.0	0.417758
cCREs80523	569	0.330177	1.21441	0.419503
cCREs80695	523	0.345573	1.0	0.440183
cCREs80744	543	0.334613	1.0	0.39942
cCREs80765	534	0.0731738	1.07865	0.210297
cCREs81050	573	0.0546233	1.03665	0.185686
cCREs81208	1699	0.120099	1.08299	0.303339
cCREs81247	501	0.0994598	1.00798	0.235666
cCREs81597	542	0.326209	1.01476	0.434087
cCREs81615	1544	0.106391	1.44883	0.275829
cCREs81661	588	0.130339	0.835034	0.174183
cCREs81739	654	0.131488	1.0	0.260624
cCREs81812	784	0.0559505	1.0	0.171105
cCREs81829	1083	0.269263	1.15051	0.399971
cCREs81835	1204	0.185372	1.37542	0.344611
cCREs81856	659	0.240802	1.17906	0.38113
cCREs81960	840	0.231199	1.11548	0.351089
cCREs82069	532	0.314178	1.16541	0.42464
cCREs82109	546	0.336957	1.13736	0.415019
cCREs82187	872	0.188913	1.15023	0.322
cCREs82213	511	0.347935	1.07241	0.431649
cCREs82240	501	0.0568589	1.0	0.144753
cCREs82414	590	0.26967	1.17288	0.421719
cCREs82529	556	0.122451	1.04317	0.251697
cCREs82549	524	0.0448174	1.1584	0.164043
cCREs82631	577	0.278058	1.0	0.417977
cCREs82646	633	0.0895892	1.0316	0.220162
cCREs83447	1342	0.195939	1.10358	0.359043
cCREs83589	532	0.381105	1.0	0.429625
cCREs83855	869	0.296906	1.18642	0.423889
cCREs83861	606	0.0731878	1.0	0.193316
cCREs83879	900	0.170736	1.12222	0.339797
cCREs84325	506	0.0779601	1.0	0.211638
cCREs84383	668	0.00382966	1.0	0.0169517
cCREs84408	560	0.078605	1.03571	0.177419
cCREs84460	555	0.0826848	1.19459	0.237276
cCREs84493	556	0.0173361	1.19424	0.0757648
cCREs84516	565	0.200558	1.0	0.37255
cCREs84524	576	0.277724	1.05729	0.409358
cCREs84843	939	0.111665	0.99361	0.261332
cCREs84845	553	0.0165459	1.0	0.067357
cCREs85569	543	0.356057	1.0	0.440746
cCREs85608	520	0.0568527	1.0	0.189358
cCREs85687	565	0.279879	1.10796	0.407056
cCREs85712	921	0.0268773	0.975027	0.113337
cCREs85713	1309	0.106567	1.15432	0.258839
cCREs85758	560	0.0170602	1.14286	0.0508298
cCREs85763	520	0.35116	1.0	0.467039
cCREs85770	660	0.251476	1.0	0.399868
cCREs85793	529	0.597399	1.0	0.436738
cCREs85862	550	0.11758	1.0	0.25759
cCREs86030	580	0.0905471	1.20862	0.228718
cCREs86130	970	0.230281	1.06082	0.396422
cCREs86131	552	0.541452	1.0	0.46703
cCREs86133	501	0.033367	1.0	0.129638
cCREs86179	554	0.213169	1.0	0.253549
cCREs86186	619	0.610486	1.18578	0.448546
cCREs86253	944	0.256458	1.10064	0.402579
cCREs86312	728	0.347919	1.23626	0.441742
cCREs86429	555	0.226715	1.0	0.408955
cCREs86532	520	0.0380702	1.13654	0.0968251
cCREs86539	525	0.0166821	1.00571	0.0478263
cCREs86566	598	0.275878	1.0	0.403255
cCREs86607	749	0.521111	1.0	0.452465
cCREs86857	561	0.138265	1.0	0.303718
cCREs86892	627	0.271621	1.19617	0.355504
cCREs86903	754	0.320521	1.187	0.431448
cCREs86982	764	0.289797	1.22906	0.437653
cCREs86994	527	0.264819	1.03605	0.393833
cCREs87009	584	0.0790719	1.0	0.203714
cCREs87069	863	0.63078	1.0	0.439221
cCREs87135	535	0.221663	1.08598	0.355007
cCREs87144	947	0.188805	1.15734	0.34708
cCREs87210	1021	0.332037	1.0	0.438817
cCREs87235	701	0.14011	1.0	0.29876
cCREs87319	522	0.303617	1.08621	0.419096
cCREs87346	840	0.127118	1.0	0.179751
cCREs87419	527	0.361613	1.0	0.434242
cCREs87441	532	0.0467243	1.24436	0.13333
cCREs87454	531	0.316163	1.03578	0.425326
cCREs87557	686	0.280772	1.20845	0.412336
cCREs88062	546	0.504606	1.0	0.456601
cCREs88127	1303	0.224968	1.17882	0.386361
cCREs88201	502	0.0265033	1.0	0.124706
cCREs88308	546	0.0223295	1.0	0.107647
cCREs88433	514	0.0392576	1.0	0.104264
cCREs88459	555	0.571001	1.22162	0.415576
cCREs88485	544	0.252246	1.0	0.384818
cCREs88564	733	0.02835	1.10778	0.12687
cCREs88886	529	0.196325	1.0	0.367191
cCREs89014	520	0.0288973	1.11538	0.131727
cCREs89048	520	0.349127	1.11538	0.429142
cCREs89069	775	0.173446	1.0929	0.342194
cCREs89138	524	0.162064	1.00763	0.179677
cCREs89159	514	0.0772177	1.0	0.0797458
cCREs89682	984	0.35809	1.0	0.453852
cCREs89818	940	0.371593	1.17872	0.442378
cCREs89848	710	0.260112	1.07183	0.413069
cCREs89849	818	0.229262	1.07213	0.378091
cCREs90040	1308	0.138766	1.25076	0.311901
cCREs90044	568	0.143359	0.804577	0.173843
cCREs90284	507	0.097838	1.24458	0.233471
cCREs90296	563	0.16494	1.0	0.331715
cCREs90303	565	0.177284	1.0	0.341804
cCREs90315	524	0.0301735	1.00763	0.13974
cCREs90317	603	0.212743	1.00829	0.392559
cCREs90380	541	0.0188829	1.0	0.0793995
cCREs90398	1095	0.183053	1.04292	0.349845
cCREs90566	553	0.349776	1.1302	0.46057
cCREs90568	538	0.451873	1.13011	0.458911
cCREs90633	842	0.0790031	1.17221	0.209862
cCREs90636	1541	0.31337	1.20311	0.423021
cCREs90665	507	0.0126695	1.0572	0.058005
cCREs90889	542	0.129102	1.11439	0.263997
cCREs90954	1112	0.0778832	1.10072	0.238609
cCREs91518	1296	0.0843059	1.16667	0.234116
cCREs91619	1280	0.0454356	1.08828	0.106289
cCREs91751	571	0.0585722	1.0	0.156819
cCREs91771	532	0.00556391	1.05075	0.0378117
cCREs91799	612	0.168273	1.1781	0.176198
cCREs91809	721	0.0496879	1.17892	0.172097
cCREs91831	524	0.088065	1.0	0.204503
cCREs91836	562	0.327301	1.0	0.430317
cCREs91852	594	0.0104019	1.05051	0.0441836
cCREs91862	1130	0.0559469	1.10796	0.203524
cCREs91948	526	0.03521	1.05133	0.152236
cCREs91973	710	0.0971075	1.17042	0.216445
cCREs92213	553	0.205774	1.0	0.37323
cCREs92378	543	0.129238	1.0	0.297461
cCREs92505	585	0.0847998	1.2	0.15161
cCREs92722	522	0.260276	1.05172	0.420669
cCREs93345	570	0.0667408	0.985965	0.111705
cCREs93475	1164	0.0536746	1.1933	0.155634
cCREs94442	522	0.0607072	1.13027	0.129823
cCREs95005	537	0.17255	1.0	0.175588
cCREs95053	784	0.111415	1.0	0.161905
cCREs95070	563	0.118745	0.801066	0.186055
cCREs95150	831	0.141378	1.20818	0.274586
cCREs95324	655	0.0828696	1.0	0.0970199
cCREs95442	538	0.00639622	1.24349	0.0212193
cCREs95544	864	0.00818212	1.12963	0.0405246
cCREs95727	744	0.0846777	0.879032	0.19072
cCREs95822	811	0.402949	1.21455	0.461804
cCREs95832	890	0.0395334	1.0	0.122534
cCREs95848	700	0.0137292	1.0	0.0832859
cCREs95866	838	0.0181753	1.22196	0.0595063
cCREs96154	519	0.203452	1.0	0.387304
cCREs96534	520	0.00238234	1.0	0.00516841
cCREs96899	593	0.0271739	1.086	0.0695568
cCREs97047	548	0.359404	1.00547	0.19895
cCREs97430	821	0.312153	1.03654	0.254798
cCREs98208	622	0.231509	1.0	0.212126
cCREs98404	511	0.0258626	1.0	0.0950828
cCREs99346	1066	0.0549726	1.0	0.165984
cCREs100124	809	0.177258	1.12979	0.340016
cCREs100590	600	0.0902243	1.0	0.175551
cCREs101480	1187	0.499029	1.0	0.462357
cCREs101489	975	0.318197	1.0	0.429668
cCREs101504	801	0.420481	1.06492	0.432309
cCREs101739	516	0.0804248	1.0	0.202692
cCREs101794	535	0.138042	1.0	0.286547
cCREs101975	1122	0.189863	0.852941	0.356246
cCREs102152	551	0.0159072	1.02178	0.0696373
cCREs102353	501	0.0268974	1.0	0.0983815
cCREs102868	899	0.255754	1.0	0.377051
cCREs103755	531	0.109837	1.0	0.101099
cCREs103881	561	0.0636057	1.05169	0.19538
cCREs104109	780	0.047127	1.0	0.143638
cCREs104274	650	0.494949	1.11231	0.46833
cCREs104450	722	0.0389215	1.12188	0.0837899
cCREs104885	781	0.438003	1.0	0.441008
cCREs104952	525	0.014538	1.0	0.0446839
cCREs105309	522	0.0495119	1.0	0.160077
cCREs105683	588	0.120639	1.07993	0.2743
cCREs106081	1109	0.293443	1.12173	0.411093
cCREs106215	717	0.0427805	1.0	0.144919
cCREs106224	598	0.180324	1.0	0.345479
cCREs106281	548	0.0837935	0.983577	0.243785
cCREs106675	786	0.648565	0.998728	0.430658
cCREs106691	546	0.0801604	1.07875	0.234096
cCREs106700	732	0.33075	1.07923	0.419559
cCREs106783	717	0.0254864	1.13668	0.113959
cCREs106805	868	0.621769	1.0	0.439235
cCREs106939	534	0.111001	1.0	0.265534
cCREs106947	514	0.0263818	1.0	0.0592026
cCREs107539	527	0.0623726	1.06452	0.131835
cCREs107551	556	0.282017	1.19424	0.39952
cCREs107559	515	0.0837223	1.0	0.201783
cCREs107745	585	0.166353	0.977778	0.21134
cCREs107931	964	0.0664349	1.0	0.203829
cCREs107951	554	0.0708578	1.0	0.200525
cCREs108046	659	0.161493	1.14416	0.319275
cCREs108171	549	0.267441	1.0	0.396362
cCREs108492	813	0.125985	1.0861	0.298043
cCREs108549	559	0.109896	1.20751	0.278813
cCREs108900	540	0.072396	1.0	0.222978
cCREs109264	529	0.00394623	1.20038	0.0276932
cCREs109292	957	0.428087	1.0	0.446964
cCREs109311	591	0.227871	1.0	0.366482
cCREs109387	686	0.0888284	1.0	0.195889
cCREs109390	534	0.0594247	1.24345	0.167524
cCREs109422	524	0.0413685	1.0	0.141015
cCREs109437	567	0.0843885	1.0	0.120555
cCREs109885	535	0.0108113	0.848598	0.0299192
cCREs110575	536	0.0112707	1.0	0.03752
cCREs110645	907	0.0279336	1.24366	0.0662141
cCREs110677	534	0.110204	1.00562	0.102943
cCREs110959	602	0.0401594	1.21429	0.151984
cCREs110992	922	0.0108859	1.0	0.0323681
cCREs111033	580	0.107909	1.05862	0.250825
cCREs111139	540	0.079045	1.0	0.231559
cCREs111142	512	0.0842956	1.0	0.220566
cCREs111371	531	0.0877185	1.04331	0.228439
cCREs111659	590	0.110534	1.13729	0.25795
cCREs111668	963	0.0341682	1.09346	0.129823
cCREs111676	540	0.0243847	1.16481	0.125351
cCREs111837	738	0.0724841	1.13686	0.126523
cCREs112114	511	0.160514	1.14286	0.348913
cCREs112327	569	0.0682664	1.23023	0.131369
cCREs112584	528	0.245025	1.10795	0.398109
cCREs113070	626	0.0306828	1.0	0.136862
cCREs113095	573	0.00978089	1.03665	0.0263037
cCREs113241	757	0.0252831	1.0	0.0894083
cCREs113252	559	0.00392364	1.0	0.0148014
cCREs113409	974	0.350105	1.0	0.452398
cCREs113410	721	0.0612231	1.0	0.206048
cCREs113486	555	0.0188939	1.0	0.0806559
cCREs113534	958	0.0318303	1.0	0.0975365
cCREs113723	501	0.340192	1.18762	0.449306
cCREs113724	794	0.333515	1.1864	0.455599
cCREs113837	685	0.0286027	1.0	0.0951274
cCREs113887	501	0.0794898	1.0978	0.0757633
cCREs113890	1126	0.158545	1.33481	0.275648
cCREs113906	759	0.0645354	1.0	0.191446
cCREs113923	577	0.0475295	1.02253	0.167955
cCREs114050	529	0.00909331	1.04348	0.0613777
cCREs114109	552	0.0228624	1.01449	0.0506007
cCREs114175	843	0.0204136	1.0	0.0456078
cCREs115037	575	0.514203	1.0	0.391357
cCREs115166	774	0.153306	1.0	0.305422
cCREs115220	514	0.300168	1.0	0.239184
cCREs115694	511	0.0240613	1.0	0.131465
cCREs116942	945	0.0652211	1.0	0.134414
cCREs117015	993	0.164308	0.998993	0.251711
cCREs117317	538	0.0399812	1.11524	0.156744
cCREs118557	592	0.0321592	1.1723	0.093647
cCREs119950	531	0.462016	1.0	0.329969
cCREs120291	533	0.0488095	1.0	0.0947371
cCREs120292	508	0.0409703	1.0	0.121205
cCREs120340	517	0.145044	1.0	0.33366
cCREs120686	727	0.311495	1.0	0.43385
cCREs120725	524	0.105545	1.0	0.225216
cCREs121155	978	0.0241713	1.0	0.0926737
cCREs122039	902	0.240921	1.0	0.387389
cCREs122723	540	0.254442	1.0	0.335868
cCREs122785	1072	0.113068	1.0	0.27565
cCREs122808	548	0.205435	1.0	0.344828
cCREs123237	779	0.333949	1.10013	0.433785
cCREs123643	526	0.0276406	1.0	0.1384
cCREs123648	979	0.273703	1.15015	0.407082
cCREs123838	613	0.618342	1.0	0.444318
cCREs124233	639	0.0663974	1.23005	0.193616
cCREs124361	541	0.32516	1.0	0.429807
cCREs124383	501	0.260303	1.16567	0.425194
cCREs124575	528	0.0317055	1.0	0.13408
cCREs124592	596	0.00848989	1.07047	0.0237909
cCREs125063	661	0.211683	1.0	0.329408
cCREs125086	520	0.0737956	1.0	0.168642
cCREs125275	547	0.144881	1.0	0.143391
