name	chromosome	start	end	length
cCREs87235	chr11	101881450	101882151	701
cCREs87319	chr11	102221777	102222299	522
cCREs87346	chr11	102334882	102335722	840
cCREs87419	chr11	102748323	102748850	527
cCREs87441	chr11	102858903	102859435	532
cCREs87454	chr11	102896958	102897489	531
cCREs87557	chr11	103258122	103258808	686
cCREs88062	chr11	105759325	105759871	546
cCREs88127	chr11	105974441	105975744	1303
cCREs88201	chr11	106351221	106351723	502
cCREs88308	chr11	106801966	106802512	546
cCREs88433	chr11	107327338	107327852	514
cCREs88459	chr11	107398253	107398808	555
cCREs88485	chr11	107464091	107464635	544
cCREs88564	chr11	107795299	107796032	733
cCREs88886	chr11	108894016	108894545	529
cCREs89014	chr11	109353886	109354406	520
cCREs89048	chr11	109476172	109476692	520
cCREs89069	chr11	109538986	109539761	775
cCREs89138	chr11	109769039	109769563	524
cCREs89159	chr11	109852000	109852514	514
cCREs89682	chr11	112653427	112654411	984
cCREs89818	chr11	113147446	113148386	940
cCREs89848	chr11	113276935	113277645	710
cCREs89849	chr11	113283240	113284058	818
cCREs90040	chr11	113806244	113807552	1308
cCREs90044	chr11	113818899	113819467	568
cCREs90284	chr11	114673100	114673607	507
cCREs90296	chr11	114702143	114702706	563
cCREs90303	chr11	114728951	114729516	565
cCREs90315	chr11	114780135	114780659	524
cCREs90317	chr11	114782880	114783483	603
cCREs90380	chr11	115084679	115085220	541
cCREs90398	chr11	115179052	115180147	1095
cCREs90566	chr11	115792307	115792860	553
cCREs90568	chr11	115807246	115807784	538
cCREs90633	chr11	116101714	116102556	842
cCREs90636	chr11	116109477	116111018	1541
cCREs90665	chr11	116282071	116282578	507
cCREs90889	chr11	117106889	117107431	542
cCREs90954	chr11	117284667	117285779	1112
cCREs91518	chr11	119133626	119134922	1296
cCREs91619	chr11	119572302	119573582	1280
cCREs91751	chr11	119973697	119974268	571
cCREs91771	chr11	120019425	120019957	532
cCREs91799	chr11	120102314	120102926	612
cCREs91809	chr11	120142481	120143202	721
cCREs91831	chr11	120220096	120220620	524
cCREs91836	chr11	120229796	120230358	562
cCREs91852	chr11	120263842	120264436	594
cCREs91862	chr11	120296235	120297365	1130
cCREs91948	chr11	120712639	120713165	526
cCREs91973	chr11	120872996	120873706	710
cCREs92213	chr12	3396842	3397395	553
cCREs92378	chr12	4004589	4005132	543
cCREs92505	chr12	4488320	4488905	585
cCREs92563	chr12	4781694	4782464	770
cCREs92722	chr12	5303827	5304349	522
cCREs93345	chr12	8373701	8374271	570
cCREs93475	chr12	8916055	8917219	1164
cCREs94442	chr12	13168007	13168529	522
cCREs95005	chr12	16025576	16026113	537
cCREs95053	chr12	16189360	16190144	784
cCREs95070	chr12	16254379	16254942	563
cCREs95150	chr12	16575611	16576442	831
cCREs95324	chr12	17213198	17213853	655
cCREs95442	chr12	17666553	17667091	538
cCREs95544	chr12	21189874	21190738	864
cCREs95645	chr12	24356696	24357514	818
cCREs95727	chr12	24814689	24815433	744
cCREs95822	chr12	25100548	25101359	811
cCREs95832	chr12	25143155	25144045	890
cCREs95848	chr12	25207702	25208402	700
cCREs95866	chr12	25252788	25253626	838
cCREs96154	chr12	26471171	26471690	519
cCREs96534	chr12	28439569	28440089	520
cCREs96899	chr12	29691703	29692296	593
cCREs97047	chr12	30071481	30072029	548
cCREs97430	chr12	31812268	31813089	821
cCREs98208	chr12	35005700	35006322	622
cCREs98404	chr12	35847829	35848340	511
cCREs99346	chr12	40430529	40431595	1066
cCREs100085	chr12	44245677	44246226	549
cCREs100124	chr12	44378478	44379287	809
cCREs100590	chr12	46795963	46796563	600
cCREs101480	chr12	52412859	52414046	1187
cCREs101489	chr12	52445814	52446789	975
cCREs101504	chr12	52493120	52493921	801
cCREs101739	chr12	53410593	53411109	516
cCREs101794	chr12	53632076	53632611	535
cCREs101975	chr12	54364227	54365349	1122
cCREs102152	chr12	55484678	55485229	551
cCREs102353	chr12	56524146	56524647	501
cCREs102868	chr12	59576762	59577661	899
cCREs103755	chr12	66679488	66680019	531
cCREs103881	chr12	67212721	67213282	561
cCREs104109	chr12	68910235	68911015	780
cCREs104274	chr12	69805030	69805680	650
cCREs104450	chr12	70333204	70333926	722
cCREs104885	chr12	71840391	71841172	781
cCREs104952	chr12	72001779	72002304	525
cCREs105309	chr12	73753231	73753753	522
cCREs105683	chr12	75352432	75353020	588
cCREs106081	chr12	76876008	76877117	1109
cCREs106215	chr12	77499592	77500309	717
cCREs106224	chr12	77546137	77546735	598
cCREs106281	chr12	77749511	77750059	548
cCREs106675	chr12	79718933	79719719	786
cCREs106691	chr12	79766002	79766548	546
cCREs106700	chr12	79796997	79797729	732
cCREs106783	chr12	80034058	80034775	717
cCREs106805	chr12	80112751	80113619	868
cCREs106939	chr12	80581285	80581819	534
cCREs106947	chr12	80609858	80610372	514
cCREs107539	chr12	83046670	83047197	527
cCREs107551	chr12	83112914	83113470	556
cCREs107559	chr12	83145858	83146373	515
cCREs107745	chr12	83885929	83886514	585
cCREs107931	chr12	84811495	84812459	964
cCREs107951	chr12	84912503	84913057	554
cCREs108046	chr12	85297115	85297774	659
cCREs108171	chr12	85799981	85800530	549
cCREs108492	chr12	86965320	86966133	813
cCREs108549	chr12	87157300	87157859	559
cCREs108900	chr12	89345830	89346370	540
cCREs109264	chr12	90893892	90894421	529
cCREs109292	chr12	91012144	91013101	957
cCREs109311	chr12	91085864	91086455	591
cCREs109387	chr12	91560360	91561046	686
cCREs109390	chr12	91581607	91582141	534
cCREs109422	chr12	91706361	91706885	524
cCREs109437	chr12	91754487	91755054	567
cCREs109885	chr12	94445534	94446069	535
cCREs110575	chr12	98414465	98415001	536
cCREs110645	chr12	98694410	98695317	907
cCREs110677	chr12	98795706	98796240	534
cCREs110959	chr12	99743452	99744054	602
cCREs110992	chr12	99898385	99899307	922
cCREs111033	chr12	100000286	100000866	580
cCREs111139	chr12	100305177	100305717	540
cCREs111142	chr12	100309159	100309671	512
cCREs111371	chr12	101023093	101023624	531
cCREs111659	chr12	102626778	102627368	590
cCREs111668	chr12	102643255	102644218	963
cCREs111676	chr12	102665213	102665753	540
cCREs111837	chr12	103252852	103253590	738
cCREs112114	chr12	104776940	104777451	511
cCREs112327	chr12	105579804	105580373	569
cCREs112584	chr12	106480442	106480970	528
cCREs113070	chr12	108495771	108496397	626
cCREs113095	chr12	108619762	108620335	573
cCREs113235	chr12	109366922	109367747	825
cCREs113241	chr12	109397460	109398217	757
cCREs113252	chr12	109439211	109439770	559
cCREs113409	chr12	110188159	110189133	974
cCREs113410	chr12	110197256	110197977	721
cCREs113486	chr12	110547034	110547589	555
cCREs113534	chr12	110775564	110776522	958
cCREs113723	chr12	111484922	111485423	501
cCREs113724	chr12	111485511	111486305	794
cCREs113728	chr12	111499579	111500122	543
cCREs113837	chr12	111893994	111894679	685
cCREs113887	chr12	112100051	112100552	501
cCREs113890	chr12	112106386	112107512	1126
cCREs113906	chr12	112154433	112155192	759
cCREs113923	chr12	112207102	112207679	577
cCREs114050	chr12	112664151	112664680	529
cCREs114109	chr12	112881324	112881876	552
cCREs114175	chr12	113100562	113101405	843
cCREs115037	chr12	119611595	119612170	575
cCREs115166	chr13	3792129	3792903	774
cCREs115220	chr13	4228375	4228889	514
cCREs115282	chr13	4798278	4798861	583
cCREs115694	chr13	6642481	6642992	511
cCREs116942	chr13	13349231	13350176	945
cCREs117015	chr13	13638499	13639492	993
cCREs117122	chr13	14239225	14239743	518
cCREs117317	chr13	15562304	15562842	538
cCREs118557	chr13	21446630	21447222	592
cCREs119950	chr13	29311981	29312512	531
cCREs120291	chr13	30658123	30658656	533
cCREs120292	chr13	30658671	30659179	508
cCREs120340	chr13	30789922	30790439	517
cCREs120686	chr13	32236125	32236852	727
cCREs120725	chr13	32471542	32472066	524
cCREs121155	chr13	34780780	34781758	978
cCREs122039	chr13	38545030	38545932	902
cCREs122723	chr13	42130952	42131492	540
cCREs122785	chr13	42407235	42408307	1072
cCREs122808	chr13	42526859	42527407	548
cCREs123237	chr13	43847002	43847781	779
cCREs123643	chr13	45437080	45437606	526
cCREs123648	chr13	45465518	45466497	979
cCREs123838	chr13	45961658	45962271	613
cCREs124233	chr13	47380831	47381470	639
cCREs124361	chr13	48126534	48127075	541
cCREs124383	chr13	48262431	48262932	501
cCREs124575	chr13	49096716	49097244	528
cCREs124592	chr13	49143258	49143854	596
cCREs125063	chr13	51945995	51946656	661
cCREs125086	chr13	52029823	52030343	520
cCREs125275	chr13	52664099	52664646	547
cCREs125368	chr13	53067838	53068406	568
cCREs125388	chr13	53154596	53155181	585
cCREs125923	chr13	55148741	55149285	544
cCREs126060	chr13	55899436	55900292	856
cCREs126068	chr13	55948118	55948909	791
cCREs126143	chr13	56270074	56270597	523
cCREs126149	chr13	56294859	56295432	573
cCREs126352	chr13	57083704	57084221	517
cCREs127343	chr13	60814830	60815531	701
cCREs127434	chr13	63064365	63065233	868
cCREs127549	chr13	63345413	63346249	836
cCREs127581	chr13	63530324	63530855	531
cCREs127587	chr13	63549059	63549784	725
cCREs127631	chr13	63741715	63742587	872
cCREs127687	chr13	64081121	64081685	564
cCREs128262	chr13	69706140	69706687	547
cCREs128589	chr13	71003456	71004019	563
cCREs128765	chr13	72097173	72097849	676
cCREs129061	chr13	73827114	73827648	534
cCREs129168	chr13	74306787	74307423	636
cCREs129169	chr13	74312437	74312953	516
cCREs129349	chr13	75752467	75753060	593
cCREs129368	chr13	75818351	75818922	571
cCREs129404	chr13	75975640	75976202	562
cCREs129591	chr13	76799654	76800184	530
cCREs129826	chr13	78186868	78187419	551
cCREs129935	chr13	78935943	78936596	653
cCREs129966	chr13	79150087	79150661	574
cCREs131802	chr13	91171174	91171692	518
cCREs132377	chr13	93389078	93389642	564
cCREs132557	chr13	94070160	94070693	533
cCREs132586	chr13	94155860	94156553	693
cCREs132657	chr13	94441138	94441669	531
cCREs133628	chr13	98074340	98075395	1055
cCREs133645	chr13	98120370	98121169	799
cCREs134303	chr13	100828171	100828708	537
cCREs134564	chr13	101855925	101856467	542
cCREs134625	chr13	102113759	102114917	1158
cCREs134864	chr13	103042934	103043636	702
cCREs135765	chr13	107111195	107111741	546
cCREs135910	chr13	107649816	107650388	572
cCREs135991	chr13	107925215	107926020	805
cCREs136464	chr13	109679699	109680242	543
cCREs136841	chr13	110871676	110872405	729
cCREs137111	chr13	112088173	112088866	693
cCREs137118	chr13	112114572	112115433	861
cCREs137146	chr13	112211737	112212309	572
cCREs137292	chr13	112764190	112765003	813
cCREs137411	chr13	113354911	113355582	671
cCREs137484	chr13	113603014	113603566	552
cCREs137576	chr13	113871804	113872322	518
cCREs137721	chr13	114405012	114405704	692
cCREs138174	chr13	116973428	116973970	542
cCREs138915	chr14	8218694	8219558	864
