Gene name	Human gene name	Human homology type	Human orthology confidence [0 low, 1 high]
Myot	MYOT	ortholog_one2one	1
Gba	GBA	ortholog_one2one	1
Osbpl5	OSBPL5	ortholog_one2one	1
Usp14	USP14	ortholog_one2one	1
1700092M07Rik	TEX54	ortholog_one2one	0
Zfp9	ZNF25	ortholog_one2one	1
Spag6	SPAG6	ortholog_one2many	1
Prkra	PRKRA	ortholog_one2one	1
Eipr1	EIPR1	ortholog_one2one	1
Serpina10	SERPINA10	ortholog_one2one	1
Slc35f1	SLC35F1	ortholog_one2one	1
Spata5	SPATA5	ortholog_one2one	1
Strc	STRC	ortholog_one2one	1
Pgp	PGP	ortholog_one2one	1
Pjvk	PJVK	ortholog_one2one	1
Tmem210	TMEM210	ortholog_one2one	1
H2al1n	AL121578.2	ortholog_one2many	0
Glis3	GLIS3	ortholog_one2one	1
Klf13	KLF13	ortholog_one2one	1
Irf2bp1	IRF2BP1	ortholog_one2one	1
Dmpk	DMPK	ortholog_one2one	1
Purg	PURG	ortholog_one2one	1
B3gat2	B3GAT2	ortholog_one2one	1
Tex2	TEX2	ortholog_one2one	1
Lypd1	LYPD1	ortholog_one2one	1
Nudt17	NUDT17	ortholog_one2one	1
Eif3g	EIF3G	ortholog_one2one	1
Ywhae	YWHAE	ortholog_one2one	1
Smap1	SMAP1	ortholog_one2one	1
Gpr39	GPR39	ortholog_one2one	1
C1ql4	C1QL4	ortholog_one2one	1
Ppp1r14d	PPP1R14D	ortholog_one2one	1
Serpina5	SERPINA5	ortholog_one2one	1
Atp11b	ATP11B	ortholog_one2one	1
Sept8	SEPTIN8	ortholog_one2one	1
Wnt7b	WNT7B	ortholog_one2one	1
Dct	DCT	ortholog_one2one	1
Col16a1	COL16A1	ortholog_one2one	1
Eps15l1	EPS15L1	ortholog_one2one	1
Slc35e3	SLC35E3	ortholog_one2one	1
Cfap70	CFAP70	ortholog_one2one	1
Ncbp3	NCBP3	ortholog_one2one	1
Acoxl	ACOXL	ortholog_one2one	1
Rnf182	RNF182	ortholog_one2one	1
Rdx	RDX	ortholog_one2one	1
Kif26b	KIF26B	ortholog_one2one	1
Atp6v1g1	ATP6V1G1	ortholog_one2one	1
Cd209e	CD209	ortholog_one2many	0
Arl11	ARL11	ortholog_one2one	1
Eif4e1b	EIF4E1B	ortholog_one2one	1
Grin1	GRIN1	ortholog_one2one	1
St14	ST14	ortholog_one2one	1
Uvssa	UVSSA	ortholog_one2one	1
Zer1	ZER1	ortholog_one2one	1
Fgf2	FGF2	ortholog_one2one	1
Ror2	ROR2	ortholog_one2one	1
Map6d1	MAP6D1	ortholog_one2one	1
Prg2	AP000781.2	ortholog_one2many	0
Prg2	PRG2	ortholog_one2many	1
Ctdsp2	CTDSP2	ortholog_one2one	1
D11Wsu47e	C17orf80	ortholog_one2one	0
Fam3a	FAM3A	ortholog_one2one	1
Polr3h	POLR3H	ortholog_one2one	1
Glce	GLCE	ortholog_one2one	1
Tgfb3	TGFB3	ortholog_one2one	1
Prg3	PRG3	ortholog_one2one	1
Cdh20	CDH20	ortholog_one2one	1
Dnajc22	DNAJC22	ortholog_one2one	1
Prl8a6	PRL	ortholog_one2many	0
Klk1b21	KLK1	ortholog_one2many	0
Bbs12	BBS12	ortholog_one2one	1
Zfp623	ZNF623	ortholog_one2one	1
Ddx1	DDX1	ortholog_one2one	1
Spesp1	SPESP1	ortholog_one2one	0
Tex15	TEX15	ortholog_one2one	0
Capn6	CAPN6	ortholog_one2one	1
Ssu2	SSUH2	ortholog_one2one	1
Nudt6	NUDT6	ortholog_one2one	1
Ccdc103	CCDC103	ortholog_one2one	1
Nmi	NMI	ortholog_one2one	1
Sarm1	SARM1	ortholog_one2one	1
Sncaip	SNCAIP	ortholog_one2one	1
Aco2	ACO2	ortholog_one2one	1
Efcab11	EFCAB11	ortholog_one2one	1
Dcp2	DCP2	ortholog_one2one	1
Fam187a	FAM187A	ortholog_one2one	1
Map3k7	MAP3K7	ortholog_one2one	1
Mrgprg	MRGPRG	ortholog_one2one	1
Grxcr1	GRXCR1	ortholog_one2one	1
Aaas	AAAS	ortholog_one2one	1
Tcf20	TCF20	ortholog_one2many	1
S100a11	S100A11	ortholog_one2one	1
Olfr1388	OR2Y1	ortholog_one2many	0
Alox12	ALOX12	ortholog_one2one	1
Ccdc15	CCDC15	ortholog_one2one	0
Gfap	GFAP	ortholog_one2one	1
Fblim1	FBLIM1	ortholog_one2one	1
Cd164	CD164	ortholog_one2one	1
Flrt2	FLRT2	ortholog_one2one	1
Anp32a	ANP32A	ortholog_one2many	1
Anp32a	ANP32D	ortholog_one2many	0
Nol8	NOL8	ortholog_one2one	1
Mlst8	MLST8	ortholog_one2one	1
Smim26	SMIM26	ortholog_one2one	0
G2e3	G2E3	ortholog_one2one	1
Emp3	EMP3	ortholog_one2one	1
Omp	OMP	ortholog_one2one	1
Capn5	CAPN5	ortholog_one2one	1
Slc7a11	SLC7A11	ortholog_one2one	1
Il17rc	IL17RC	ortholog_one2one	1
Tox	TOX	ortholog_one2one	1
Olfr1387	OR2Y1	ortholog_one2many	0
Cd209d	CD209	ortholog_one2many	0
Spint1	SPINT1	ortholog_one2one	1
Tssk2	TSSK2	ortholog_one2one	1
Fscn3	FSCN3	ortholog_one2one	1
Gm10424	PRAMEF2	ortholog_many2many	0
Gm10424	PRAMEF5	ortholog_many2many	0
Gm10424	PRAMEF7	ortholog_many2many	0
Gm10424	PRAMEF26	ortholog_many2many	0
Gm10424	PRAMEF17	ortholog_many2many	0
Gm10424	PRAMEF20	ortholog_many2many	0
Gm10424	PRAMEF6	ortholog_many2many	0
Gm10424	PRAMEF12	ortholog_many2many	0
Gm10424	PRAMEF4	ortholog_many2many	0
Gm10424	PRAMEF1	ortholog_many2many	0
Gm10424	PRAMEF14	ortholog_many2many	0
Gm10424	PRAMEF10	ortholog_many2many	0
Gm10424	PRAMEF15	ortholog_many2many	0
Gm10424	PRAMEF18	ortholog_many2many	0
Gm10424	PRAMEF25	ortholog_many2many	0
Gm10424	PRAMEF13	ortholog_many2many	0
Gm10424	PRAMEF11	ortholog_many2many	0
Gm10424	PRAMEF27	ortholog_many2many	0
Gm10424	PRAMEF33	ortholog_many2many	0
Gm10424	PRAMEF8	ortholog_many2many	0
Gm10424	PRAMEF19	ortholog_many2many	0
Gm10424	PRAMEF9	ortholog_many2many	0
Nlgn3	NLGN3	ortholog_one2one	1
Rapgef6	AC008695.1	ortholog_one2many	1
Rapgef6	RAPGEF6	ortholog_one2many	1
Zfp956	ZNF587B	ortholog_many2many	0
Zfp956	ZNF552	ortholog_many2many	0
Arf5	ARF5	ortholog_one2one	1
Lrrc17	LRRC17	ortholog_one2one	1
Cav3	CAV3	ortholog_one2one	1
Tubg1	TUBG1	ortholog_one2one	1
Oxtr	OXTR	ortholog_one2one	1
Fbxl13	FBXL13	ortholog_one2one	1
S100a10	S100A10	ortholog_one2one	1
Gcc1	GCC1	ortholog_one2one	1
Tgfb2	TGFB2	ortholog_one2one	1
Dnah2	DNAH2	ortholog_one2one	1
Coro2b	CORO2B	ortholog_one2one	1
Ppig	PPIG	ortholog_one2one	1
Ube2j1	UBE2J1	ortholog_one2one	1
Fam177a	FAM177A1	ortholog_one2many	0
Phyh	PHYH	ortholog_one2one	1
Ifih1	IFIH1	ortholog_one2one	1
Mrgpre	MRGPRE	ortholog_one2one	1
Rnf152	RNF152	ortholog_one2one	1
Slc22a5	SLC22A5	ortholog_one2many	1
Usp1	USP1	ortholog_one2one	1
Bcl2l11	BCL2L11	ortholog_one2one	1
Zfp618	ZNF618	ortholog_one2one	1
Tex35	TEX35	ortholog_one2one	0
Pon2	PON2	ortholog_one2one	1
Spon1	SPON1	ortholog_one2one	1
Pign	PIGN	ortholog_one2one	1
Bhlhe22	BHLHE22	ortholog_one2one	1
Gmeb2	GMEB2	ortholog_one2one	1
F13a1	F13A1	ortholog_one2one	1
Socs1	SOCS1	ortholog_one2one	1
Olfr286	OR10AD1	ortholog_one2many	1
Tnp2	TNP2	ortholog_one2one	0
Wnt7a	WNT7A	ortholog_one2one	1
Prm3	PRM3	ortholog_one2one	1
Ucma	UCMA	ortholog_one2one	1
Cdh4	CDH4	ortholog_one2one	1
Abcd2	ABCD2	ortholog_one2one	1
Rnf17	RNF17	ortholog_one2one	1
Tmem268	TMEM268	ortholog_one2one	1
Phrf1	PHRF1	ortholog_one2one	1
Pld3	PLD3	ortholog_one2one	1
Cnot4	CNOT4	ortholog_one2one	1
Gnb1	GNB1	ortholog_one2one	1
Colgalt1	COLGALT1	ortholog_one2one	1
Ppp1r26	PPP1R26	ortholog_one2one	1
Itga11	ITGA11	ortholog_one2one	1
Pip4k2a	PIP4K2A	ortholog_one2one	1
Prm2	PRM2	ortholog_one2one	0
Gps1	GPS1	ortholog_one2one	1
Klhl20	KLHL20	ortholog_one2one	1
Faah	FAAH	ortholog_one2one	1
Trmt5	TRMT5	ortholog_one2one	1
Klk1b22	KLK1	ortholog_one2many	0
Nmrk1	NMRK1	ortholog_one2one	1
Vtn	AC002094.3	ortholog_one2many	0
Vtn	VTN	ortholog_one2many	1
Taf7l	TAF7L	ortholog_one2many	0
Pbx3	PBX3	ortholog_one2one	1
Zfp90	ZFP90	ortholog_one2one	1
Kctd8	KCTD8	ortholog_one2one	1
Tex28	TEX28	ortholog_one2one	1
CN725425	C12orf40	ortholog_one2one	1
Disp2	DISP2	ortholog_one2one	1
Ndufs8	NDUFS8	ortholog_one2one	1
Psmc4	PSMC4	ortholog_one2one	1
Zfp354a	ZNF354A	ortholog_one2many	1
Zfp354a	AC113348.2	ortholog_one2many	0
Pik3r1	PIK3R1	ortholog_one2one	1
Rmi2	RMI2	ortholog_one2one	1
Usp31	USP31	ortholog_one2one	1
Tmem186	TMEM186	ortholog_one2one	1
Unc13a	UNC13A	ortholog_one2one	1
Pmm2	PMM2	ortholog_one2one	1
Creld1	CRELD1	ortholog_one2one	1
Slc12a8	SLC12A8	ortholog_one2one	1
Lmf2	LMF2	ortholog_one2one	1
Fem1b	FEM1B	ortholog_one2one	1
Hnrnph3	HNRNPH3	ortholog_one2one	1
Dnajc8	DNAJC8	ortholog_one2one	1
H1fnt	H1FNT	ortholog_one2one	0
Kif18b	KIF18B	ortholog_one2one	1
Ubr5	UBR5	ortholog_one2one	1
Tmem176a	TMEM176A	ortholog_one2one	1
Tnfaip6	TNFAIP6	ortholog_one2one	1
Erbb3	ERBB3	ortholog_one2one	1
Nadsyn1	NADSYN1	ortholog_one2one	1
Strn4	STRN4	ortholog_one2one	1
Prrt3	PRRT3	ortholog_one2one	1
Cln6	CLN6	ortholog_one2one	1
Olfr1386	OR2Y1	ortholog_one2many	0
Dennd4b	DENND4B	ortholog_one2one	1
Fam133b	FAM133B	ortholog_one2one	1
Timm8a1	TIMM8A	ortholog_one2one	1
Tns3	TNS3	ortholog_one2one	1
Dedd2	DEDD2	ortholog_one2one	1
Nt5dc2	NT5DC2	ortholog_one2one	1
Plekha5	PLEKHA5	ortholog_one2one	1
Carhsp1	CARHSP1	ortholog_one2one	1
Mycl	MYCL	ortholog_one2one	1
Rps6ka3	RPS6KA3	ortholog_one2one	1
Calml4	CALML4	ortholog_one2one	1
Olfr1385	OR2Y1	ortholog_one2many	1
Klk1b24	KLK1	ortholog_one2many	0
Hps1	HPS1	ortholog_one2one	1
Olfr1384	OR2Y1	ortholog_one2many	0
Ubxn8	UBXN8	ortholog_one2one	1
Tmem176b	TMEM176B	ortholog_one2one	1
Sema3d	SEMA3D	ortholog_one2one	1
Cct2	CCT2	ortholog_one2one	1
Klk1b4	KLK1	ortholog_one2many	0
Olfr1383	OR2Y1	ortholog_one2many	0
Ppp2cb	PPP2CB	ortholog_one2one	1
Cep85l	CEP85L	ortholog_one2one	1
Klk1b16	KLK1	ortholog_one2many	1
Slc26a3	SLC26A3	ortholog_one2one	1
Zdhhc13	ZDHHC13	ortholog_one2one	1
Zfp526	ZNF526	ortholog_one2one	1
Asb4	ASB4	ortholog_one2one	1
Polr2e	POLR2E	ortholog_one2one	1
1700007K13Rik	C9orf116	ortholog_one2one	1
Rrp15	RRP15	ortholog_one2one	1
Rufy2	RUFY2	ortholog_one2one	1
Klk1b3	KLK1	ortholog_one2many	0
Car8	CA8	ortholog_one2one	1
Mcm3	MCM3	ortholog_one2one	1
Iqsec2	IQSEC2	ortholog_one2one	1
Zfp668	ZNF668	ortholog_one2one	1
Pln	PLN	ortholog_one2one	1
Ldhd	LDHD	ortholog_one2one	1
Olfr1382	OR2Y1	ortholog_one2many	1
Ppp2r1a	PPP2R1A	ortholog_one2one	1
Slc2a13	SLC2A13	ortholog_one2one	1
Catsper2	CATSPER2	ortholog_one2one	1
Sptlc1	SPTLC1	ortholog_one2one	1
C6	C6	ortholog_one2one	1
Bricd5	BRICD5	ortholog_one2one	1
Gm21974	VKORC1	ortholog_one2many	1
Vkorc1	VKORC1	ortholog_one2many	1
Olfr1381	OR2Y1	ortholog_one2many	1
Olfr1380	OR2Y1	ortholog_one2many	0
Spef2	SPEF2	ortholog_one2one	0
Zfp646	ZNF646	ortholog_one2one	1
Tbc1d13	TBC1D13	ortholog_one2one	1
Fkbp7	FKBP7	ortholog_one2one	1
Carnmt1	CARNMT1	ortholog_one2one	1
Stab1	STAB1	ortholog_one2one	1
Prss53	PRSS53	ortholog_one2one	1
Soat2	SOAT2	ortholog_one2one	1
Znrf1	ZNRF1	ortholog_one2one	1
Det1	DET1	ortholog_one2many	1
Det1	AC013489.1	ortholog_one2many	1
Serpina3a	SERPINA3	ortholog_one2many	0
Syt1	SYT1	ortholog_one2one	1
Mrps2	MRPS2	ortholog_one2one	1
Gca	GCA	ortholog_one2one	1
Txndc11	TXNDC11	ortholog_one2one	1
Irf7	IRF7	ortholog_one2one	1
Serpinb3d	SERPINB4	ortholog_many2many	1
Serpinb3d	SERPINB3	ortholog_many2many	0
Ehf	EHF	ortholog_one2one	1
Pdia3	PDIA3	ortholog_one2one	1
Aldh3b1	ALDH3B1	ortholog_one2one	1
Gpaa1	GPAA1	ortholog_one2one	1
Tas2r118	TAS2R16	ortholog_one2one	1
Sparcl1	SPARCL1	ortholog_one2one	1
Rgs10	RGS10	ortholog_one2one	1
Fads2	FADS2	ortholog_one2one	1
Ppp1r16a	PPP1R16A	ortholog_one2one	1
AW551984	VWA5A	ortholog_one2many	1
Tff3	TFF3	ortholog_one2one	1
Gen1	GEN1	ortholog_one2one	1
Kcnh7	KCNH7	ortholog_one2one	1
Cpsf4l	CPSF4L	ortholog_one2one	0
Notch2	NOTCH2	ortholog_one2one	1
Rasef	RASEF	ortholog_one2one	1
Yipf7	YIPF7	ortholog_one2one	1
Sdccag8	SDCCAG8	ortholog_one2one	1
Prr30	PRR30	ortholog_one2one	1
Pdk4	PDK4	ortholog_one2one	1
Tff2	TFF2	ortholog_one2one	1
Calr3	CALR3	ortholog_one2one	1
Wscd1	WSCD1	ortholog_one2one	1
Sumo2	SUMO2	ortholog_one2one	1
C1ql1	C1QL1	ortholog_one2one	1
Pakap	PALM2-AKAP2	ortholog_one2many	1
Tff1	TFF1	ortholog_one2one	1
Scnn1g	SCNN1G	ortholog_one2one	1
Bmyc	MYC	ortholog_one2one	0
Ddx41	DDX41	ortholog_one2one	1
Gtf2ird1	GTF2IRD1	ortholog_one2one	1
Rab2a	RAB2A	ortholog_one2one	1
Chchd4	CHCHD4	ortholog_one2many	1
Apoc2	APOC2	ortholog_one2many	1
Snn	SNN	ortholog_one2one	1
Litaf	LITAF	ortholog_one2one	1
Thop1	THOP1	ortholog_one2one	1
Apoc4	APOC4	ortholog_one2many	1
Apoc4	APOC4-APOC2	ortholog_one2many	1
Unc93b1	UNC93B1	ortholog_one2one	1
Gc	GC	ortholog_one2one	1
Tmem81	TMEM81	ortholog_one2one	1
Gm44805	APOC2	ortholog_one2many	1
Yap1	YAP1	ortholog_one2one	1
Slc6a11	SLC6A11	ortholog_one2one	1
Yy1	YY1	ortholog_one2one	1
Cdh3	CDH3	ortholog_one2one	1
Gm5136	BRCC3	ortholog_one2many	0
Adam25	ADAM20	ortholog_one2many	0
Col4a5	COL4A5	ortholog_one2one	1
Fkrp	FKRP	ortholog_one2one	1
Zfp641	ZNF641	ortholog_one2one	1
Gabrr2	GABRR2	ortholog_one2one	1
Spata16	SPATA16	ortholog_one2one	1
Ccdc114	CCDC114	ortholog_one2one	1
Sec14l1	SEC14L1	ortholog_one2one	1
E130308A19Rik	KIAA1958	ortholog_one2one	1
Pdcd10	PDCD10	ortholog_one2one	1
Gfra4	GFRA4	ortholog_one2one	1
Adam20	ADAM20	ortholog_one2many	0
Snf8	SNF8	ortholog_one2one	1
Casc3	CASC3	ortholog_one2one	1
Ube2t	UBE2T	ortholog_one2one	1
Dnajc4	DNAJC4	ortholog_one2one	1
Gm5767	LITAFD	ortholog_one2one	1
Tgds	TGDS	ortholog_one2one	1
Fkbp9	FKBP9	ortholog_one2one	1
Adam39	ADAM20	ortholog_one2many	0
Ern2	ERN2	ortholog_one2one	1
Zmym4	ZMYM4	ortholog_one2one	1
Cul4a	CUL4A	ortholog_one2one	1
Aen	AEN	ortholog_one2one	1
Dspp	DSPP	ortholog_one2one	0
Ebf4	EBF4	ortholog_one2one	1
Pakap	PALM2-AKAP2	ortholog_one2many	1
Akt3	AKT3	ortholog_one2one	1
Vmn1r233	VN1R4	ortholog_one2many	0
Cd83	CD83	ortholog_one2one	1
Npffr2	NPFFR2	ortholog_one2one	1
Olfr285	OR8S1	ortholog_one2one	0
Tcaim	TCAIM	ortholog_one2one	1
Inip	INIP	ortholog_one2one	1
Msl1	MSL1	ortholog_one2one	1
Reg3b	REG1B	ortholog_many2many	0
Tex48	TEX48	ortholog_one2one	0
Gm11758	AC113348.1	ortholog_one2many	0
Serpinb3b	SERPINB4	ortholog_many2many	0
Serpinb3b	SERPINB3	ortholog_many2many	0
Myo1g	MYO1G	ortholog_one2one	1
Elmod3	ELMOD3	ortholog_one2one	1
Mtm1	MTM1	ortholog_one2one	1
Cidea	CIDEA	ortholog_one2one	1
Maoa	MAOA	ortholog_one2one	1
Arhgef28	ARHGEF28	ortholog_one2one	1
Gm11757	AC113348.1	ortholog_one2many	0
Mcm10	MCM10	ortholog_one2one	1
Zfp985	ZNF34	ortholog_one2many	0
Utp20	UTP20	ortholog_one2one	1
Pex5	PEX5	ortholog_one2one	1
Trpm2	TRPM2	ortholog_one2one	1
Stmn3	STMN3	ortholog_one2one	1
Zfp445	ZNF445	ortholog_one2one	1
1700030K09Rik	C19orf44	ortholog_one2one	0
Fam189a2	FAM189A2	ortholog_one2one	1
Cdk15	CDK15	ortholog_one2one	1
Tktl1	TKTL1	ortholog_one2one	1
Reg3d	REG1B	ortholog_many2many	0
Obp2b	OBP2B	ortholog_many2many	0
Obp2b	OBP2A	ortholog_many2many	0
Gpcpd1	GPCPD1	ortholog_one2one	1
Serpinb3c	SERPINB4	ortholog_many2many	0
Serpinb3c	SERPINB3	ortholog_many2many	0
Rras2	RRAS2	ortholog_one2one	1
Ehmt1	EHMT1	ortholog_one2one	1
Impa2	IMPA2	ortholog_one2one	1
Riok1	RIOK1	ortholog_one2one	1
Cr1l	CR1	ortholog_one2one	0
Zc3h12c	ZC3H12C	ortholog_one2one	1
Klrg2	KLRG2	ortholog_one2one	1
Ambp	AMBP	ortholog_one2one	1
Cherp	CHERP	ortholog_one2one	1
Rhov	RHOV	ortholog_one2one	1
Ywhaz	YWHAZ	ortholog_one2one	1
Zkscan7	ZKSCAN7	ortholog_one2one	1
Pex10	PEX10	ortholog_one2one	1
Frmd8	FRMD8	ortholog_one2one	1
Oxnad1	OXNAD1	ortholog_one2one	0
Gm13871	AC113348.1	ortholog_one2many	0
Smyd3	SMYD3	ortholog_one2one	1
Mical3	MICAL3	ortholog_one2one	1
Trit1	TRIT1	ortholog_one2one	1
Pfdn2	PFDN2	ortholog_one2one	1
Fchsd2	FCHSD2	ortholog_one2one	1
Ebpl	EBPL	ortholog_one2one	1
AU040320	KIAA0319L	ortholog_one2one	1
Reg3a	REG1B	ortholog_many2many	0
Slc1a1	SLC1A1	ortholog_one2one	1
Zfp105	ZNF35	ortholog_one2one	1
Akap8l	AKAP8L	ortholog_one2one	1
1700066M21Rik	C2orf69	ortholog_one2one	1
Lcn11	PAEP	ortholog_one2one	0
Fzd7	FZD7	ortholog_one2one	1
Knstrn	KNSTRN	ortholog_one2one	1
Qtrt1	QTRT1	ortholog_one2one	1
Slc47a1	SLC47A1	ortholog_one2one	1
Klhdc9	KLHDC9	ortholog_one2one	1
Nt5c3	NT5C3A	ortholog_one2one	1
Arhgef39	ARHGEF39	ortholog_one2one	1
Cd22	CD22	ortholog_one2one	1
Rfx6	RFX6	ortholog_one2one	1
Pacrg	PACRG	ortholog_one2one	1
Apoc1	APOC1	ortholog_one2one	1
Heca	HECA	ortholog_one2one	1
1110059G10Rik	KIAA1143	ortholog_one2one	1
Mapre2	MAPRE2	ortholog_one2one	1
Aldh3b3	ALDH3B2	ortholog_one2many	1
Rere	RERE	ortholog_one2one	1
Armc3	ARMC3	ortholog_one2one	1
Cage1	CAGE1	ortholog_one2one	1
Glt6d1	GLT6D1	ortholog_one2one	1
Kif15	KIF15	ortholog_one2one	1
Pdrg1	PDRG1	ortholog_one2one	1
Gm13539	AL354761.1	ortholog_one2one	1
St18	ST18	ortholog_one2one	1
Ptger1	PTGER1	ortholog_one2one	1
Plpp6	PLPP6	ortholog_one2one	1
Dmp1	DMP1	ortholog_one2one	1
Cnot11	CNOT11	ortholog_one2one	1
4430402I18Rik	SPATA6L	ortholog_one2one	0
Kcnu1	KCNU1	ortholog_one2one	0
B3gnt6	B3GNT6	ortholog_one2one	1
Rps26	RPS26	ortholog_one2one	1
Paqr8	PAQR8	ortholog_one2one	1
Map3k14	MAP3K14	ortholog_one2one	1
Gm12569	AC113348.1	ortholog_one2many	0
Vezf1	VEZF1	ortholog_one2one	1
Slc4a9	SLC4A9	ortholog_one2one	1
Atg5	ATG5	ortholog_one2one	1
Zfp160	ZNF160	ortholog_one2many	0
Zfp160	ZNF665	ortholog_one2many	0
Svbp	SVBP	ortholog_one2one	1
Adam30	ADAM30	ortholog_one2one	1
Ssbp4	SSBP4	ortholog_one2one	1
Dph3	DPH3	ortholog_one2one	1
Pkn1	PKN1	ortholog_one2one	1
Dtd1	AL121900.2	ortholog_one2one	1
Slc13a1	SLC13A1	ortholog_one2one	1
Urm1	URM1	ortholog_one2one	1
Rnf149	RNF149	ortholog_one2one	1
Gm11756	AC113348.1	ortholog_one2many	0
Acer3	ACER3	ortholog_one2one	1
Inpp4a	INPP4A	ortholog_one2one	1
Csrp3	CSRP3	ortholog_one2one	1
Reg2	REG1A	ortholog_one2many	0
Chp2	CHP2	ortholog_one2one	1
Zfp979	ZNF34	ortholog_one2many	0
