Gene name	Chicken gene name	Chicken homology type	Chicken orthology confidence [0 low, 1 high]
Kif26b	KIF26B	ortholog_one2one	1
Atp6v1g1	ATP6V1G1	ortholog_one2one	1
Cd209e		ortholog_many2many	0
Cd209e		ortholog_many2many	1
Arl11	ARL11	ortholog_one2one	1
Eif4e1b	EIF4E1B	ortholog_one2one	1
Grin1	GRIN1	ortholog_one2one	1
St14	ST14	ortholog_one2one	1
Zer1	ZER1	ortholog_one2one	1
Fgf2	FGF2	ortholog_one2one	1
Ror2	ROR2	ortholog_one2one	1
Gm20908		ortholog_one2many	0
Prg2	PGR2/3	ortholog_one2many	0
Polr3h	POLR3H	ortholog_one2one	1
Glce	GLCE	ortholog_one2one	1
Tgfb3	TGFB3	ortholog_one2one	1
Prg3	PGR2/3	ortholog_one2many	0
Cdh20	CDH20	ortholog_one2one	1
Dnajc22	DNAJC22	ortholog_one2one	1
Prl8a6	prl	ortholog_one2many	0
Bbs12	BBS12	ortholog_one2one	1
Ddx1	DDX1	ortholog_one2one	1
Sly		ortholog_one2many	0
Capn6	CAPN6	ortholog_one2one	1
Nudt6	NUDT6	ortholog_one2one	1
Ccdc103	CCDC103	ortholog_one2one	1
Nmi	NMI	ortholog_one2one	1
Sarm1		ortholog_one2many	1
Sarm1		ortholog_one2many	0
Sncaip	SNCAIP	ortholog_one2one	1
Aco2	ACO2	ortholog_one2one	1
Efcab11	EFCAB11	ortholog_one2one	1
Dcp2	DCP2	ortholog_one2one	1
Fam187a	FAM187A	ortholog_one2one	1
Map3k7	MAP3K7	ortholog_one2one	1
Grxcr1	GRXCR1	ortholog_one2one	1
Aaas	AAAS	ortholog_one2one	1
Tcf20	TCF20	ortholog_one2many	1
S100a11	S100A11	ortholog_one2one	1
Ccdc15		ortholog_one2one	0
Gfap	GFAP	ortholog_one2one	1
Fblim1	FBLIM1	ortholog_one2one	1
Cd164	CD164	ortholog_one2one	1
Flrt2	FLRT2	ortholog_one2one	1
Anp32a		ortholog_one2one	1
Nol8	NOL8	ortholog_one2one	1
Mlst8	MLST8	ortholog_one2one	1
G2e3	G2E3	ortholog_one2one	1
Capn5	CAPN5	ortholog_one2one	1
Slc7a11	SLC7A11	ortholog_one2one	1
Tox	TOX	ortholog_one2one	1
Cd209d		ortholog_many2many	0
Cd209d		ortholog_many2many	1
Spint1		ortholog_many2many	1
Nlgn3	NLGN3	ortholog_one2one	1
Rapgef6		ortholog_one2one	1
Lrrc17	LRRC17	ortholog_one2one	1
Cav3	CAV3	ortholog_one2one	1
Tubg1	TUBG1	ortholog_one2one	1
Oxtr	OXTR	ortholog_one2one	1
Fbxl13		ortholog_one2many	0
Fbxl13		ortholog_one2many	0
S100a10	S100A10	ortholog_one2one	1
Gcc1	GCC1	ortholog_one2one	1
Tgfb2	TGFB2	ortholog_one2one	1
Coro2b	CORO2B	ortholog_one2one	1
Ppig	PPIG	ortholog_one2one	1
Ube2j1	UBE2J1	ortholog_one2one	1
Fam177a	FAM177A1	ortholog_one2many	1
Phyh	PHYH	ortholog_one2one	1
Ifih1	IFIH1	ortholog_one2one	1
Slc47a2	SLC47A1	ortholog_one2one	1
Rnf152	RNF152	ortholog_one2one	1
Slc22a5	SLC22A5	ortholog_one2many	1
Usp1	USP1	ortholog_one2one	1
Bcl2l11	BCL2L11	ortholog_one2one	1
Rnf138	RNF138	ortholog_one2many	1
Zfp618	ZNF618	ortholog_one2one	1
Pon2	PON1	ortholog_one2many	1
Spon1	SPON1	ortholog_one2one	1
Pign	PIGN	ortholog_one2one	1
Bhlhe22	BHLHE22	ortholog_one2one	1
Gmeb2	GMEB2	ortholog_one2one	1
Prorsd1	PRORSD1P	ortholog_one2one	1
F13a1	F13A1	ortholog_one2one	1
Socs1	SOCS1	ortholog_one2one	1
Olfr286		ortholog_one2many	0
Wnt7a	WNT7A	ortholog_one2one	1
Cdh4	CDH4	ortholog_one2one	1
Abcd2	ABCD2	ortholog_one2one	1
Rnf17		ortholog_one2one	0
Tmem268	TMEM268	ortholog_one2one	1
Phrf1		ortholog_one2many	1
Phrf1		ortholog_one2many	0
Pld3		ortholog_one2one	0
Cnot4	CNOT4	ortholog_one2one	1
Gm20924	SPIN1Z	ortholog_many2many	1
Gm20924	SPIN1W	ortholog_many2many	0
Gnb1	GNB1	ortholog_one2one	1
Colgalt1	COLGALT1	ortholog_one2one	1
Ppp1r26	PPP1R26	ortholog_one2one	1
Itga11	ITGA11	ortholog_one2one	1
Pip4k2a	PIP4K2A	ortholog_one2one	1
Gps1	GPS1	ortholog_one2one	1
Klhl20	KLHL20	ortholog_one2one	1
Faah		ortholog_one2one	1
Trmt5	TRMT5	ortholog_one2one	1
Nmrk1	NMRK1	ortholog_one2one	1
Vtn	VTN	ortholog_one2one	1
Kctd8	KCTD8	ortholog_one2one	1
Ndufs8	NDUFS8	ortholog_one2one	1
Psmc4		ortholog_one2one	0
Pik3r1	PIK3R1	ortholog_one2one	1
Rmi2	RMI2	ortholog_one2one	1
Usp31	USP31	ortholog_one2one	1
Tmem186	TMEM186	ortholog_one2one	1
Pmm2	PMM2	ortholog_one2one	1
Creld1	CRELD1	ortholog_one2one	1
Slc12a8		ortholog_one2many	0
Slc12a8		ortholog_one2many	1
Lmf2	LMF2	ortholog_one2one	1
Fem1b	FEM1B	ortholog_one2one	1
Hnrnph3	HNRNPH3	ortholog_one2one	1
Dnajc8	DNAJC8	ortholog_one2one	1
Kif18b	KIF18B	ortholog_one2one	1
Ubr5	UBR5	ortholog_one2one	1
Tnfaip6	TNFAIP6	ortholog_one2one	1
Erbb3	ERBB3	ortholog_one2one	1
Nadsyn1	NADSYN1	ortholog_one2one	1
Strn4		ortholog_one2one	0
Cln6	CLN6	ortholog_one2one	1
Dennd4b		ortholog_one2one	0
Fam133b	FAM133B	ortholog_one2one	1
Timm8a1	TIMM8A	ortholog_one2many	1
Tns3	TNS3	ortholog_one2one	1
Nt5dc2	NT5DC2	ortholog_one2one	1
Plekha5	PLEKHA5	ortholog_one2one	1
Carhsp1	CARHSP1	ortholog_one2one	1
Mycl	MYCL	ortholog_one2one	1
Rps6ka3	RPS6KA3	ortholog_one2one	1
Calml4	CALML4	ortholog_one2one	1
Hps1	HPS1	ortholog_one2one	1
Sema3d	SEMA3D	ortholog_one2one	1
Cct2	CCT2	ortholog_one2one	1
Adam24		ortholog_many2many	0
Ppp2cb	PPP2CB	ortholog_one2one	1
Cep85l	CEP85L	ortholog_one2one	1
Jpt1	HN1	ortholog_one2one	1
Slc26a3	SLC26A3	ortholog_one2one	1
Zdhhc13	ZDHHC13	ortholog_one2one	1
Asb4	ASB4	ortholog_one2one	1
Polr2e	POLR2E	ortholog_one2one	1
1700007K13Rik	C9orf116	ortholog_one2one	1
Ugt2b1		ortholog_one2many	1
Rrp15	RRP15	ortholog_one2one	1
Rufy2		ortholog_one2many	1
Rufy2		ortholog_one2many	0
Car8	CA8	ortholog_one2one	1
Mcm3	MCM3	ortholog_one2one	1
Pln	PLN	ortholog_one2one	1
Tdpoz2	SPOP	ortholog_one2many	1
Tdpoz1	SPOP	ortholog_one2many	1
Slc2a13	SLC2A13	ortholog_one2one	1
Sptlc1	SPTLC1	ortholog_one2one	1
C6	C6	ortholog_one2one	1
Bricd5	BRICD5	ortholog_one2one	1
Spef2	SPEF2	ortholog_one2one	0
Zfp646		ortholog_one2one	0
Gm37596	SPOP	ortholog_one2many	1
Tbc1d13	TBC1D13	ortholog_one2one	1
Fkbp7	FKBP7	ortholog_one2one	1
Carnmt1	CARNMT1	ortholog_one2one	1
Stab1	STAB1	ortholog_one2one	1
Znrf1	ZNRF1	ortholog_one2one	1
Det1		ortholog_one2one	1
Syt1	SYT1	ortholog_one2one	1
Mrps2	MRPS2	ortholog_one2one	1
Txndc11	TXNDC11	ortholog_one2one	1
Irf7	IRF7	ortholog_one2one	1
Serpinb3d	OVALY	ortholog_many2many	1
Serpinb3d	OVALX	ortholog_many2many	1
Serpinb3d	OVA	ortholog_many2many	1
Ehf	EHF	ortholog_one2one	1
Pdia3	PDIA3	ortholog_one2one	1
Sparcl1	SPARCL1	ortholog_one2one	1
Zfp735	CTC-575C13.4	ortholog_one2many	0
Rgs10	RGS10	ortholog_one2one	1
Gen1	GEN1	ortholog_one2one	1
Kcnh7	KCNH7	ortholog_one2one	1
Cpsf4l	ZC3H3	ortholog_many2many	0
Notch2	NOTCH2	ortholog_one2one	1
Rasef	RASEF	ortholog_one2one	1
Yipf7	YIPF7	ortholog_one2one	1
Pakap		ortholog_one2one	0
Pdk4	PDK4	ortholog_one2one	1
Tff2	TFF2	ortholog_one2one	1
Calr3	CALR3	ortholog_one2one	1
Aox3	AOX2	ortholog_one2many	1
Wscd1	WSCD1	ortholog_one2one	1
Sumo2	SUMO2	ortholog_one2one	1
C1ql1	C1QL1	ortholog_one2one	1
Scnn1g	SCNN1G	ortholog_one2one	1
Bmyc	MYC	ortholog_one2many	0
Ddx41	DDX41	ortholog_one2one	1
Gtf2ird1	GTF2IRD1	ortholog_one2one	1
Rab2a	RAB2A	ortholog_one2one	1
Chchd4	CHCHD4	ortholog_one2many	1
Snn	SNN	ortholog_one2one	1
Litaf	LITAF	ortholog_one2one	1
Thop1	THOP1	ortholog_one2one	1
Unc93b1	UNC93B1	ortholog_one2one	1
Gc	GC	ortholog_one2one	1
Yap1	YAP1	ortholog_one2one	1
Slc6a11	SLC6A11	ortholog_one2one	1
Yy1	YY2	ortholog_one2many	1
Gm5136	BRCC3	ortholog_one2many	1
Adam25	ADAM20	ortholog_one2many	1
Gabrr2	GABRR2	ortholog_one2one	1
Spata16	SPATA16	ortholog_one2one	1
Sec14l1	SEC14L1	ortholog_one2one	1
E130308A19Rik		ortholog_one2one	1
Pdcd10	PDCD10	ortholog_one2one	1
Gfra4	GFRA4	ortholog_one2one	0
Adam20	ADAM20	ortholog_one2many	1
Snf8	SNF8	ortholog_one2one	1
Casc3	CASC3	ortholog_one2one	1
Ube2t	UBE2T	ortholog_one2one	1
Tgds	TGDS	ortholog_one2one	1
Fkbp9	FKBP9	ortholog_one2one	1
Adam39	ADAM20	ortholog_one2many	1
Zmym4		ortholog_one2one	1
Cul4a	CUL4A	ortholog_one2one	1
Ebf4	EBF4	ortholog_one2one	1
Akt3	AKT3	ortholog_one2one	1
Cd83	CD83	ortholog_one2one	1
Npffr2	NPFFR2	ortholog_one2one	1
Gm20736		ortholog_one2many	0
Tcaim	TCAIM	ortholog_one2one	1
Inip	INIP	ortholog_one2one	1
Msl1	MSL1	ortholog_one2one	1
Serpinb3b	OVALY	ortholog_many2many	1
Serpinb3b	OVALX	ortholog_many2many	1
Serpinb3b	OVA	ortholog_many2many	1
Elmod3	ELMOD3	ortholog_one2one	1
Gm20918	SPIN1Z	ortholog_many2many	1
Gm20918	SPIN1W	ortholog_many2many	0
Mtm1	MTM1	ortholog_one2one	1
Cidea	CIDEA	ortholog_one2one	1
Maoa	MAOA	ortholog_one2one	1
Arhgef28	ARHGEF28	ortholog_one2one	1
Mcm10	MCM10	ortholog_one2one	1
Utp20	UTP20	ortholog_one2one	1
Pex5	PEX5	ortholog_one2one	1
Trpm2	TRPM2	ortholog_one2one	1
Stmn3	STMN3	ortholog_one2one	1
1700030K09Rik	C19orf44	ortholog_one2one	1
Fam189a2	FAM189A2	ortholog_one2one	1
Cdk15	CDK15	ortholog_one2one	1
Gpcpd1	GPCPD1	ortholog_one2one	1
Serpinb3c	OVALY	ortholog_many2many	1
Serpinb3c	OVALX	ortholog_many2many	1
Serpinb3c	OVA	ortholog_many2many	0
Rras2	RRAS	ortholog_one2one	1
Ehmt1	EHMT1	ortholog_one2one	1
Impa2	IMPA2	ortholog_one2one	1
Riok1	RIOK1	ortholog_one2one	1
Zc3h12c	ZC3H12C	ortholog_one2one	1
Klrg2		ortholog_many2many	0
Klrg2	CLC2DL3	ortholog_many2many	0
Klrg2		ortholog_many2many	0
Klrg2		ortholog_many2many	0
Klrg2		ortholog_many2many	0
Klrg2		ortholog_many2many	0
Klrg2		ortholog_many2many	0
Klrg2		ortholog_many2many	0
Klrg2		ortholog_many2many	0
Klrg2		ortholog_many2many	0
Klrg2	Y-LEC1	ortholog_many2many	0
Klrg2		ortholog_many2many	0
Klrg2		ortholog_many2many	0
Klrg2		ortholog_many2many	0
Klrg2		ortholog_many2many	0
Ambp	AMBP	ortholog_one2one	1
Cherp	CHERP	ortholog_one2one	1
Rhov	RHOV	ortholog_one2one	1
Ywhaz	YWHAZ	ortholog_one2one	1
Pex10	PEX10	ortholog_one2one	1
Oxnad1	OXNAD1	ortholog_one2one	1
Smyd3	SMYD3	ortholog_one2one	1
Mical3	MICAL3	ortholog_one2one	1
Trit1	TRIT1	ortholog_one2one	1
Pfdn2	PFDN2	ortholog_one2one	1
Fchsd2	FCHSD2	ortholog_one2one	1
AU040320	KIAA0319L	ortholog_one2one	1
Slc1a1	SLC1A1	ortholog_one2one	1
Akap8l	AKAP8L	ortholog_one2one	1
1700066M21Rik	C7H2ORF69	ortholog_one2one	1
Fzd7	FZD7	ortholog_one2one	1
Knstrn	KNSTRN	ortholog_one2one	0
Qtrt1		ortholog_one2one	0
Nt5c3	NT5C3A	ortholog_one2one	1
Arhgef39	ARHGEF39	ortholog_one2one	1
Rfx6	RFX6	ortholog_one2one	1
Pacrg	PACRG	ortholog_one2one	1
Heca	HECA	ortholog_one2one	1
1110059G10Rik	KIAA1143	ortholog_one2one	1
Mapre2	MAPRE2	ortholog_one2one	1
Aldh3b3		ortholog_many2many	0
Aldh3b3		ortholog_many2many	0
Aldh3b3		ortholog_many2many	1
Rere	RERE	ortholog_one2one	1
Armc3	ARMC3	ortholog_one2one	1
Kif15	KIF15	ortholog_one2one	1
Pdrg1	PDRG1	ortholog_one2one	1
Gm21943	SPIN1Z	ortholog_many2many	1
Gm21943	SPIN1W	ortholog_many2many	0
St18	ST18	ortholog_one2one	1
Plpp6	PLPP6	ortholog_one2one	1
Dmp1	DMP1	ortholog_one2one	0
D1Pas1	DDX3X	ortholog_one2many	1
Cnot11	CNOT11	ortholog_one2one	1
Kcnu1		ortholog_one2one	0
Rps26	RPS26	ortholog_one2one	1
Paqr8	PAQR8	ortholog_one2one	1
Map3k14	MAP3K14	ortholog_one2one	1
Vezf1	VEZF1	ortholog_one2one	1
Slc4a9	SLC4A9	ortholog_one2one	1
Atg5	ATG5	ortholog_one2one	1
Zfp160		ortholog_many2many	0
Svbp	SVBP	ortholog_one2one	1
Ugt2b35		ortholog_one2many	1
Ssbp4	SSBP4	ortholog_one2one	1
Dph3	DPH3P1	ortholog_one2one	1
Pkn1	PKN1	ortholog_one2one	0
Dtd1	DTD1	ortholog_one2one	1
Slc13a1	SLC13A1	ortholog_one2one	1
Urm1	URM1	ortholog_one2one	1
Rnf149	RNF149	ortholog_one2one	1
Acer3	ACER3	ortholog_one2one	1
Inpp4a	INPP4A	ortholog_one2one	1
Csrp3	CSRP3	ortholog_one2one	1
Sgms1	SGMS1	ortholog_one2one	1
Scaf8	SCAF8	ortholog_one2one	1
Reg4	REG4	ortholog_one2one	1
Trmu	TRMU	ortholog_one2one	1
Pecam1	PECAM1	ortholog_one2one	1
Ilk	ILK	ortholog_one2one	1
Ugt2b36		ortholog_one2many	1
Msx2	MSX2	ortholog_one2one	1
Clk4	CLK4	ortholog_one2one	1
Sdhaf4	SDHAF4	ortholog_one2one	1
Cenpj	CENPJ	ortholog_one2one	1
Rrm1	RRM1	ortholog_one2one	1
Nebl	NEBL	ortholog_one2one	1
Slc25a14	SLC25A14	ortholog_one2one	1
Cd14	CD14	ortholog_one2one	0
Frs2	FRS2	ortholog_one2one	1
Fscn2	FSCN2	ortholog_one2one	1
Pqlc2	PQLC2	ortholog_one2one	1
Snx2	SNX2	ortholog_one2one	1
Cnn1	CNN1	ortholog_one2one	1
Gpr180	GPR180	ortholog_one2one	1
Itga6	ITGA6	ortholog_one2one	1
Kctd3	KCTD3	ortholog_one2one	1
Ssrp1	SSRP1	ortholog_one2one	1
Fermt2	FERMT2	ortholog_one2one	1
Ikzf4	IKZF4	ortholog_one2one	1
AI593442	C11orf87	ortholog_one2one	1
Ess2	ESS2	ortholog_one2one	1
Cmpk2	CMPK2	ortholog_one2one	1
Gria2	GRIA2	ortholog_one2one	1
Ube2z	UBE2Z	ortholog_one2one	1
Spout1	SPOUT1	ortholog_one2one	1
Ibsp		ortholog_one2one	0
AU022252	C1orf50	ortholog_one2one	1
Ppargc1a	PPARGC1A	ortholog_one2one	1
Car3	CA3A	ortholog_one2many	1
Car3	CA3B	ortholog_one2many	1
Mepe	MEPE	ortholog_one2one	0
Dhcr7	DHCR7	ortholog_one2one	1
Akr1c13		ortholog_many2many	0
Akr1c13		ortholog_many2many	0
Akr1c13	AKR1B10	ortholog_many2many	0
Cradd	CRADD	ortholog_one2one	1
Zdhhc3	ZDHHC3	ortholog_one2one	1
Tmprss5		ortholog_one2one	0
Tecrl	TECRL	ortholog_one2one	1
Jakmip3	JAKMIP3	ortholog_one2one	1
Ntmt1	NTMT1	ortholog_one2one	1
Mast4	MAST4	ortholog_one2one	1
Snx30	SNX30	ortholog_one2one	1
Farp2	FARP2	ortholog_one2one	1
Elf5	ELF5	ortholog_one2one	1
Lamp1	LAMP1	ortholog_one2one	1
Snx24	SNX24	ortholog_one2one	1
Ablim3	ABLIM3	ortholog_one2one	1
Hivep2	HIVEP2	ortholog_one2one	1
Gatad2b	GATAD2B	ortholog_one2one	1
Fads1		ortholog_one2many	0
Fads1		ortholog_one2many	0
Fads1		ortholog_one2many	1
Cog7	COG7	ortholog_one2one	1
Rasal2	RASAL2	ortholog_one2one	1
Xkr7	XKR7	ortholog_one2one	1
Grtp1	GRTP1	ortholog_one2one	1
Rrp8		ortholog_one2one	0
Faap100	FAAP100	ortholog_one2one	1
Stk25	STK25	ortholog_one2one	1
Tango2	TANGO2	ortholog_one2one	1
Nup85	NUP85	ortholog_one2one	1
Commd8	COMMD8	ortholog_one2one	1
Zfp777	ZNF777	ortholog_one2one	0
Slc25a3	SLC25A3	ortholog_one2one	1
Tmem42	TMEM42	ortholog_one2one	1
Sumo1	SUMO1	ortholog_one2one	1
Trpm6	TRPM6	ortholog_one2one	1
Endog	ENDOG	ortholog_one2one	1
Ndufa2	NDUFA2	ortholog_one2one	1
Tgm4	TGM4	ortholog_one2one	1
Lrig2	LRIG2	ortholog_one2one	1
Kbtbd8	KBTBD8	ortholog_one2one	1
Gm28961		ortholog_one2many	0
Adamts20	ADAMTS20	ortholog_one2one	1
Trio	TRIO	ortholog_one2one	1
Scnn1b	SCNN1B	ortholog_one2one	1
Rer1	RER1	ortholog_one2one	1
Tmco6	TMCO6	ortholog_one2one	1
Tnfsf15	TNFSF15	ortholog_one2one	1
Abcc6	ABCC6	ortholog_one2one	1
Cd209b		ortholog_many2many	0
Cd209b		ortholog_many2many	0
Vps18	VPS18	ortholog_one2one	1
Itgb6	ITGB6	ortholog_one2one	1
Fcgbp		ortholog_many2many	0
Fcgbp		ortholog_many2many	0
Camkmt	CAMKMT	ortholog_one2one	1
Celsr2	CELSR2	ortholog_one2one	1
Mep1b	MEP1B	ortholog_one2one	1
Efhc1	EFHC1	ortholog_one2one	1
Nmt1	NMT1	ortholog_one2one	1
Foxred1	FOXRED1	ortholog_one2one	1
Bcl2a1a	BCL2A1	ortholog_one2many	1
Plekhm1	PLEKHM1	ortholog_one2one	1
Exosc7	EXOSC7	ortholog_one2one	1
Drd1	DRD1	ortholog_one2one	1
Tnfsf8	TNFSF8	ortholog_one2one	1
Prl8a8	prl	ortholog_one2many	0
Cuedc1	CUEDC1	ortholog_one2one	1
Cry2	CRY2	ortholog_one2one	1
Ppic	PPIC	ortholog_one2one	1
Flt4	FLT4	ortholog_one2one	1
Iqub	IQUB	ortholog_one2one	1
Prl	prl	ortholog_one2many	1
Dad1	DAD1	ortholog_one2one	1
Pheta1	PHETA1	ortholog_one2one	1
Noct	NOCT	ortholog_one2one	1
Hnrnpl		ortholog_one2one	1
Pimreg		ortholog_one2one	0
Nploc4	NPLOC4	ortholog_one2one	1
Six3	SIX3	ortholog_one2one	1
Suox	SUOX	ortholog_one2one	1
Tial1	TIAL1	ortholog_one2one	1
Dcakd	DCAKD	ortholog_one2one	1
Arhgap27	ARHGAP27	ortholog_one2one	1
Tram2	TRAM2	ortholog_one2one	1
Dbn1	DBN1	ortholog_one2one	1
Ccm2l	CCM2L	ortholog_one2one	1
Yeats4	YEATS4	ortholog_one2one	1
Galk1	GALK1	ortholog_one2one	1
Plekha3	PLEKHA3	ortholog_one2one	1
Gbgt1	GBGT1	ortholog_one2one	1
Aox2	AOX2	ortholog_one2many	1
Clec3b	CLEC3B	ortholog_one2one	1
Tsku	TSKU	ortholog_one2one	1
Ivd	IVD	ortholog_one2one	1
Cdcp1	CDCP1	ortholog_one2one	1
Taf4	TAF4	ortholog_one2one	1
Tcf4		ortholog_one2one	0
Srp54b	SRP54	ortholog_one2many	1
Ezh1	EZH1	ortholog_one2one	1
Armc10	ARMC10	ortholog_one2one	1
Akr1c19		ortholog_many2many	0
Akr1c19		ortholog_many2many	0
Akr1c19	AKR1B10	ortholog_many2many	0
Tmem158	TMEM158	ortholog_one2one	1
Gsc2	GSC2	ortholog_one2one	1
Rad18	RAD18	ortholog_one2one	1
Pef1	PEF1	ortholog_one2one	1
Dcun1d1	DCUN1D1	ortholog_one2many	1
Mthfs	MTHFS	ortholog_one2many	1
1700109H08Rik		ortholog_many2many	0
1700109H08Rik		ortholog_many2many	0
Lars2	LARS2	ortholog_one2one	1
Aox4	AOX2	ortholog_one2many	1
Akr7a5	AKR7L	ortholog_one2one	1
9530003J23Rik	LYZ	ortholog_one2many	1
Slc25a29	SLC25A29	ortholog_one2one	1
Nkx1-1	NKX1-1	ortholog_one2one	1
Pex1	PEX1	ortholog_one2one	1
Isg20	ISG20	ortholog_one2one	0
Pdgfb	PDGFB	ortholog_one2one	1
Hypk	HYPK	ortholog_one2one	1
Gm29094	BCL2A1	ortholog_one2many	1
Ggt1		ortholog_one2one	1
Bcl2a1b	BCL2A1	ortholog_one2many	1
Cd180	CD180	ortholog_one2one	1
Kpna3	KPNA3	ortholog_one2one	1
Muc13		ortholog_one2one	0
Cercam	CERCAM	ortholog_one2one	1
Prkcb	PRKCB	ortholog_one2one	1
Six2	SIX2	ortholog_one2one	1
Slc5a8	SLC5A8	ortholog_one2one	1
Srp54c	SRP54	ortholog_one2many	1
Slc35a3	SLC35A3	ortholog_one2one	1
Serinc4	SERINC4	ortholog_one2one	1
Srbd1	SRBD1	ortholog_one2one	1
Sox21	SOX21	ortholog_one2one	1
1700047I17Rik2	FAM177A1	ortholog_one2many	1
Cd81	CD81	ortholog_one2one	1
Tmem82	TMEM82	ortholog_one2one	1
Gucy2d		ortholog_one2one	1
Cdc42se2	CDC42SE2	ortholog_one2one	1
Heg1		ortholog_one2one	0
Abracl	ABRACL	ortholog_one2one	1
Tyw5	TYW5	ortholog_one2one	1
Slc46a2	SLC46A2	ortholog_one2one	1
Wdr5b	WDR5B	ortholog_one2one	1
Bmpr1b	BMPR1B	ortholog_one2one	1
Fam162a	FAM162A	ortholog_one2one	1
