Gene stable ID	Mouse gene stable ID	Mouse gene name	Mouse homology type	Mouse orthology confidence [0 low, 1 high]
ENSG00000100109	ENSMUSG00000029345	Tfip11	ortholog_one2one	1
ENSG00000100129	ENSMUSG00000033047	Eif3l	ortholog_one2one	1
ENSG00000100239	ENSMUSG00000036561	Ppp6r2	ortholog_one2one	1
ENSG00000100276	ENSMUSG00000034209	Rasl10a	ortholog_one2one	1
ENSG00000100330	ENSMUSG00000034354	Mtmr3	ortholog_one2one	1
ENSG00000100335	ENSMUSG00000022412	Mief1	ortholog_one2one	1
ENSG00000100364	ENSMUSG00000036046	5031439G07Rik	ortholog_one2one	1
ENSG00000100427	ENSMUSG00000035805	Mlc1	ortholog_one2one	1
ENSG00000100445	ENSMUSG00000022223	Sdr39u1	ortholog_one2one	1
ENSG00000100483	ENSMUSG00000049882	Vcpkmt	ortholog_one2one	1
ENSG00000100505	ENSMUSG00000021071	Trim9	ortholog_one2one	1
ENSG00000100519	ENSMUSG00000021832	Psmc6	ortholog_one2one	1
ENSG00000100526	ENSMUSG00000037628	Cdkn3	ortholog_one2one	1
ENSG00000100592	ENSMUSG00000034574	Daam1	ortholog_one2one	1
ENSG00000100604	ENSMUSG00000021194	Chga	ortholog_one2one	1
ENSG00000100605	ENSMUSG00000057963	Itpk1	ortholog_one2one	1
ENSG00000100644	ENSMUSG00000021109	Hif1a	ortholog_one2one	1
ENSG00000100842	ENSMUSG00000022203	Efs	ortholog_one2one	1
ENSG00000100934	ENSMUSG00000020986	Sec23a	ortholog_one2one	1
ENSG00000100983	ENSMUSG00000027610	Gss	ortholog_one2one	1
ENSG00000101079	ENSMUSG00000027634	Ndrg3	ortholog_one2one	1
ENSG00000101134	ENSMUSG00000027560	Dok5	ortholog_one2one	1
ENSG00000101146	ENSMUSG00000027509	Rae1	ortholog_one2one	1
ENSG00000101190	ENSMUSG00000038932	Tcfl5	ortholog_one2one	1
ENSG00000101210	ENSMUSG00000016349	Eef1a2	ortholog_one2one	1
ENSG00000101236	ENSMUSG00000048911	Rnf24	ortholog_one2one	1
ENSG00000101290	ENSMUSG00000058793	Cds2	ortholog_one2one	1
ENSG00000101298	ENSMUSG00000027457	Snph	ortholog_one2one	1
ENSG00000101333	ENSMUSG00000039943	Plcb4	ortholog_one2one	1
ENSG00000101343	ENSMUSG00000001767	Crnkl1	ortholog_one2one	1
ENSG00000101349	ENSMUSG00000039913	Pak5	ortholog_one2one	1
ENSG00000101407	ENSMUSG00000027650	Tti1	ortholog_one2one	1
ENSG00000101442	ENSMUSG00000037761	Actr5	ortholog_one2one	1
ENSG00000101445	ENSMUSG00000037754	Ppp1r16b	ortholog_one2one	1
ENSG00000101557	ENSMUSG00000047879	Usp14	ortholog_one2one	1
ENSG00000101624	ENSMUSG00000073542	Cep76	ortholog_one2one	1
ENSG00000101745	ENSMUSG00000034647	Ankrd12	ortholog_one2one	1
ENSG00000101746	ENSMUSG00000041923	Nol4	ortholog_one2one	1
ENSG00000101751	ENSMUSG00000038425	Poli	ortholog_one2one	1
ENSG00000101846				
ENSG00000101888	ENSMUSG00000042271	Nxt2	ortholog_one2one	1
ENSG00000101901	ENSMUSG00000041718	Alg13	ortholog_one2one	1
ENSG00000101911	ENSMUSG00000025742	Prps2	ortholog_one2one	1
ENSG00000101938	ENSMUSG00000031283	Chrdl1	ortholog_one2one	1
ENSG00000101972	ENSMUSG00000025862	Stag2	ortholog_one2one	1
ENSG00000101977	ENSMUSG00000031139	Mcf2	ortholog_one2one	1
ENSG00000102078	ENSMUSG00000031105	Slc25a14	ortholog_one2one	1
ENSG00000102081	ENSMUSG00000000838	Fmr1	ortholog_one2one	1
ENSG00000102178	ENSMUSG00000015290	Ubl4a	ortholog_one2one	1
ENSG00000102189	ENSMUSG00000036499	Eea1	ortholog_one2one	1
ENSG00000102316	ENSMUSG00000025268	Maged2	ortholog_one2one	1
ENSG00000102401	ENSMUSG00000049047	Armcx3	ortholog_one2one	1
ENSG00000102445	ENSMUSG00000034959	Rubcnl	ortholog_one2one	1
ENSG00000102468	ENSMUSG00000034997	Htr2a	ortholog_one2one	1
ENSG00000102606	ENSMUSG00000031511	Arhgef7	ortholog_one2one	1
ENSG00000102678	ENSMUSG00000021974	Fgf9	ortholog_one2one	1
ENSG00000102804	ENSMUSG00000022010	Tsc22d1	ortholog_one2one	1
ENSG00000102858	ENSMUSG00000022517	Mgrn1	ortholog_one2one	1
ENSG00000102893	ENSMUSG00000036879	Phkb	ortholog_one2one	1
ENSG00000102897	ENSMUSG00000030922	Lyrm1	ortholog_one2one	1
ENSG00000102921	ENSMUSG00000031652	N4bp1	ortholog_one2one	1
ENSG00000103034	ENSMUSG00000036564	Ndrg4	ortholog_one2one	1
ENSG00000103089	ENSMUSG00000033579	Fa2h	ortholog_one2one	1
ENSG00000103121				
ENSG00000103184	ENSMUSG00000091712	Sec14l5	ortholog_one2one	1
ENSG00000103227	ENSMUSG00000002279	Lmf1	ortholog_one2one	1
ENSG00000103353	ENSMUSG00000030870	Ubfd1	ortholog_one2one	1
ENSG00000103363	ENSMUSG00000057534	Elobl	ortholog_one2one	0
ENSG00000103479	ENSMUSG00000031666	Rbl2	ortholog_one2one	1
ENSG00000103502	ENSMUSG00000030682	Cdipt	ortholog_one2one	1
ENSG00000103512	ENSMUSG00000030835	Nomo1	ortholog_one2many	1
ENSG00000103528	ENSMUSG00000058420	Syt17	ortholog_one2one	1
ENSG00000103657	ENSMUSG00000038664	Herc1	ortholog_one2one	1
ENSG00000104112	ENSMUSG00000032181	Scg3	ortholog_one2one	1
ENSG00000104218	ENSMUSG00000056763	Cspp1	ortholog_one2one	1
ENSG00000104327	ENSMUSG00000028222	Calb1	ortholog_one2one	1
ENSG00000104388	ENSMUSG00000047187	Rab2a	ortholog_one2one	1
ENSG00000104427	ENSMUSG00000043542	Zc2hc1a	ortholog_one2one	1
ENSG00000104435	ENSMUSG00000027500	Stmn2	ortholog_one2one	1
ENSG00000104490	ENSMUSG00000051359	Ncald	ortholog_one2one	1
ENSG00000104635	ENSMUSG00000022094	Slc39a14	ortholog_one2one	1
ENSG00000104643	ENSMUSG00000035078	Mtmr9	ortholog_one2one	1
ENSG00000104691	ENSMUSG00000052906	Ubxn8	ortholog_one2one	1
ENSG00000104738	ENSMUSG00000022673	Mcm4	ortholog_one2one	1
ENSG00000104763	ENSMUSG00000031591	Asah1	ortholog_one2one	1
ENSG00000104888	ENSMUSG00000070570	Slc17a7	ortholog_one2one	1
ENSG00000104957	ENSMUSG00000004994	Ccdc130	ortholog_one2one	1
ENSG00000105290	ENSMUSG00000006651	Aplp1	ortholog_one2one	1
ENSG00000105341	ENSMUSG00000057229	Dmac2	ortholog_one2one	1
ENSG00000105472	ENSMUSG00000004473	Clec11a	ortholog_one2one	1
ENSG00000105499	ENSMUSG00000033847	Pla2g4c	ortholog_one2one	1
ENSG00000105509	ENSMUSG00000003665	Has1	ortholog_one2one	1
ENSG00000105576	ENSMUSG00000031691	Tnpo2	ortholog_one2one	1
ENSG00000105650	ENSMUSG00000031842	Pde4c	ortholog_one2many	1
ENSG00000105705	ENSMUSG00000011306	Sugp1	ortholog_one2one	1
ENSG00000105711	ENSMUSG00000019194	Scn1b	ortholog_one2one	1
ENSG00000105778	ENSMUSG00000029787	Avl9	ortholog_one2one	1
ENSG00000105784	ENSMUSG00000040570	Rundc3b	ortholog_one2one	1
ENSG00000105819	ENSMUSG00000029017	Pmpcb	ortholog_one2one	1
ENSG00000105894	ENSMUSG00000029838	Ptn	ortholog_one2one	1
ENSG00000105928	ENSMUSG00000029821	Gsdme	ortholog_one2one	1
ENSG00000105976	ENSMUSG00000009376	Met	ortholog_one2one	1
ENSG00000106052	ENSMUSG00000004535	Tax1bp1	ortholog_one2one	1
ENSG00000106069	ENSMUSG00000004633	Chn2	ortholog_one2many	1
ENSG00000106070	ENSMUSG00000020176	Grb10	ortholog_one2one	1
ENSG00000106078	ENSMUSG00000020173	Cobl	ortholog_one2one	1
ENSG00000106236	ENSMUSG00000059991	Nptx2	ortholog_one2one	1
ENSG00000106443	ENSMUSG00000029629	Phf14	ortholog_one2one	1
ENSG00000106524	ENSMUSG00000036188	Ankmy2	ortholog_one2one	1
ENSG00000106537	ENSMUSG00000020577	Tspan13	ortholog_one2one	1
ENSG00000106605	ENSMUSG00000001999	Blvra	ortholog_one2one	1
ENSG00000106683	ENSMUSG00000029674	Limk1	ortholog_one2one	1
ENSG00000106688	ENSMUSG00000024935	Slc1a1	ortholog_one2one	1
ENSG00000106689	ENSMUSG00000000247	Lhx2	ortholog_one2one	1
ENSG00000106692	ENSMUSG00000028414	Fktn	ortholog_one2one	1
ENSG00000106993	ENSMUSG00000024780	Cdc37l1	ortholog_one2one	1
ENSG00000107105	ENSMUSG00000008489	Elavl2	ortholog_one2one	1
ENSG00000107140	ENSMUSG00000028458	Tesk1	ortholog_one2one	1
ENSG00000107165	ENSMUSG00000005994	Tyrp1	ortholog_one2one	1
ENSG00000107223	ENSMUSG00000015092	Edf1	ortholog_one2one	1
ENSG00000107290	ENSMUSG00000043535	Setx	ortholog_one2one	1
ENSG00000107518	ENSMUSG00000054843	Atrnl1	ortholog_one2one	1
